NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
42,Mark Acres,C,6-11,220,1962-11-15,US,2,Oral Roberts
25,Nick Anderson,SG,6-6,205,1968-01-20,US,R,Illinois
45,Michael Ansley,SF,6-7,225,1967-02-08,US,R,Alabama
33,Terry Catledge,PF,6-8,220,1963-08-22,US,4,University of South Alabama
40,Dave Corzine,C,6-11,250,1956-04-25,US,11,DePaul
21,Sidney Green,C,6-9,220,1961-01-04,US,6,UNLV
50,Jawann Oldham,C,7-0,215,1957-07-04,US,8,Seattle University
35,Jerry Reynolds,SF,6-8,200,1962-12-23,US,4,LSU
4,Scott Skiles,PG,6-1,180,1964-03-05,US,3,Michigan State
32,Otis Smith,SF,6-5,210,1964-01-30,US,3,Jacksonville University
24,Reggie Theus,SG,6-7,190,1957-10-13,US,11,UNLV
31,Jeff Turner,PF,6-9,230,1962-04-09,US,3,Vanderbilt
11,Sam Vincent,PG,6-2,185,1963-05-18,US,4,Michigan State
20,Morlon Wiley,PG,6-4,185,1966-09-24,US,1,Cal State Long Beach
