Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015,10,1310,GSW,Golden State Warriors,Justin Holiday,"April 5, 1989",25.0,NBA,SG,5.0,11.0,1.9,0.75,0.5,0.0,0.0,9.8,5.0,13.1,0.0,0.0,50.0,16.3,0.0,0.0,0.0,-0.08,-4.6,-0.6,-5.2,0.0
2020,12,1310,IND,Indiana Pacers,Justin Holiday,"April 5, 1989",30.0,NBA,SF,4.0,131.0,10.7,0.65,0.76,0.14,3.5,10.1,6.7,3.3,2.3,3.9,11.8,8.9,0.1,0.1,0.2,0.06,-0.2,1.3,1.1,0.1
