Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1999,18,2688,MIN,Minnesota Timberwolves,Joe Smith,"July 26, 1975",23.0,NBA,C,4.0,4.0,120.0,5.2,17.5,0.3,0.0,0.0,,5.2,17.5,0.3,3.8,5.2,0.73,4.7,7.6,12.3,2.4,0.9,3.8,2.4,7.1,14.2,84.0,101.0
2000,18,2688,MIN,Minnesota Timberwolves,Joe Smith,"July 26, 1975",24.0,NBA,C,4.0,0.0,79.0,5.9,12.5,0.47,0.0,0.7,0.0,5.9,11.8,0.5,1.5,1.5,1.0,5.2,3.7,8.8,0.7,2.2,0.7,2.9,11.1,13.3,96.0,107.0
2002,18,2688,MIN,Minnesota Timberwolves,Joe Smith,"July 26, 1975",26.0,NBA,C,3.0,1.0,43.0,3.5,8.1,0.43,0.0,0.0,,3.5,8.1,0.43,8.1,9.2,0.88,4.6,8.1,12.7,0.0,0.0,1.2,1.2,9.2,15.0,134.0,118.0
2003,18,2688,MIN,Minnesota Timberwolves,Joe Smith,"July 26, 1975",27.0,NBA,SF,5.0,1.0,40.0,5.1,7.6,0.67,0.0,0.0,,5.1,7.6,0.67,7.6,7.6,1.0,0.0,7.6,7.6,0.0,1.3,1.3,3.8,17.7,17.7,118.0,109.0
2004,17,2688,MIL,Milwaukee Bucks,Joe Smith,"July 26, 1975",28.0,NBA,PF,5.0,5.0,175.0,8.2,16.8,0.49,0.0,0.3,0.0,8.2,16.5,0.5,3.7,4.0,0.92,7.0,8.2,15.3,0.6,1.2,3.1,1.8,4.6,20.1,113.0,107.0
2006,17,2688,MIL,Milwaukee Bucks,Joe Smith,"July 26, 1975",30.0,NBA,PF,5.0,0.0,106.0,8.2,16.9,0.48,0.0,0.0,,8.2,16.9,0.48,3.1,4.6,0.67,3.1,10.7,13.8,1.5,1.0,1.0,0.5,8.2,19.4,114.0,118.0
2008,6,2688,CLE,Cleveland Cavaliers,Joe Smith,"July 26, 1975",32.0,NBA,PF,13.0,0.0,263.0,7.6,15.7,0.49,0.0,0.2,0.0,7.6,15.5,0.49,3.0,4.7,0.64,4.2,8.5,12.7,1.3,1.1,1.5,1.3,8.7,18.3,110.0,101.0
2009,6,2688,CLE,Cleveland Cavaliers,Joe Smith,"July 26, 1975",33.0,NBA,C,13.0,0.0,218.0,5.9,12.8,0.46,0.8,1.3,0.6,5.1,11.5,0.44,5.9,7.4,0.79,2.6,9.7,12.3,0.8,1.5,1.8,1.8,6.4,18.4,116.0,101.0
2010,1,2688,ATL,Atlanta Hawks,Joe Smith,"July 26, 1975",34.0,NBA,PF,5.0,0.0,24.0,0.0,7.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,0.0,,2.3,2.3,4.7,0.0,0.0,2.3,2.3,2.3,0.0,17.0,117.0
2011,14,2688,LAL,Los Angeles Lakers,Joe Smith,"July 26, 1975",35.0,NBA,PF,5.0,0.0,11.0,0.0,10.1,0.0,0.0,0.0,,0.0,10.1,0.0,0.0,0.0,,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,118.0
