Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1982,22.0,SDC,NBA,PF,81.0,58.0,2682.0,9.8,18.6,0.525,0.0,0.0,0.0,9.8,18.6,0.526,5.0,8.1,0.62,3.7,6.2,9.9,2.6,1.0,0.8,3.9,6.0,24.6,,106.0,114.0
1983,23.0,SDC,NBA,PF,79.0,79.0,2665.0,9.1,19.2,0.472,0.0,0.1,0.0,9.1,19.1,0.476,6.2,8.5,0.723,3.8,5.3,9.1,3.4,1.4,1.0,4.1,5.8,24.3,,105.0,110.0
1984,24.0,SEA,NBA,PF,82.0,44.0,2570.0,10.4,20.8,0.499,0.0,0.2,0.0,10.4,20.6,0.505,7.0,8.8,0.8,4.1,5.9,10.0,2.5,0.9,1.0,3.6,5.8,27.8,,110.0,109.0
1985,25.0,SEA,NBA,PF,81.0,60.0,2923.0,10.4,21.5,0.483,0.1,0.4,0.273,10.3,21.2,0.487,7.9,9.4,0.832,2.7,6.9,9.6,3.5,1.2,0.9,4.3,5.2,28.8,,106.0,108.0
1986,26.0,SEA,NBA,PF,66.0,26.0,2019.0,10.5,22.6,0.466,0.3,1.2,0.271,10.2,21.5,0.476,8.4,10.1,0.836,3.1,7.4,10.5,3.2,1.3,0.9,4.7,6.1,29.8,,106.0,106.0
1987,27.0,SEA,NBA,PF,82.0,82.0,3018.0,10.3,22.6,0.456,0.8,2.3,0.372,9.5,20.3,0.466,8.4,9.8,0.849,2.5,6.0,8.5,3.8,1.3,0.8,4.2,4.8,29.8,,112.0,111.0
1988,28.0,SEA,NBA,PF,82.0,82.0,2680.0,10.9,24.4,0.448,0.6,1.9,0.303,10.3,22.4,0.461,7.5,9.3,0.807,2.4,6.3,8.8,3.8,1.6,0.9,3.7,5.3,29.9,,108.0,108.0
1989,29.0,PHO,NBA,PF,81.0,81.0,3002.0,11.8,25.1,0.471,0.4,1.3,0.326,11.4,23.8,0.479,7.8,9.1,0.851,2.2,8.3,10.5,3.5,1.3,0.8,3.5,4.1,31.9,,110.0,105.0
1990,30.0,PHO,NBA,PF,81.0,81.0,3046.0,12.7,25.3,0.501,0.4,1.3,0.279,12.3,24.0,0.513,8.7,10.1,0.861,1.9,7.0,8.9,3.0,1.4,0.7,3.4,4.1,34.5,,115.0,107.0
1991,31.0,PHO,NBA,PF,76.0,75.0,2475.0,10.7,24.4,0.437,0.4,1.4,0.274,10.3,23.0,0.447,7.3,8.8,0.826,2.0,7.4,9.4,3.7,1.2,1.0,3.4,4.5,29.0,,106.0,106.0
1992,32.0,PHO,NBA,PF,69.0,66.0,1948.0,10.6,24.5,0.431,0.4,1.2,0.367,10.1,23.3,0.434,6.4,7.7,0.83,2.1,7.8,9.9,3.5,1.4,0.9,2.6,4.9,28.0,,106.0,106.0
1993,33.0,PHO,NBA,PF,73.0,0.0,1723.0,8.9,20.0,0.447,0.3,0.8,0.393,8.6,19.2,0.449,6.7,8.0,0.837,2.7,7.0,9.6,2.8,1.2,0.6,2.6,5.9,24.9,,111.0,108.0
1994,34.0,UTA,NBA,PF,80.0,0.0,1838.0,9.2,21.0,0.44,0.4,1.3,0.311,8.8,19.7,0.448,6.2,7.9,0.786,2.4,6.7,9.1,2.2,1.1,0.9,2.5,6.5,25.0,,105.0,105.0
1995,35.0,UTA,NBA,PF,81.0,4.0,1240.0,8.1,17.8,0.457,0.2,1.0,0.167,8.0,16.8,0.474,4.6,5.6,0.807,2.8,6.1,8.9,3.1,1.0,1.3,2.2,7.2,21.0,,108.0,108.0
1997,37.0,CHH,NBA,PF,12.0,5.0,83.0,4.6,20.2,0.226,1.3,2.0,0.667,3.3,18.3,0.179,2.0,2.6,0.75,2.0,7.2,9.1,2.6,0.7,0.0,5.9,9.1,12.4,,58.0,111.0
1998,38.0,PHI,NBA,PF,1.0,0.0,10.0,10.6,10.6,1.0,0.0,0.0,,10.6,10.6,1.0,10.6,10.6,1.0,0.0,10.6,10.6,0.0,10.6,0.0,5.3,10.6,31.8,,142.0,85.0
