Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2002,5,514,CHI,Charlotte Bobcats,19.0,NBA,C,71.0,31.0,1389.0,5.8,11.6,0.5,0.0,0.0,,5.8,11.6,0.5,5.1,8.5,0.6,4.4,8.7,13.1,2.1,1.1,3.5,3.8,6.8,16.6,,99.0,105.0
2003,5,514,CHI,Charlotte Bobcats,20.0,NBA,C,75.0,68.0,1827.0,7.2,13.6,0.53,0.0,0.0,,7.2,13.6,0.53,5.0,8.2,0.61,4.7,9.7,14.4,2.1,1.0,3.0,3.8,6.2,19.4,,104.0,103.0
2004,5,514,CHI,Charlotte Bobcats,21.0,NBA,PF,35.0,8.0,782.0,4.5,10.5,0.42,0.0,0.1,0.0,4.5,10.5,0.43,5.3,7.9,0.67,5.5,12.5,18.0,1.5,1.1,2.9,2.5,5.8,14.2,,104.0,99.0
2005,5,514,CHI,Charlotte Bobcats,22.0,NBA,C,80.0,10.0,2189.0,4.9,9.9,0.49,0.0,0.0,0.0,4.9,9.9,0.5,5.4,8.0,0.67,6.2,12.2,18.4,1.5,1.6,3.3,2.8,6.4,15.2,,112.0,94.0
2006,5,514,CHI,Charlotte Bobcats,23.0,NBA,C,79.0,50.0,2121.0,3.9,6.9,0.56,0.0,0.0,0.0,3.9,6.9,0.57,2.4,4.7,0.5,6.5,10.9,17.4,2.0,1.0,2.5,3.0,7.3,10.2,,107.0,100.0
2007,19,514,NOK,New Orleans/Oklahoma City Hornets,24.0,NBA,C,73.0,73.0,2525.0,6.2,9.9,0.62,0.0,0.0,0.0,6.2,9.8,0.62,2.2,4.2,0.53,6.7,12.3,19.0,1.4,0.8,2.7,2.7,5.1,14.5,,117.0,103.0
2008,19,514,NOH,New Orleans Hornets,25.0,NBA,C,79.0,79.0,2783.0,7.2,11.6,0.62,0.0,0.0,0.0,7.2,11.6,0.62,3.4,5.7,0.59,6.2,11.6,17.8,1.6,0.9,1.6,2.6,4.7,17.8,,122.0,104.0
2009,19,514,NOH,New Orleans Hornets,26.0,NBA,C,45.0,45.0,1445.0,6.1,10.7,0.56,0.0,0.0,,6.1,10.7,0.56,2.9,5.0,0.58,6.2,8.7,14.9,0.8,0.6,2.1,2.6,5.4,15.0,,113.0,107.0
2010,4,514,CHA,Charlotte Bobcats,27.0,NBA,C,51.0,27.0,1163.0,5.0,8.7,0.57,0.0,0.0,,5.0,8.7,0.57,5.3,7.2,0.73,5.2,9.4,14.6,0.7,0.8,2.5,4.2,6.3,15.2,,107.0,102.0
2011,7,514,DAL,Dallas Mavericks,28.0,NBA,C,74.0,74.0,2059.0,6.8,10.4,0.65,0.0,0.0,,6.8,10.4,0.65,5.5,7.5,0.73,5.3,12.4,17.7,0.8,0.9,2.0,2.2,6.1,19.1,,131.0,102.0
2012,20,514,NYK,New York Knicks,29.0,NBA,C,62.0,62.0,2061.0,6.0,8.9,0.68,0.0,0.0,0.0,6.0,8.8,0.68,5.4,7.9,0.69,5.3,10.0,15.3,1.4,1.4,2.2,2.5,4.6,17.5,,130.0,99.0
2013,20,514,NYK,New York Knicks,30.0,NBA,C,66.0,66.0,2164.0,6.3,9.9,0.64,0.0,0.0,,6.3,9.9,0.64,4.4,6.4,0.69,6.6,10.7,17.4,1.5,1.0,1.9,2.1,4.6,17.0,,133.0,104.0
2014,20,514,NYK,New York Knicks,31.0,NBA,C,55.0,55.0,1662.0,6.1,10.3,0.59,0.0,0.0,0.0,6.1,10.3,0.6,3.1,5.0,0.63,5.1,11.8,16.9,1.9,1.2,2.0,2.3,4.6,15.4,,120.0,106.0
2015,7,514,DAL,Dallas Mavericks,32.0,NBA,C,75.0,75.0,2286.0,6.5,9.7,0.67,0.0,0.0,,6.5,9.7,0.67,4.1,5.7,0.72,6.5,12.6,19.1,1.9,0.9,2.0,2.3,3.7,17.0,,133.0,103.0
2016,24,514,PHO,Phoenix Suns,33.0,NBA,C,66.0,60.0,1618.0,5.5,9.5,0.58,0.0,0.0,0.0,5.5,9.4,0.58,3.2,5.1,0.62,5.3,12.1,17.3,1.9,1.1,1.3,2.8,4.4,14.2,,114.0,107.0
2017,24,514,PHO,Phoenix Suns,34.0,NBA,C,47.0,46.0,1298.0,5.6,8.4,0.67,0.0,0.0,,5.6,8.4,0.67,3.4,4.6,0.73,5.6,14.2,19.9,1.1,1.2,0.9,2.4,4.6,14.6,,129.0,109.0
2018,24,514,PHO,Phoenix Suns,35.0,NBA,C,46.0,46.0,1151.0,5.0,7.8,0.65,0.0,0.0,,5.0,7.8,0.65,2.4,3.9,0.62,5.6,11.8,17.4,2.2,0.7,1.1,2.5,4.4,12.5,,123.0,111.0
2019,31,514,TOT,Total After Trade,36.0,NBA,C,55.0,6.0,875.0,3.3,5.3,0.62,0.0,0.1,0.0,3.3,5.2,0.62,2.7,4.6,0.59,4.9,11.5,16.4,2.0,1.1,1.2,2.2,5.9,9.2,,120.0,108.0
2019,24,514,PHO,Phoenix Suns,36.0,NBA,C,7.0,0.0,89.0,4.3,6.4,0.67,0.0,0.0,,4.3,6.4,0.67,5.4,9.7,0.56,3.8,17.2,20.9,3.2,1.1,0.5,3.8,11.3,13.9,,111.0,110.0
2019,14,514,LAL,Los Angeles Lakers,36.0,NBA,C,48.0,6.0,786.0,3.1,5.2,0.61,0.0,0.1,0.0,3.1,5.1,0.62,2.4,4.1,0.59,5.0,10.8,15.9,1.8,1.1,1.3,2.1,5.3,8.7,,121.0,108.0
