Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1983,21.0,SDC,NBA,PF,70.0,69.0,2531.0,684.0,1309.0,0.523,0.0,1.0,0.0,684.0,1308.0,0.523,0.523,292.0,412.0,0.709,303.0,441.0,744.0,177.0,129.0,62.0,204.0,294.0,1660.0,,0.0
1984,22.0,SDC,NBA,PF,81.0,80.0,2907.0,737.0,1491.0,0.494,0.0,3.0,0.0,737.0,1488.0,0.495,0.494,380.0,528.0,0.72,323.0,454.0,777.0,139.0,92.0,57.0,218.0,298.0,1854.0,,0.0
1985,23.0,MIL,NBA,PF,79.0,78.0,2722.0,759.0,1532.0,0.495,0.0,1.0,0.0,759.0,1531.0,0.496,0.495,343.0,463.0,0.741,244.0,472.0,716.0,228.0,117.0,67.0,190.0,264.0,1861.0,,0.0
1986,24.0,MIL,NBA,PF,82.0,82.0,2669.0,681.0,1438.0,0.474,0.0,2.0,0.0,681.0,1436.0,0.474,0.474,265.0,404.0,0.656,222.0,472.0,694.0,193.0,121.0,51.0,191.0,283.0,1627.0,,0.0
1987,25.0,MIL,NBA,PF,82.0,77.0,2770.0,729.0,1426.0,0.511,0.0,3.0,0.0,729.0,1423.0,0.512,0.511,249.0,376.0,0.662,214.0,486.0,700.0,229.0,129.0,81.0,172.0,296.0,1707.0,,1.0
1988,26.0,MIL,NBA,PF,76.0,76.0,2629.0,675.0,1392.0,0.485,1.0,3.0,0.333,674.0,1389.0,0.485,0.485,270.0,406.0,0.665,184.0,369.0,553.0,181.0,78.0,46.0,170.0,274.0,1621.0,,0.0
1989,27.0,MIL,NBA,SF,80.0,78.0,2824.0,730.0,1563.0,0.467,7.0,15.0,0.467,723.0,1548.0,0.467,0.469,362.0,460.0,0.787,281.0,369.0,650.0,198.0,106.0,72.0,201.0,265.0,1829.0,,0.0
1990,28.0,SAS,NBA,PF,81.0,78.0,2821.0,728.0,1532.0,0.475,19.0,59.0,0.322,709.0,1473.0,0.481,0.481,343.0,440.0,0.78,226.0,451.0,677.0,219.0,110.0,52.0,202.0,286.0,1818.0,,0.0
1991,29.0,SAS,NBA,PF,67.0,62.0,2195.0,503.0,1039.0,0.484,7.0,33.0,0.212,496.0,1006.0,0.493,0.487,164.0,240.0,0.683,194.0,327.0,521.0,157.0,61.0,30.0,131.0,225.0,1177.0,,0.0
1992,30.0,SAS,NBA,PF,70.0,67.0,2149.0,514.0,1053.0,0.488,5.0,13.0,0.385,509.0,1040.0,0.489,0.491,177.0,249.0,0.711,247.0,384.0,631.0,102.0,58.0,34.0,115.0,210.0,1210.0,,0.0
1993,31.0,SAS,NBA,PF,8.0,0.0,76.0,11.0,29.0,0.379,0.0,0.0,,11.0,29.0,0.379,0.379,5.0,10.0,0.5,6.0,13.0,19.0,4.0,1.0,1.0,2.0,17.0,27.0,,0.0
1994,32.0,SAS,NBA,PF,59.0,29.0,1133.0,183.0,428.0,0.428,0.0,2.0,0.0,183.0,426.0,0.43,0.428,63.0,107.0,0.589,132.0,165.0,297.0,50.0,31.0,13.0,59.0,137.0,429.0,,0.0
1995,33.0,SAS,NBA,PF,76.0,20.0,1273.0,224.0,464.0,0.483,0.0,0.0,,224.0,464.0,0.483,0.483,72.0,123.0,0.585,138.0,240.0,378.0,59.0,36.0,19.0,95.0,188.0,520.0,,0.0
1996,34.0,MIL,NBA,PF,81.0,13.0,1777.0,270.0,584.0,0.462,1.0,7.0,0.143,269.0,577.0,0.466,0.463,104.0,160.0,0.65,162.0,283.0,445.0,89.0,56.0,30.0,69.0,263.0,645.0,,0.0
1997,35.0,SEA,NBA,PF,45.0,3.0,828.0,155.0,319.0,0.486,3.0,5.0,0.6,152.0,314.0,0.484,0.491,57.0,82.0,0.695,70.0,113.0,183.0,39.0,33.0,7.0,45.0,113.0,370.0,,0.0
1998,36.0,TOT,NBA,PF,74.0,3.0,1185.0,200.0,428.0,0.467,0.0,1.0,0.0,200.0,427.0,0.468,0.467,67.0,98.0,0.684,97.0,186.0,283.0,47.0,38.0,10.0,51.0,181.0,467.0,,0.0
1998,36.0,PHI,NBA,PF,44.0,2.0,656.0,97.0,212.0,0.458,0.0,1.0,0.0,97.0,211.0,0.46,0.458,39.0,58.0,0.672,55.0,93.0,148.0,21.0,22.0,5.0,17.0,102.0,233.0,,0.0
1998,36.0,NYK,NBA,PF,30.0,1.0,529.0,103.0,216.0,0.477,0.0,0.0,,103.0,216.0,0.477,0.477,28.0,40.0,0.7,42.0,93.0,135.0,26.0,16.0,5.0,34.0,79.0,234.0,,0.0
1999,37.0,GSW,NBA,PF,50.0,0.0,1011.0,186.0,424.0,0.439,1.0,1.0,1.0,185.0,423.0,0.437,0.44,81.0,114.0,0.711,95.0,160.0,255.0,58.0,46.0,10.0,58.0,168.0,454.0,,0.0
