Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1992,18,1772,MIN,Minnesota Timberwolves,23.0,NBA,C,66.0,991.0,10.1,0.49,0.0,0.32,7.2,21.8,14.3,7.3,1.8,3.9,22.6,15.8,-0.9,1.1,0.2,0.01,-5.1,0.8,-4.4,-0.6
1993,18,1772,MIN,Minnesota Timberwolves,24.0,NBA,C,55.0,1045.0,10.7,0.49,0.0,0.25,8.2,19.3,13.8,7.6,2.3,4.7,21.3,17.5,-1.1,1.3,0.2,0.01,-5.0,1.2,-3.7,-0.5
1994,31,1772,TOT,Total After Trade,25.0,NBA,C,76.0,1502.0,13.5,0.51,0.0,0.27,10.2,23.4,16.9,11.3,1.5,3.4,18.6,18.7,0.0,2.2,2.2,0.07,-2.7,1.0,-1.6,0.1
1994,18,1772,MIN,Minnesota Timberwolves,25.0,NBA,C,49.0,989.0,12.6,0.5,0.0,0.28,10.6,24.1,17.5,7.5,1.8,3.8,19.6,17.8,-0.4,1.3,0.9,0.04,-3.3,0.8,-2.4,-0.1
1994,5,1772,CHI,Chicago Bulls,25.0,NBA,C,27.0,513.0,15.2,0.52,0.0,0.26,9.6,21.9,15.7,18.8,1.0,2.8,17.0,20.3,0.5,0.9,1.3,0.12,-1.6,1.4,-0.1,0.2
1995,5,1772,CHI,Chicago Bulls,26.0,NBA,C,55.0,1001.0,12.3,0.51,0.01,0.35,9.7,21.3,15.5,10.9,1.3,3.4,19.8,19.3,0.0,1.8,1.8,0.09,-4.4,0.9,-3.6,-0.4
1996,5,1772,CHI,Chicago Bulls,27.0,NBA,C,62.0,1641.0,11.9,0.52,0.0,0.2,7.4,15.2,11.3,10.6,0.7,3.9,17.2,17.8,0.7,2.8,3.5,0.1,-2.9,1.3,-1.6,0.2
1997,5,1772,CHI,Chicago Bulls,28.0,NBA,C,59.0,1472.0,13.4,0.5,0.0,0.25,9.4,15.9,12.7,14.1,0.8,3.4,17.1,19.7,0.9,2.3,3.1,0.1,-2.5,0.8,-1.7,0.1
1998,5,1772,CHI,Chicago Bulls,29.0,NBA,C,58.0,1703.0,13.5,0.49,0.0,0.24,7.6,15.4,11.5,15.5,1.1,2.6,16.2,21.2,0.6,2.8,3.4,0.1,-1.9,1.1,-0.8,0.5
1999,24,1772,PHO,Phoenix Suns,30.0,NBA,C,39.0,933.0,13.5,0.52,0.0,0.26,7.2,20.6,13.8,8.1,1.3,1.7,14.1,18.6,0.8,1.0,1.8,0.09,-2.3,-0.2,-2.5,-0.1
2001,20,1772,NYK,New York Knicks,32.0,NBA,C,25.0,301.0,3.7,0.4,0.0,0.32,10.8,15.6,13.3,3.7,0.6,2.4,26.4,13.6,-0.5,0.5,0.0,0.0,-7.0,0.6,-6.4,-0.3
