Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",22.0,NBA,PF,82.0,19.0,1785.0,6.5,13.9,0.47,0.0,0.2,0.22,6.5,13.7,0.47,2.4,3.7,0.66,3.6,7.0,10.5,0.7,0.6,1.0,2.1,4.6,15.4
1986,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",23.0,NBA,PF,82.0,59.0,2300.0,6.6,12.7,0.52,0.0,0.1,0.0,6.6,12.6,0.52,2.7,4.1,0.65,3.8,7.2,11.0,0.7,1.0,0.7,2.8,4.6,15.8
1987,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",24.0,NBA,PF,81.0,81.0,2626.0,7.4,13.8,0.54,0.0,0.1,0.25,7.4,13.7,0.54,3.1,4.4,0.71,4.4,7.2,11.6,0.8,0.9,0.8,2.4,4.3,17.9
1988,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",25.0,NBA,PF,75.0,55.0,2091.0,6.1,11.8,0.52,0.0,0.0,0.0,6.1,11.8,0.52,2.7,4.2,0.65,4.0,5.4,9.4,0.5,1.2,0.7,2.4,4.1,15.0
1990,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",27.0,NBA,PF,81.0,51.0,2273.0,6.6,12.7,0.52,0.0,0.1,0.29,6.6,12.6,0.52,2.7,3.9,0.68,4.0,6.2,10.2,0.9,1.0,0.7,2.3,4.1,15.9
1991,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",28.0,NBA,PF,80.0,80.0,2373.0,6.7,13.4,0.5,0.1,0.2,0.4,6.7,13.2,0.5,2.4,3.6,0.67,3.9,6.8,10.7,1.5,0.9,0.6,2.3,3.6,15.9
1992,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",29.0,NBA,PF,81.0,80.0,2962.0,7.2,14.9,0.48,0.1,0.4,0.16,7.1,14.4,0.49,3.5,4.4,0.8,5.1,10.2,15.3,2.1,0.9,0.7,2.4,2.7,18.0
1993,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",30.0,NBA,PF,80.0,80.0,2878.0,7.7,15.2,0.51,0.1,0.4,0.24,7.6,14.9,0.51,2.5,3.8,0.65,4.2,8.7,12.9,2.1,0.9,0.5,2.7,3.3,17.9
1994,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",31.0,NBA,PF,80.0,80.0,2867.0,7.9,15.8,0.5,0.1,0.3,0.38,7.8,15.5,0.5,3.4,4.7,0.71,4.2,7.9,12.1,1.9,1.0,0.5,2.4,3.1,19.2
1995,31,3189,TOT,Total After Trade,Kevin Willis,"September 6, 1962",32.0,NBA,PF,67.0,63.0,2390.0,7.1,15.3,0.47,0.0,0.2,0.2,7.1,15.1,0.47,3.1,4.5,0.69,3.4,7.6,11.0,1.3,0.9,0.5,2.4,3.2,17.4
1995,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",32.0,NBA,PF,2.0,2.0,89.0,6.5,16.6,0.39,0.0,0.4,0.0,6.5,16.2,0.4,4.0,6.1,0.67,4.0,10.5,14.6,1.2,0.4,1.2,2.8,2.8,17.0
1995,16,3189,MIA,Miami Heat,Kevin Willis,"September 6, 1962",32.0,NBA,PF,65.0,61.0,2301.0,7.1,15.2,0.47,0.0,0.2,0.21,7.1,15.0,0.47,3.1,4.4,0.69,3.4,7.5,10.9,1.3,0.9,0.5,2.4,3.3,17.4
1996,31,3189,TOT,Total After Trade,Kevin Willis,"September 6, 1962",33.0,NBA,PF,75.0,60.0,2135.0,5.5,12.0,0.46,0.0,0.2,0.11,5.5,11.9,0.46,2.4,3.4,0.71,3.5,7.3,10.8,0.9,0.5,0.7,2.7,4.3,13.4
1996,16,3189,MIA,Miami Heat,Kevin Willis,"September 6, 1962",33.0,NBA,PF,47.0,42.0,1357.0,5.2,10.9,0.47,0.0,0.1,0.0,5.2,10.8,0.48,2.4,3.3,0.71,3.6,7.6,11.1,0.9,0.5,0.7,2.6,4.2,12.7
1996,10,3189,GSW,Golden State Warriors,Kevin Willis,"September 6, 1962",33.0,NBA,PF,28.0,18.0,778.0,6.0,13.9,0.43,0.0,0.2,0.25,6.0,13.7,0.44,2.5,3.6,0.7,3.4,6.7,10.1,0.9,0.6,0.7,2.9,4.4,14.6
1997,11,3189,HOU,Houston Rockets,Kevin Willis,"September 6, 1962",34.0,NBA,PF,75.0,32.0,1964.0,6.4,13.3,0.48,0.0,0.3,0.14,6.4,13.1,0.49,2.6,3.7,0.69,2.7,7.6,10.3,1.3,0.8,0.6,2.2,4.0,15.4
1998,11,3189,HOU,Houston Rockets,Kevin Willis,"September 6, 1962",35.0,NBA,PF,81.0,74.0,2528.0,7.6,14.8,0.51,0.0,0.1,0.14,7.5,14.7,0.51,3.4,4.3,0.79,3.3,6.4,9.7,1.1,0.8,0.5,2.4,3.3,18.6
1999,28,3189,TOR,Toronto Raptors,Kevin Willis,"September 6, 1962",36.0,NBA,C,42.0,38.0,1216.0,5.5,13.2,0.42,0.0,0.1,0.0,5.5,13.2,0.42,3.8,4.6,0.84,3.2,7.1,10.4,2.0,0.8,0.8,2.5,4.0,14.9
2000,28,3189,TOR,Toronto Raptors,Kevin Willis,"September 6, 1962",37.0,NBA,PF,79.0,1.0,1679.0,5.1,12.2,0.42,0.0,0.1,0.33,5.0,12.1,0.42,2.8,3.5,0.8,4.3,6.0,10.3,1.1,0.8,1.0,2.1,5.5,13.0
2001,31,3189,TOT,Total After Trade,Kevin Willis,"September 6, 1962",38.0,NBA,C,78.0,22.0,1830.0,6.0,13.6,0.44,0.0,0.1,0.17,6.0,13.5,0.44,2.2,2.9,0.77,3.5,7.0,10.5,1.0,1.1,1.0,1.7,4.2,14.2
2001,28,3189,TOR,Toronto Raptors,Kevin Willis,"September 6, 1962",38.0,NBA,C,35.0,9.0,771.0,5.8,12.6,0.46,0.0,0.1,0.0,5.8,12.5,0.46,2.8,3.8,0.75,3.2,7.2,10.4,1.0,0.9,1.0,1.9,3.6,14.4
2001,8,3189,DEN,Denver Nuggets,Kevin Willis,"September 6, 1962",38.0,NBA,C,43.0,13.0,1059.0,6.1,14.3,0.43,0.0,0.1,0.25,6.1,14.2,0.43,1.8,2.2,0.79,3.7,6.8,10.5,1.0,1.3,1.1,1.6,4.7,14.0
2002,11,3189,HOU,Houston Rockets,Kevin Willis,"September 6, 1962",39.0,NBA,PF,52.0,5.0,865.0,5.2,11.8,0.44,0.0,0.0,0.0,5.2,11.8,0.44,2.7,3.6,0.75,4.4,8.1,12.4,0.6,1.0,1.0,1.7,4.1,13.1
2003,27,3189,SAS,San Antonio Spurs,Kevin Willis,"September 6, 1962",40.0,NBA,C,71.0,6.0,840.0,5.3,11.0,0.48,0.0,0.1,0.0,5.3,10.9,0.48,2.2,3.6,0.61,3.6,6.1,9.7,1.0,0.9,0.9,2.6,5.1,12.7
2004,27,3189,SAS,San Antonio Spurs,Kevin Willis,"September 6, 1962",41.0,NBA,C,48.0,0.0,373.0,6.8,14.5,0.47,0.0,0.1,0.0,6.8,14.4,0.47,2.3,3.8,0.62,3.6,5.9,9.5,1.1,2.0,0.9,3.1,5.9,15.8
2005,1,3189,ATL,Atlanta Hawks,Kevin Willis,"September 6, 1962",42.0,NBA,C,29.0,5.0,344.0,3.7,9.4,0.39,0.0,0.2,0.0,3.7,9.2,0.4,1.8,2.4,0.74,3.0,4.9,8.0,0.9,0.8,0.7,1.6,5.5,9.1
2007,7,3189,DAL,Dallas Mavericks,Kevin Willis,"September 6, 1962",44.0,NBA,PF,5.0,0.0,43.0,4.2,10.9,0.38,0.0,0.0,,4.2,10.9,0.38,1.7,1.7,1.0,1.7,5.0,6.7,0.8,1.7,0.8,1.7,9.2,10.0
