Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1996,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",19.0,NBA,SF,80.0,43.0,2293.0,8.1,16.5,0.49,0.2,0.6,0.29,7.9,15.8,0.5,2.4,3.3,0.7,3.9,7.3,11.2,3.2,1.9,2.9,2.5,4.2,18.7,,107.0,107.0
1997,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",20.0,NBA,SF,77.0,77.0,2995.0,9.7,19.4,0.5,0.1,0.4,0.29,9.6,19.1,0.5,3.6,4.8,0.75,3.4,7.6,10.9,4.2,1.9,2.9,3.1,3.5,23.1,,107.0,105.0
1998,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",21.0,NBA,PF,82.0,82.0,3222.0,10.2,20.8,0.49,0.0,0.3,0.19,10.2,20.5,0.5,3.9,5.3,0.74,3.6,9.1,12.6,5.6,2.2,2.4,3.1,3.6,24.4,,109.0,103.0
1999,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",22.0,NBA,PF,47.0,47.0,1780.0,12.3,26.7,0.46,0.1,0.4,0.29,12.1,26.2,0.46,4.3,6.1,0.7,4.9,9.6,14.5,6.0,2.3,2.5,4.0,4.5,28.9,,102.0,97.0
2000,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",23.0,NBA,PF,81.0,81.0,3243.0,12.2,24.6,0.5,0.5,1.3,0.37,11.8,23.3,0.5,5.0,6.5,0.76,3.6,11.8,15.4,6.5,1.9,2.0,4.3,3.3,29.9,,107.0,99.0
2001,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",24.0,NBA,PF,81.0,81.0,3202.0,11.5,24.1,0.48,0.3,1.1,0.29,11.2,23.0,0.49,5.8,7.6,0.76,3.6,11.5,15.0,6.5,1.8,2.4,3.8,3.3,29.1,,108.0,99.0
2002,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",25.0,NBA,PF,81.0,81.0,3175.0,11.0,23.4,0.47,0.6,1.9,0.32,10.4,21.5,0.48,6.0,7.5,0.8,4.1,12.3,16.4,7.0,1.6,2.1,3.8,3.1,28.6,,111.0,101.0
2003,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",26.0,NBA,PF,82.0,82.0,3321.0,11.7,23.3,0.5,0.3,1.1,0.28,11.4,22.2,0.51,5.9,7.9,0.75,3.8,13.5,17.3,7.8,1.8,2.0,3.6,3.1,29.6,,113.0,98.0
2004,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",27.0,NBA,PF,82.0,82.0,3231.0,13.4,26.9,0.5,0.2,0.7,0.26,13.2,26.2,0.51,6.1,7.8,0.79,4.1,14.9,19.0,6.8,2.0,3.0,3.5,3.4,33.2,,112.0,92.0
2005,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",28.0,NBA,PF,82.0,82.0,3121.0,11.8,23.5,0.5,0.1,0.4,0.24,11.7,23.0,0.51,7.7,9.5,0.81,4.3,14.9,19.1,8.0,2.1,1.9,3.8,3.6,31.4,,117.0,99.0
2006,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",29.0,NBA,PF,76.0,76.0,2957.0,11.4,21.8,0.53,0.1,0.5,0.27,11.3,21.2,0.53,7.2,8.9,0.81,3.9,13.8,17.7,5.6,1.9,2.0,3.3,3.8,30.3,,117.0,98.0
2007,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",30.0,NBA,PF,76.0,76.0,2995.0,11.2,23.6,0.48,0.2,1.0,0.21,11.0,22.6,0.49,7.3,8.8,0.84,3.2,14.0,17.2,5.5,1.6,2.2,3.6,3.2,30.0,,110.0,101.0
2008,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",31.0,NBA,PF,71.0,71.0,2328.0,12.1,22.5,0.54,0.0,0.2,0.0,12.1,22.2,0.55,6.1,7.6,0.8,3.1,11.8,14.9,5.5,2.3,2.0,3.1,3.7,30.3,,118.0,94.0
2009,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",32.0,NBA,PF,57.0,57.0,1772.0,11.8,22.2,0.53,0.1,0.2,0.25,11.7,21.9,0.53,3.3,4.0,0.84,2.3,12.2,14.5,4.3,1.9,2.0,2.7,3.8,26.9,,112.0,98.0
2010,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",33.0,NBA,PF,69.0,69.0,2060.0,10.2,19.6,0.52,0.0,0.1,0.2,10.2,19.5,0.52,4.7,5.6,0.84,2.0,10.9,12.9,4.7,1.7,1.4,2.6,4.3,25.2,,112.0,101.0
2011,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",34.0,NBA,PF,71.0,71.0,2220.0,10.4,19.7,0.53,0.0,0.1,0.2,10.4,19.5,0.53,4.5,5.2,0.86,2.0,13.1,15.1,4.1,2.3,1.4,2.8,3.5,25.3,,110.0,95.0
2012,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",35.0,NBA,C,60.0,60.0,1864.0,11.1,22.1,0.5,0.1,0.3,0.33,11.1,21.9,0.5,4.6,5.4,0.86,1.9,12.2,14.1,5.0,1.6,1.7,3.0,4.0,27.0,,106.0,94.0
2013,2,997,BOS,Boston Celtics,Kevin Garnett,"May 19, 1976",36.0,NBA,C,68.0,68.0,2022.0,10.9,22.0,0.5,0.1,0.4,0.12,10.9,21.6,0.5,4.1,5.2,0.79,1.9,11.8,13.7,4.1,2.0,1.6,2.8,4.0,26.0,,104.0,99.0
2014,3,997,BRK,Brooklyn Nets,Kevin Garnett,"May 19, 1976",37.0,NBA,C,54.0,54.0,1109.0,7.4,16.8,0.44,0.0,0.1,0.0,7.4,16.7,0.44,1.8,2.2,0.81,2.8,14.1,16.9,3.9,2.0,1.9,3.3,5.8,16.7,,93.0,101.0
2015,31,997,TOT,Total After Trade,Kevin Garnett,"May 19, 1976",38.0,NBA,PF,47.0,47.0,952.0,7.8,16.6,0.47,0.1,0.4,0.14,7.7,16.2,0.48,2.0,2.4,0.8,2.6,14.3,16.9,4.2,2.5,0.9,2.5,5.9,17.5,,101.0,101.0
2015,3,997,BRK,Brooklyn Nets,Kevin Garnett,"May 19, 1976",38.0,NBA,PF,42.0,42.0,854.0,7.6,16.7,0.46,0.1,0.4,0.17,7.5,16.3,0.46,2.1,2.5,0.83,2.8,14.5,17.3,4.2,2.5,0.8,2.7,5.8,17.3,,99.0,100.0
2015,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",38.0,NBA,PF,5.0,5.0,98.0,9.3,16.1,0.58,0.0,0.5,0.0,9.3,15.6,0.6,1.0,2.1,0.5,1.0,12.5,13.5,4.2,2.6,2.1,0.5,6.7,19.7,,123.0,105.0
2016,18,997,MIN,Minnesota Timberwolves,Kevin Garnett,"May 19, 1976",39.0,NBA,PF,38.0,38.0,556.0,4.9,10.4,0.47,0.0,0.1,0.0,4.9,10.3,0.47,1.3,1.9,0.67,1.4,12.2,13.6,5.6,2.5,0.9,1.5,6.3,11.1,,107.0,105.0
