Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,3,247,NJN,New Jersey Nets,10,Otis Birdsong,SG,6-3,190,1955-12-09,US,6,Houston
1984,3,593,NJN,New Jersey Nets,12,Darwin Cook,PG,6-3,184,1958-08-06,US,3,University of Portland
1984,3,705,NJN,New Jersey Nets,53,Darryl Dawkins,C,6-11,251,1957-01-11,US,8,
1984,3,1051,NJN,New Jersey Nets,42,Mike Gminski,C,6-11,250,1959-08-03,US,3,Duke
1984,3,1513,NJN,New Jersey Nets,33,Reggie Johnson,PF,6-9,205,1957-06-25,US,3,Tennessee
1984,3,1555,NJN,New Jersey Nets,11,Mark Anthony Jones,PG,6-1,175,1961-04-10,US,R,St. Bonaventure
1984,3,1617,NJN,New Jersey Nets,55,Albert King,SF,6-6,190,1959-12-17,US,2,Maryland
1984,3,1662,NJN,New Jersey Nets,23,Bruce Kuczenski,PF,6-10,230,1961-02-03,US,R,UConn
1984,3,2180,NJN,New Jersey Nets,31,Mike O'Koren,SF,6-7,207,1958-02-07,US,3,UNC
1984,3,2404,NJN,New Jersey Nets,14,Kelvin Ransey,PG,6-1,170,1958-05-03,US,3,Ohio State
1984,3,2450,NJN,New Jersey Nets,20,Micheal Ray Richardson,PG,6-5,189,1955-04-11,US,5,Montana
1984,3,3008,NJN,New Jersey Nets,1,Foots Walker,PG,6-0,184,1951-05-21,US,9,West Georgia
1984,3,3138,NJN,New Jersey Nets,52,Buck Williams,PF,6-8,215,1960-03-08,US,2,Maryland
1984,3,3199,NJN,New Jersey Nets,34,Bill Willoughby,SF,6-8,205,1957-05-20,US,7,
