Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,22.0,DEN,NBA,PG,65.0,8.0,1318.0,7.7,15.0,0.515,1.3,3.2,0.41,6.4,11.8,0.544,4.1,5.4,0.757,1.6,3.2,4.8,7.8,1.8,0.1,3.2,3.4,20.8,,118.0,111.0
2011,23.0,DEN,NBA,PG,80.0,31.0,2103.0,8.3,16.4,0.503,1.6,4.1,0.404,6.6,12.3,0.536,4.1,5.4,0.764,1.6,3.4,5.0,9.0,1.9,0.1,3.3,3.2,22.3,,118.0,110.0
2012,24.0,DEN,NBA,PG,61.0,61.0,2124.0,9.0,18.4,0.488,1.8,4.8,0.365,7.2,13.6,0.531,4.3,5.2,0.824,1.3,4.2,5.4,9.6,2.0,0.1,3.6,2.3,24.0,,116.0,108.0
2013,25.0,DEN,NBA,PG,73.0,71.0,2513.0,9.0,19.5,0.461,1.7,4.7,0.366,7.3,14.8,0.491,4.7,6.2,0.756,0.7,3.3,4.0,10.1,2.1,0.2,3.7,2.7,24.4,,113.0,109.0
2014,26.0,DEN,NBA,PG,62.0,61.0,2222.0,7.6,17.8,0.431,1.6,4.4,0.356,6.1,13.3,0.455,7.1,8.9,0.798,0.9,3.9,4.7,12.0,2.2,0.2,4.4,2.5,24.0,,113.0,110.0
2015,27.0,DEN,NBA,PG,75.0,75.0,2665.0,7.6,17.4,0.436,1.3,3.8,0.341,6.3,13.5,0.463,5.0,6.8,0.73,0.8,3.6,4.4,13.5,1.7,0.2,3.5,2.4,21.4,,113.0,111.0
2016,28.0,TOT,NBA,PG,66.0,13.0,1411.0,4.9,12.4,0.393,1.3,3.8,0.333,3.6,8.6,0.419,2.1,3.0,0.686,0.9,3.3,4.2,8.3,1.9,0.2,3.3,3.0,13.0,,100.0,111.0
2016,28.0,HOU,NBA,PG,53.0,12.0,1176.0,4.6,12.0,0.387,1.3,3.9,0.33,3.3,8.1,0.415,2.3,3.3,0.7,0.8,2.9,3.7,7.5,1.8,0.3,3.4,3.0,12.9,,98.0,112.0
2016,28.0,IND,NBA,PG,13.0,1.0,235.0,5.9,14.2,0.418,1.1,3.0,0.357,4.9,11.2,0.434,0.6,1.3,0.5,1.3,5.3,6.6,12.0,2.1,0.2,2.7,3.4,13.5,,106.0,104.0
2017,29.0,SAC,NBA,PG,69.0,24.0,1732.0,6.9,15.2,0.454,1.0,3.4,0.288,5.9,11.8,0.502,5.1,6.3,0.797,1.3,3.9,5.2,9.8,2.2,0.2,3.8,3.5,19.9,,110.0,113.0
