Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1981,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",21.0,NBA,C,56.0,,1579.0,8.4,19.9,0.42,0.0,0.0,0.0,8.4,19.8,0.42,4.5,5.8,0.77,4.0,8.1,12.1,2.1,1.6,2.9,3.7,3.7,21.3,,95.0,104.0
1982,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",22.0,NBA,C,64.0,6.0,740.0,7.5,17.0,0.44,0.0,0.0,,7.5,17.0,0.44,6.1,7.4,0.82,4.4,7.3,11.7,2.6,1.1,3.0,3.5,4.3,21.1,,105.0,102.0
1983,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",23.0,NBA,C,80.0,1.0,1255.0,7.8,15.7,0.5,0.0,0.0,0.0,7.8,15.6,0.5,6.4,8.3,0.78,5.7,8.4,14.1,2.2,1.3,4.3,4.6,4.3,22.1,,107.0,96.0
1984,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",24.0,NBA,C,82.0,2.0,1655.0,6.7,13.0,0.51,0.0,0.1,0.0,6.7,12.9,0.52,4.1,5.2,0.8,4.5,7.7,12.2,2.6,1.0,2.0,3.4,4.6,17.5,,110.0,105.0
1985,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",25.0,NBA,C,81.0,54.0,2418.0,7.5,16.1,0.46,0.0,0.0,0.0,7.5,16.1,0.46,5.4,6.4,0.84,4.5,7.9,12.4,3.1,0.7,1.8,2.7,2.7,20.4,,113.0,108.0
1986,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",26.0,NBA,C,81.0,78.0,2525.0,9.0,17.5,0.52,0.0,0.0,0.0,9.0,17.4,0.52,6.5,7.2,0.89,3.8,8.5,12.3,2.4,1.0,1.3,2.6,3.0,24.5,,120.0,106.0
1987,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",27.0,NBA,C,72.0,66.0,2272.0,9.0,19.6,0.46,0.0,0.0,,9.0,19.6,0.46,6.5,7.7,0.85,4.0,9.1,13.1,2.1,1.1,1.4,2.7,3.3,24.5,,111.0,109.0
1988,31.0,1049,TOT,Total After Trade,Mike Gminski,"August 3, 1959",28.0,NBA,C,81.0,81.0,2961.0,8.4,18.8,0.45,0.0,0.0,0.0,8.4,18.8,0.45,5.9,6.5,0.91,4.1,9.5,13.6,2.3,1.1,2.0,3.0,2.9,22.8,,109.0,108.0
1988,3.0,1049,NJN,New Jersey Nets,Mike Gminski,"August 3, 1959",28.0,NBA,C,34.0,34.0,1194.0,8.8,19.3,0.45,0.0,0.1,0.0,8.8,19.3,0.46,5.8,6.8,0.86,3.3,9.7,13.1,2.2,1.1,1.3,3.4,3.2,23.4,,104.0,108.0
1988,23.0,1049,PHI,Philadelphia 76Ers,Mike Gminski,"August 3, 1959",28.0,NBA,C,47.0,47.0,1767.0,8.2,18.4,0.44,0.0,0.0,,8.2,18.4,0.44,6.0,6.4,0.94,4.6,9.4,14.0,2.4,1.0,2.4,2.7,2.8,22.4,,113.0,108.0
1989,23.0,1049,PHI,Philadelphia 76Ers,Mike Gminski,"August 3, 1959",29.0,NBA,C,82.0,82.0,2739.0,9.9,20.7,0.48,0.0,0.1,0.0,9.9,20.6,0.48,5.3,6.1,0.87,3.8,9.9,13.7,2.5,0.8,1.9,2.3,2.5,25.1,,113.0,110.0
1990,23.0,1049,PHI,Philadelphia 76Ers,Mike Gminski,"August 3, 1959",30.0,NBA,C,81.0,81.0,2659.0,8.6,18.7,0.46,0.1,0.3,0.18,8.5,18.4,0.46,3.6,4.4,0.82,3.7,9.2,12.8,2.4,0.8,1.9,1.8,2.5,20.8,,110.0,107.0
1991,31.0,1049,TOT,Total After Trade,Mike Gminski,"August 3, 1959",31.0,NBA,C,80.0,79.0,2196.0,8.1,18.3,0.44,0.0,0.3,0.14,8.0,17.9,0.45,2.9,3.6,0.81,4.2,9.0,13.2,2.1,0.9,1.3,1.9,2.2,19.1,,103.0,109.0
