Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2015,22.0,CLE,NBA,PG,13.0,464.0,20.9,0.573,0.324,0.373,2.4,8.6,5.6,20.1,1.9,2.0,8.5,23.0,,1.5,0.5,2.0,0.209,,4.5,0.7,5.2,0.8
2016,23.0,CLE,NBA,PG,21.0,774.0,24.4,0.574,0.274,0.208,2.3,7.1,4.7,23.5,2.5,1.6,9.4,30.4,,2.6,0.8,3.4,0.21,,5.4,0.6,6.0,1.6
2017,24.0,CLE,NBA,PG,18.0,653.0,21.3,0.573,0.319,0.227,2.4,6.5,4.6,24.7,1.7,1.0,10.6,31.1,,1.6,0.4,2.0,0.147,,4.0,-1.8,2.2,0.7
2019,26.0,BOS,NBA,PG,9.0,330.0,15.4,0.488,0.324,0.223,1.6,10.3,6.2,35.8,1.7,1.1,12.5,29.8,,-0.1,0.5,0.4,0.06,,2.1,0.3,2.5,0.4
