SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,12,IND,Chuck Person,22,4,4,159,38,74,0.51,2,8,0.25,36,66,0.55,0.53,30,39,0.77,6,27,33,20,5,2,15,14,108
1987,12,IND,Steve Stipanovich,26,4,4,149,21,38,0.55,0,1,0.0,21,37,0.57,0.55,13,19,0.68,7,23,30,3,3,2,4,14,55
1987,12,IND,Vern Fleming,24,4,4,141,13,36,0.36,0,1,0.0,13,35,0.37,0.36,23,30,0.77,9,17,26,24,4,1,10,15,49
1987,12,IND,Herb Williams,28,4,4,134,20,34,0.59,0,0,,20,34,0.59,0.59,7,13,0.54,3,17,20,7,0,1,11,12,47
1987,12,IND,John Long,30,4,4,109,16,52,0.31,1,6,0.17,15,46,0.33,0.32,11,13,0.85,2,4,6,9,6,0,5,16,44
1987,12,IND,Wayman Tisdale,22,4,0,108,19,31,0.61,0,0,,19,31,0.61,0.61,13,23,0.56,5,11,16,9,1,0,5,17,51
1987,12,IND,Clint Richardson,30,4,0,73,7,12,0.58,0,1,0.0,7,11,0.64,0.58,2,4,0.5,3,7,10,8,0,0,5,12,16
1987,12,IND,Kyle Macy,29,4,0,49,2,6,0.33,0,1,0.0,2,5,0.4,0.33,0,1,0.0,0,3,3,5,1,0,3,7,4
1987,12,IND,Ron Anderson,28,4,0,24,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,1,3,0,0,0,0,2,4
1987,12,IND,Stuart Gray,23,3,0,14,0,1,0.0,0,0,,0,1,0.0,0.0,2,4,0.5,2,5,7,0,0,0,0,3,2
