Season,Team ID,Team,Team ABV
2018,10,Golden State Warriors,GSW
2018,11,Houston Rockets,HOU
2018,19,New Orleans Pelicans,NOP
2018,28,Toronto Raptors,TOR
2018,6,Cleveland Cavaliers,CLE
2018,8,Denver Nuggets,DEN
2018,23,Philadelphia 76Ers,PHI
2018,18,Minnesota Timberwolves,MIN
2018,13,Los Angeles Clippers,LAC
2018,4,Charlotte Hornets,CHO
2018,14,Los Angeles Lakers,LAL
2018,21,Oklahoma City Thunder,OKC
2018,30,Washington Wizards,WAS
2018,3,Brooklyn Nets,BRK
2018,17,Milwaukee Bucks,MIL
2018,25,Portland Trail Blazers,POR
2018,12,Indiana Pacers,IND
2018,20,New York Knicks,NYK
2018,29,Utah Jazz,UTA
2018,2,Boston Celtics,BOS
2018,24,Phoenix Suns,PHO
2018,9,Detroit Pistons,DET
2018,16,Miami Heat,MIA
2018,22,Orlando Magic,ORL
2018,1,Atlanta Hawks,ATL
2018,5,Chicago Bulls,CHI
2018,27,San Antonio Spurs,SAS
2018,7,Dallas Mavericks,DAL
2018,15,Memphis Grizzlies,MEM
2018,26,Sacramento Kings,SAC
