Season,Team ID,Team,Team ABV
2012,8,Denver Nuggets,DEN
2012,27,San Antonio Spurs,SAS
2012,21,Oklahoma City Thunder,OKC
2012,29,Utah Jazz,UTA
2012,17,Milwaukee Bucks,MIL
2012,26,Sacramento Kings,SAC
2012,16,Miami Heat,MIA
2012,24,Phoenix Suns,PHO
2012,11,Houston Rockets,HOU
2012,18,Minnesota Timberwolves,MIN
2012,20,New York Knicks,NYK
2012,10,Golden State Warriors,GSW
2012,12,Indiana Pacers,IND
2012,13,Los Angeles Clippers,LAC
2012,14,Los Angeles Lakers,LAL
2012,25,Portland Trail Blazers,POR
2012,1,Atlanta Hawks,ATL
2012,5,Chicago Bulls,CHI
2012,7,Dallas Mavericks,DAL
2012,15,Memphis Grizzlies,MEM
2012,22,Orlando Magic,ORL
2012,30,Washington Wizards,WAS
2012,23,Philadelphia 76Ers,PHI
2012,3,New Jersey Nets,NJN
2012,6,Cleveland Cavaliers,CLE
2012,2,Boston Celtics,BOS
2012,9,Detroit Pistons,DET
2012,28,Toronto Raptors,TOR
2012,19,New Orleans Hornets,NOH
2012,4,Charlotte Bobcats,CHA
