Season,Team ID,Team,Team ABV
1980,27,San Antonio Spurs,SAS
1980,14,Los Angeles Lakers,LAL
1980,6,Cleveland Cavaliers,CLE
1980,20,New York Knicks,NYK
1980,2,Boston Celtics,BOS
1980,12,Indiana Pacers,IND
1980,24,Phoenix Suns,PHO
1980,11,Houston Rockets,HOU
1980,17,Milwaukee Bucks,MIL
1980,23,Philadelphia 76Ers,PHI
1980,9,Detroit Pistons,DET
1980,21,Seattle Supersonics,SEA
1980,3,New Jersey Nets,NJN
1980,8,Denver Nuggets,DEN
1980,26,Kansas City Kings,KCK
1980,13,San Diego Clippers,SDC
1980,5,Chicago Bulls,CHI
1980,30,Washington Bullets,WSB
1980,1,Atlanta Hawks,ATL
1980,10,Golden State Warriors,GSW
1980,25,Portland Trail Blazers,POR
1980,29,Utah Jazz,UTA
