Season,Team ID,Team,Team ABV
1983,8,Denver Nuggets,DEN
1983,14,Los Angeles Lakers,LAL
1983,27,San Antonio Spurs,SAS
1983,26,Kansas City Kings,KCK
1983,7,Dallas Mavericks,DAL
1983,9,Detroit Pistons,DET
1983,2,Boston Celtics,BOS
1983,23,Philadelphia 76Ers,PHI
1983,5,Chicago Bulls,CHI
1983,21,Seattle Supersonics,SEA
1983,29,Utah Jazz,UTA
1983,12,Indiana Pacers,IND
1983,10,Golden State Warriors,GSW
1983,13,San Diego Clippers,SDC
1983,25,Portland Trail Blazers,POR
1983,24,Phoenix Suns,PHO
1983,17,Milwaukee Bucks,MIL
1983,3,New Jersey Nets,NJN
1983,1,Atlanta Hawks,ATL
1983,20,New York Knicks,NYK
1983,11,Houston Rockets,HOU
1983,30,Washington Bullets,WSB
1983,6,Cleveland Cavaliers,CLE
