Season,Team ID,Team,Team ABV
1999,26,Sacramento Kings,SAC
1999,14,Los Angeles Lakers,LAL
1999,24,Phoenix Suns,PHO
1999,21,Seattle Supersonics,SEA
1999,25,Portland Trail Blazers,POR
1999,12,Indiana Pacers,IND
1999,11,Houston Rockets,HOU
1999,8,Denver Nuggets,DEN
1999,29,Utah Jazz,UTA
1999,2,Boston Celtics,BOS
1999,18,Minnesota Timberwolves,MIN
1999,4,Charlotte Hornets,CHO
1999,27,San Antonio Spurs,SAS
1999,17,Milwaukee Bucks,MIL
1999,7,Dallas Mavericks,DAL
1999,3,New Jersey Nets,NJN
1999,30,Washington Wizards,WAS
1999,28,Toronto Raptors,TOR
1999,13,Los Angeles Clippers,LAC
1999,9,Detroit Pistons,DET
1999,23,Philadelphia 76Ers,PHI
1999,22,Orlando Magic,ORL
1999,16,Miami Heat,MIA
1999,15,Vancouver Grizzlies,VAN
1999,10,Golden State Warriors,GSW
1999,6,Cleveland Cavaliers,CLE
1999,20,New York Knicks,NYK
1999,1,Atlanta Hawks,ATL
1999,5,Chicago Bulls,CHI
