Season,Team ID,Team,Team ABV
2002,7,Dallas Mavericks,DAL
2002,26,Sacramento Kings,SAC
2002,14,Los Angeles Lakers,LAL
2002,22,Orlando Magic,ORL
2002,18,Minnesota Timberwolves,MIN
2002,21,Seattle Supersonics,SEA
2002,10,Golden State Warriors,GSW
2002,17,Milwaukee Bucks,MIL
2002,12,Indiana Pacers,IND
2002,27,San Antonio Spurs,SAS
2002,25,Portland Trail Blazers,POR
2002,2,Boston Celtics,BOS
2002,3,New Jersey Nets,NJN
2002,29,Utah Jazz,UTA
2002,13,Los Angeles Clippers,LAC
2002,6,Cleveland Cavaliers,CLE
2002,24,Phoenix Suns,PHO
2002,9,Detroit Pistons,DET
2002,1,Atlanta Hawks,ATL
2002,4,Charlotte Hornets,CHO
2002,30,Washington Wizards,WAS
2002,11,Houston Rockets,HOU
2002,8,Denver Nuggets,DEN
2002,20,New York Knicks,NYK
2002,28,Toronto Raptors,TOR
2002,23,Philadelphia 76Ers,PHI
2002,15,Memphis Grizzlies,MEM
2002,5,Chicago Bulls,CHI
2002,16,Miami Heat,MIA
