Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1998,28,1933,TOR,Toronto Raptors,Tracy McGrady,"May 24, 1979",18.0,NBA,SF,64.0,17.0,1179.0,179.0,398.0,0.45,14.0,41.0,0.34,165.0,357.0,0.46,0.47,79.0,111.0,0.71,105.0,164.0,269.0,98.0,49.0,61.0,66.0,86.0,451.0,,0.0
1999,28,1933,TOR,Toronto Raptors,Tracy McGrady,"May 24, 1979",19.0,NBA,SF,49.0,2.0,1106.0,168.0,385.0,0.44,8.0,35.0,0.23,160.0,350.0,0.46,0.45,114.0,157.0,0.73,120.0,158.0,278.0,113.0,52.0,66.0,80.0,94.0,458.0,,0.0
2000,28,1933,TOR,Toronto Raptors,Tracy McGrady,"May 24, 1979",20.0,NBA,SF,79.0,34.0,2462.0,459.0,1018.0,0.45,18.0,65.0,0.28,441.0,953.0,0.46,0.46,277.0,392.0,0.71,188.0,313.0,501.0,263.0,90.0,151.0,160.0,201.0,1213.0,,0.0
2001,22,1933,ORL,Orlando Magic,Tracy McGrady,"May 24, 1979",21.0,NBA,SG,77.0,77.0,3087.0,788.0,1724.0,0.46,59.0,166.0,0.36,729.0,1558.0,0.47,0.47,430.0,587.0,0.73,192.0,388.0,580.0,352.0,116.0,118.0,198.0,160.0,2065.0,,0.0
2002,22,1933,ORL,Orlando Magic,Tracy McGrady,"May 24, 1979",22.0,NBA,SG,76.0,76.0,2912.0,715.0,1586.0,0.45,103.0,283.0,0.36,612.0,1303.0,0.47,0.48,415.0,555.0,0.75,150.0,447.0,597.0,400.0,119.0,73.0,189.0,139.0,1948.0,,1.0
2003,22,1933,ORL,Orlando Magic,Tracy McGrady,"May 24, 1979",23.0,NBA,SG,75.0,74.0,2954.0,829.0,1813.0,0.46,173.0,448.0,0.39,656.0,1365.0,0.48,0.5,576.0,726.0,0.79,121.0,367.0,488.0,411.0,124.0,59.0,195.0,156.0,2407.0,,1.0
2004,22,1933,ORL,Orlando Magic,Tracy McGrady,"May 24, 1979",24.0,NBA,SG,67.0,67.0,2675.0,653.0,1566.0,0.42,174.0,513.0,0.34,479.0,1053.0,0.46,0.47,398.0,500.0,0.8,95.0,307.0,402.0,370.0,93.0,42.0,179.0,129.0,1878.0,,0.0
2005,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",25.0,NBA,SF,78.0,78.0,3182.0,715.0,1660.0,0.43,142.0,435.0,0.33,573.0,1225.0,0.47,0.47,431.0,557.0,0.77,71.0,413.0,484.0,448.0,135.0,52.0,201.0,167.0,2003.0,,0.0
2006,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",26.0,NBA,SF,47.0,47.0,1745.0,410.0,1011.0,0.41,73.0,234.0,0.31,337.0,777.0,0.43,0.44,254.0,340.0,0.75,46.0,261.0,307.0,225.0,59.0,41.0,120.0,88.0,1147.0,,0.0
2007,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",27.0,NBA,SG,71.0,71.0,2539.0,638.0,1480.0,0.43,126.0,381.0,0.33,512.0,1099.0,0.47,0.47,345.0,488.0,0.71,56.0,322.0,378.0,458.0,92.0,36.0,213.0,136.0,1747.0,,0.0
2008,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",28.0,NBA,SG,66.0,62.0,2440.0,548.0,1307.0,0.42,86.0,295.0,0.29,462.0,1012.0,0.46,0.45,245.0,358.0,0.68,42.0,297.0,339.0,387.0,68.0,30.0,160.0,91.0,1427.0,,1.0
2009,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",29.0,NBA,SG,35.0,35.0,1181.0,188.0,485.0,0.39,44.0,117.0,0.38,144.0,368.0,0.39,0.43,125.0,156.0,0.8,20.0,134.0,154.0,175.0,42.0,15.0,69.0,38.0,545.0,,1.0
2010,31,1933,TOT,Total After Trade,Tracy McGrady,"May 24, 1979",30.0,NBA,SG,30.0,24.0,673.0,91.0,235.0,0.39,16.0,64.0,0.25,75.0,171.0,0.44,0.42,47.0,63.0,0.75,22.0,72.0,94.0,99.0,15.0,14.0,44.0,40.0,245.0,,0.0
2010,11,1933,HOU,Houston Rockets,Tracy McGrady,"May 24, 1979",30.0,NBA,SG,6.0,0.0,46.0,7.0,19.0,0.37,1.0,2.0,0.5,6.0,17.0,0.35,0.4,4.0,6.0,0.67,0.0,5.0,5.0,6.0,0.0,2.0,1.0,2.0,19.0,,0.0
2010,20,1933,NYK,New York Knicks,Tracy McGrady,"May 24, 1979",30.0,NBA,SG,24.0,24.0,627.0,84.0,216.0,0.39,15.0,62.0,0.24,69.0,154.0,0.45,0.42,43.0,57.0,0.75,22.0,67.0,89.0,93.0,15.0,12.0,43.0,38.0,226.0,,0.0
2011,9,1933,DET,Detroit Pistons,Tracy McGrady,"May 24, 1979",31.0,NBA,SG,72.0,39.0,1686.0,227.0,514.0,0.44,30.0,88.0,0.34,197.0,426.0,0.46,0.47,90.0,129.0,0.7,49.0,202.0,251.0,252.0,66.0,34.0,102.0,101.0,574.0,,0.0
2012,1,1933,ATL,Atlanta Hawks,Tracy McGrady,"May 24, 1979",32.0,NBA,SF,52.0,0.0,837.0,101.0,231.0,0.44,15.0,33.0,0.46,86.0,198.0,0.43,0.47,56.0,83.0,0.68,23.0,131.0,154.0,110.0,16.0,15.0,53.0,35.0,273.0,,0.0
