PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Ron Harper,28,5,5,41.2,7.8,17.4,0.44799999999999995,0.2,1.8,0.111,7.6,15.6,0.48700000000000004,0.45399999999999996,2.2,2.8,0.7859999999999999,2.0,4.4,6.4,4.6,1.0,0.8,3.0,2.6,18.0
Danny Manning,25,5,5,38.8,9.2,16.2,0.568,0.2,0.6,0.33299999999999996,9.0,15.6,0.5770000000000001,0.574,4.0,6.2,0.645,3.0,2.6,5.6,2.8,1.0,0.8,2.6,4.2,22.6
Doc Rivers,30,5,4,37.4,5.0,11.2,0.446,0.8,1.6,0.5,4.2,9.6,0.43799999999999994,0.48200000000000004,4.4,5.4,0.815,0.8,3.0,3.8,4.2,1.2,0.0,0.6,3.2,15.2
Ken Norman,27,5,5,36.8,5.4,10.6,0.509,0.0,0.4,0.0,5.4,10.2,0.529,0.509,1.8,3.4,0.529,3.8,6.0,9.8,3.0,0.8,0.6,1.2,3.6,12.6
Charles Smith,26,5,5,29.6,4.4,11.2,0.39299999999999996,0.0,0.0,,4.4,11.2,0.39299999999999996,0.39299999999999996,2.8,3.0,0.9329999999999999,2.0,3.6,5.6,1.8,0.8,2.4,2.0,4.8,11.6
James Edwards,36,5,0,17.4,2.0,4.8,0.41700000000000004,0.0,0.0,,2.0,4.8,0.41700000000000004,0.41700000000000004,2.4,3.8,0.632,1.0,1.6,2.6,0.6,0.2,0.2,0.8,2.2,6.4
Gary Grant,26,5,1,15.4,2.0,4.2,0.47600000000000003,0.0,0.4,0.0,2.0,3.8,0.526,0.47600000000000003,0.4,0.4,1.0,0.0,0.8,0.8,3.6,0.6,0.4,1.6,2.0,4.4
Olden Polynice,27,5,0,12.6,1.4,2.4,0.583,0.0,0.0,,1.4,2.4,0.583,0.583,0.4,1.2,0.33299999999999996,0.4,3.2,3.6,0.4,0.2,0.2,0.2,2.2,3.2
Loy Vaught,23,5,0,7.2,1.4,2.2,0.636,0.2,0.2,1.0,1.2,2.0,0.6,0.682,0.4,0.4,1.0,0.4,2.0,2.4,0.8,0.2,0.2,0.2,0.6,3.4
Danny Young,29,3,0,3.7,0.7,1.3,0.5,0.0,0.7,0.0,0.7,0.7,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,1.3
LeRon Ellis,22,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Kimble,25,3,0,1.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.0
