PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Terry Porter,28,21,21,41.4,7.0,13.6,0.516,1.8,3.7,0.474,5.2,9.9,0.531,0.581,5.7,6.8,0.8320000000000001,1.2,3.4,4.6,6.7,1.0,0.1,2.2,2.3,21.4
Clyde Drexler,29,21,21,40.3,9.4,20.2,0.466,0.9,3.9,0.235,8.5,16.4,0.52,0.488,6.6,8.1,0.807,2.9,4.5,7.4,7.0,1.5,1.0,2.8,3.7,26.3
Buck Williams,31,21,21,36.1,3.1,6.2,0.508,0.0,0.0,,3.1,6.2,0.508,0.508,3.3,4.3,0.758,2.9,5.6,8.5,1.0,1.3,0.8,2.1,3.5,9.6
Jerome Kersey,29,21,21,36.0,6.2,12.2,0.51,0.0,0.1,0.0,6.2,12.1,0.516,0.51,3.8,5.4,0.693,2.8,4.9,7.7,3.6,2.0,0.9,2.5,4.0,16.2
Kevin Duckworth,27,21,21,30.8,5.1,10.3,0.495,0.0,0.0,,5.1,10.3,0.495,0.495,1.7,2.5,0.66,1.9,3.7,5.6,2.0,0.5,0.6,2.1,3.6,11.9
Clifford Robinson,25,21,0,24.9,4.3,9.4,0.462,0.0,0.3,0.16699999999999998,4.3,9.1,0.47100000000000003,0.46399999999999997,2.1,3.7,0.5710000000000001,1.2,3.0,4.2,2.0,1.0,1.0,1.3,4.0,10.8
Danny Ainge,32,21,0,21.4,3.9,8.0,0.479,1.0,2.5,0.40399999999999997,2.9,5.6,0.513,0.541,1.9,2.2,0.83,0.4,1.5,1.9,2.3,0.7,0.0,1.2,2.8,10.6
Mark Bryant,26,12,0,9.7,0.8,2.4,0.345,0.0,0.0,,0.8,2.4,0.345,0.345,0.3,0.3,0.75,0.9,1.5,2.4,0.1,0.3,0.0,0.8,1.8,1.9
Wayne Cooper,35,3,0,9.0,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.0,0.0,,0.3,2.3,2.7,0.0,0.0,1.0,0.3,1.3,1.3
Ennis Whatley,29,15,0,6.4,0.4,1.3,0.3,0.0,0.1,0.0,0.4,1.3,0.316,0.3,0.3,0.3,1.0,0.0,0.7,0.7,0.9,0.5,0.0,0.3,0.7,1.1
Robert Pack,22,14,0,3.7,0.3,1.3,0.222,0.0,0.0,,0.3,1.3,0.222,0.222,0.2,0.3,0.75,0.1,0.3,0.4,0.5,0.4,0.1,0.2,0.7,0.8
Alaa Abdelnaby,23,8,0,3.1,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5
