Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2004,25.0,MEM,NBA,SF,4.0,0.0,69.0,4.9,12.1,0.4,2.4,5.7,0.429,2.4,6.5,0.375,3.2,4.9,0.667,4.9,4.9,9.7,0.8,0.0,0.8,3.2,13.8,15.4,,101.0,118.0
2005,26.0,MEM,NBA,SG,4.0,4.0,119.0,5.7,13.6,0.419,0.4,3.1,0.143,5.3,10.6,0.5,0.9,2.2,0.4,4.4,7.5,11.9,2.6,0.9,1.8,1.8,6.2,12.8,,100.0,123.0
2006,27.0,MEM,NBA,SF,4.0,4.0,129.0,4.5,9.0,0.5,0.9,3.1,0.286,3.6,5.8,0.615,0.9,2.7,0.333,3.1,7.2,10.3,0.9,1.8,0.9,3.6,7.2,10.8,,88.0,113.0
2007,28.0,HOU,NBA,SF,7.0,7.0,272.0,4.6,10.3,0.451,3.8,8.7,0.442,0.8,1.6,0.5,1.4,1.6,0.875,0.6,3.0,3.6,3.0,2.4,1.4,1.6,4.0,14.5,,121.0,104.0
2008,29.0,HOU,NBA,SF,6.0,6.0,246.0,4.6,10.4,0.444,2.8,5.8,0.48,1.8,4.6,0.4,1.8,2.5,0.727,1.6,3.7,5.3,0.7,1.4,1.2,1.8,4.4,13.8,,112.0,110.0
2009,30.0,HOU,NBA,SG,13.0,13.0,496.0,3.7,9.0,0.407,1.9,6.0,0.315,1.8,3.0,0.593,2.4,2.5,0.957,2.3,4.8,7.1,3.4,1.6,1.0,1.7,3.7,11.6,,118.0,107.0
2011,32.0,MEM,NBA,SF,13.0,0.0,339.0,4.6,10.4,0.439,1.3,4.6,0.276,3.3,5.8,0.568,0.9,1.4,0.667,2.7,5.5,8.2,2.4,1.1,0.9,0.9,4.2,11.3,,113.0,109.0
2012,33.0,MIA,NBA,SF,23.0,16.0,768.0,3.8,9.9,0.379,3.0,7.8,0.382,0.8,2.1,0.367,0.9,1.1,0.813,1.1,4.2,5.3,1.9,1.6,1.0,1.1,4.9,11.4,,112.0,104.0
2013,34.0,MIA,NBA,SF,22.0,0.0,392.0,3.8,13.0,0.29,3.6,12.3,0.295,0.1,0.7,0.2,3.2,3.9,0.821,1.3,4.1,5.3,1.7,0.7,0.8,0.7,6.9,14.4,,108.0,108.0
2014,35.0,MIA,NBA,SF,16.0,6.0,202.0,3.3,7.2,0.462,2.5,5.5,0.45,0.8,1.7,0.5,1.1,1.4,0.8,0.3,2.5,2.8,1.4,1.4,0.3,1.4,6.3,10.2,,114.0,115.0
