SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,2,BOS,Larry Bird,25,12,,490,88,206,0.43,1,6,0.17,87,200,0.44,0.43,37,45,0.82,33,117,150,67,23,17,38,43,214
1982,2,BOS,Robert Parish,28,12,,426,102,209,0.49,0,0,,102,209,0.49,0.49,51,75,0.68,43,92,135,18,5,48,39,47,255
1982,2,BOS,Cedric Maxwell,26,12,,385,62,120,0.52,0,0,,62,120,0.52,0.52,50,70,0.71,37,50,87,26,18,11,24,40,174
1982,2,BOS,Kevin McHale,24,12,,344,77,134,0.57,0,0,,77,134,0.57,0.57,40,53,0.76,41,44,85,11,5,27,16,44,194
1982,2,BOS,Gerald Henderson,26,12,,310,38,93,0.41,0,2,0.0,38,91,0.42,0.41,24,35,0.69,12,13,25,48,14,2,25,30,100
1982,2,BOS,M.L. Carr,31,12,,305,37,105,0.35,0,4,0.0,37,101,0.37,0.35,15,23,0.65,21,22,43,28,11,0,21,30,89
1982,2,BOS,Tiny Archibald,33,8,,277,30,70,0.43,0,4,0.0,30,66,0.46,0.43,25,28,0.89,1,16,17,52,5,2,23,21,85
1982,2,BOS,Chris Ford,33,12,,138,20,42,0.48,2,7,0.29,18,35,0.51,0.5,5,7,0.71,6,9,15,15,3,1,3,15,47
1982,2,BOS,Danny Ainge,22,10,,129,19,45,0.42,2,4,0.5,17,41,0.42,0.44,10,13,0.77,6,7,13,11,2,1,11,21,50
1982,2,BOS,Rick Robey,26,12,,122,21,40,0.52,0,0,,21,40,0.52,0.52,13,17,0.76,13,16,29,4,2,3,11,27,55
1982,2,BOS,Charles Bradley,22,7,,18,2,8,0.25,0,0,,2,8,0.25,0.25,0,2,0.0,1,4,5,1,1,0,4,6,4
1982,2,BOS,Eric Fernsten,28,5,,11,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,2,0,2,0,0,1,0,0,3
