PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Bobby Phills,25,4,4,146,7.3,16.6,0.442,1.5,2.7,0.5710000000000001,5.8,13.9,0.41700000000000004,5.8,7.7,0.75,1.2,3.5,4.6,2.3,3.5,0.0,3.5,3.1,22.0,,98,106
Hot Rod Williams,32,4,4,144,4.7,16.5,0.28600000000000003,0.0,0.4,0.0,4.7,16.1,0.293,1.2,3.1,0.375,1.2,8.6,9.8,4.3,3.5,1.2,3.9,4.3,10.6,,61,102
Mark Price,30,4,4,143,4.7,15.8,0.3,1.6,6.7,0.235,3.2,9.1,0.348,12.6,13.0,0.97,0.8,3.9,4.7,10.3,2.4,0.0,7.1,2.0,23.7,,99,108
Tyrone Hill,26,4,4,139,3.7,11.8,0.31,0.0,0.4,0.0,3.7,11.4,0.321,6.5,10.1,0.64,3.2,6.1,9.3,1.2,2.8,0.4,4.1,7.3,13.8,,80,105
Chris Mills,25,4,4,139,8.1,15.0,0.541,3.2,5.7,0.5710000000000001,4.9,9.3,0.522,2.0,2.0,1.0,0.8,5.7,6.5,4.5,1.2,0.8,2.4,7.3,21.5,,120,109
Michael Cage,33,4,0,81,5.6,12.5,0.444,0.0,0.7,0.0,5.6,11.8,0.47100000000000003,0.0,1.4,0.0,5.6,7.0,12.5,2.1,1.4,2.8,0.7,6.3,11.1,,101,105
Danny Ferry,28,4,0,67,10.9,21.1,0.52,6.7,12.6,0.5329999999999999,4.2,8.4,0.5,3.4,5.1,0.667,0.0,2.5,2.5,5.1,1.7,0.0,0.0,7.6,32.0,,138,110
Steve Colter,32,4,0,43,6.6,13.1,0.5,0.0,1.3,0.0,6.6,11.8,0.556,2.6,5.2,0.5,1.3,0.0,1.3,2.6,1.3,0.0,0.0,2.6,15.7,,111,113
Tony Campbell,32,4,0,37,9.2,21.4,0.429,1.5,3.1,0.5,7.6,18.3,0.41700000000000004,15.3,18.3,0.833,1.5,1.5,3.1,1.5,1.5,1.5,4.6,4.6,35.1,,108,110
John Battle,32,2,0,7,16.1,24.2,0.667,0.0,8.1,0.0,16.1,16.1,1.0,0.0,0.0,,0.0,0.0,0.0,8.1,0.0,0.0,0.0,8.1,32.2,,136,115
Greg Dreiling,32,1,0,7,0.0,16.1,0.0,0.0,0.0,,0.0,16.1,0.0,0.0,0.0,,0.0,8.1,8.1,0.0,0.0,0.0,0.0,16.1,0.0,,0,110
Fred Roberts,34,1,0,7,24.2,32.2,0.75,0.0,0.0,,24.2,32.2,0.75,0.0,16.1,0.0,8.1,8.1,16.1,0.0,0.0,0.0,8.1,0.0,48.4,,90,111
