Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,22.0,SAS,NBA,SF,40.0,0.0,267.0,47.0,118.0,0.398,3.0,22.0,0.136,44.0,96.0,0.458,0.411,45.0,58.0,0.776,18.0,30.0,48.0,15.0,14.0,5.0,22.0,44.0,142.0
1996,25.0,HOU,NBA,SF,31.0,20.0,868.0,121.0,287.0,0.422,54.0,135.0,0.4,67.0,152.0,0.441,0.516,39.0,46.0,0.848,18.0,80.0,98.0,79.0,22.0,9.0,28.0,75.0,335.0
1997,26.0,HOU,NBA,SF,52.0,10.0,904.0,105.0,262.0,0.401,47.0,142.0,0.331,58.0,120.0,0.483,0.49,35.0,42.0,0.833,20.0,86.0,106.0,58.0,29.0,6.0,42.0,67.0,292.0
1998,27.0,VAN,NBA,SF,57.0,54.0,1414.0,222.0,559.0,0.397,110.0,269.0,0.409,112.0,290.0,0.386,0.496,62.0,77.0,0.805,30.0,103.0,133.0,101.0,41.0,11.0,69.0,117.0,616.0
1999,28.0,TOT,NBA,SF,44.0,15.0,1083.0,167.0,384.0,0.435,87.0,219.0,0.397,80.0,165.0,0.485,0.548,51.0,58.0,0.879,14.0,81.0,95.0,55.0,35.0,4.0,33.0,94.0,472.0
1999,28.0,VAN,NBA,SF,19.0,15.0,577.0,86.0,212.0,0.406,42.0,108.0,0.389,44.0,104.0,0.423,0.505,28.0,30.0,0.933,7.0,46.0,53.0,23.0,20.0,1.0,20.0,53.0,242.0
1999,28.0,HOU,NBA,SF,25.0,0.0,506.0,81.0,172.0,0.471,45.0,111.0,0.405,36.0,61.0,0.59,0.602,23.0,28.0,0.821,7.0,35.0,42.0,32.0,15.0,3.0,13.0,41.0,230.0
2002,31.0,MIA,NBA,SF,12.0,1.0,159.0,14.0,49.0,0.286,7.0,28.0,0.25,7.0,21.0,0.333,0.357,5.0,7.0,0.714,2.0,12.0,14.0,4.0,5.0,1.0,7.0,17.0,40.0
