Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,23.0,VAN,NBA,PF,82.0,50.0,1848.0,4.8,9.4,0.505,0.0,0.0,1.0,4.7,9.4,0.504,1.1,1.8,0.574,2.7,4.8,7.5,0.9,0.4,3.2,1.7,4.2,10.6
1998,24.0,TOT,NBA,PF,15.0,0.0,106.0,3.1,8.5,0.36,0.0,0.0,,3.1,8.5,0.36,0.7,2.0,0.333,2.7,3.1,5.8,0.7,1.0,2.7,1.7,6.1,6.8
1998,24.0,BOS,NBA,PF,9.0,0.0,37.0,2.9,7.8,0.375,0.0,0.0,,2.9,7.8,0.375,1.0,1.9,0.5,0.0,4.9,4.9,1.0,1.9,3.9,1.0,5.8,6.8
1998,24.0,TOR,NBA,PF,6.0,0.0,69.0,3.1,8.9,0.353,0.0,0.0,,3.1,8.9,0.353,0.5,2.1,0.25,4.2,2.1,6.3,0.5,0.5,2.1,2.1,6.3,6.8
