Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",23.0,NBA,PG,18.0,,675.0,89.0,174.0,0.51,1.0,5.0,0.2,88.0,169.0,0.52,0.51,29.0,41.0,0.71,22.0,52.0,74.0,111.0,45.0,4.0,45.0,43.0,208.0,,0.0
1981,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",24.0,NBA,PG,16.0,,513.0,68.0,125.0,0.54,0.0,3.0,0.0,68.0,122.0,0.56,0.54,32.0,42.0,0.76,4.0,47.0,51.0,116.0,40.0,12.0,36.0,55.0,168.0,,0.0
1982,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",25.0,NBA,PG,21.0,,765.0,125.0,265.0,0.47,1.0,9.0,0.11,124.0,256.0,0.48,0.47,50.0,65.0,0.77,15.0,47.0,62.0,172.0,48.0,6.0,49.0,58.0,301.0,,0.0
1983,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",26.0,NBA,PG,13.0,,483.0,83.0,165.0,0.5,1.0,2.0,0.5,82.0,163.0,0.5,0.51,45.0,64.0,0.7,11.0,28.0,39.0,91.0,26.0,2.0,34.0,23.0,212.0,,0.0
1984,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",27.0,NBA,PG,5.0,,171.0,35.0,67.0,0.52,0.0,1.0,0.0,35.0,66.0,0.53,0.52,13.0,15.0,0.87,2.0,10.0,12.0,19.0,13.0,0.0,10.0,18.0,83.0,,0.0
1985,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",28.0,NBA,PG,13.0,13.0,483.0,81.0,153.0,0.53,0.0,5.0,0.0,81.0,148.0,0.55,0.53,36.0,42.0,0.86,12.0,34.0,46.0,67.0,31.0,5.0,34.0,29.0,198.0,,0.0
1986,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",29.0,NBA,PG,12.0,12.0,519.0,94.0,182.0,0.52,0.0,7.0,0.0,94.0,175.0,0.54,0.52,62.0,73.0,0.85,13.0,43.0,56.0,85.0,13.0,3.0,32.0,18.0,250.0,,1.0
1987,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",30.0,NBA,PG,5.0,5.0,210.0,35.0,66.0,0.53,0.0,1.0,0.0,35.0,65.0,0.54,0.53,18.0,21.0,0.86,1.0,12.0,13.0,44.0,9.0,4.0,12.0,14.0,88.0,,0.0
1989,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,"September 8, 1956",32.0,NBA,PG,3.0,3.0,128.0,21.0,41.0,0.51,0.0,1.0,0.0,21.0,40.0,0.52,0.51,11.0,13.0,0.85,3.0,8.0,11.0,39.0,7.0,1.0,3.0,4.0,53.0,,0.0
1990,20,522,NYK,New York Knicks,Maurice Cheeks,"September 8, 1956",33.0,NBA,PG,10.0,10.0,388.0,50.0,104.0,0.48,0.0,4.0,0.0,50.0,100.0,0.5,0.48,28.0,31.0,0.9,12.0,27.0,39.0,85.0,17.0,2.0,19.0,21.0,128.0,,0.0
1991,20,522,NYK,New York Knicks,Maurice Cheeks,"September 8, 1956",34.0,NBA,PG,3.0,3.0,101.0,14.0,23.0,0.61,1.0,3.0,0.33,13.0,20.0,0.65,0.63,1.0,2.0,0.5,3.0,6.0,9.0,16.0,3.0,1.0,8.0,9.0,30.0,,0.0
1993,3,522,NJN,New Jersey Nets,Maurice Cheeks,"September 8, 1956",36.0,NBA,PG,5.0,0.0,82.0,11.0,23.0,0.48,0.0,0.0,,11.0,23.0,0.48,0.48,0.0,1.0,0.0,3.0,3.0,6.0,14.0,6.0,1.0,7.0,3.0,22.0,,0.0
