Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,23.0,PHI,NBA,PG,18.0,,675.0,89.0,174.0,0.511,1.0,5.0,0.2,88.0,169.0,0.521,0.514,29.0,41.0,0.707,22.0,52.0,74.0,111.0,45.0,4.0,45.0,43.0,208.0,,0.0
1981,24.0,PHI,NBA,PG,16.0,,513.0,68.0,125.0,0.544,0.0,3.0,0.0,68.0,122.0,0.557,0.544,32.0,42.0,0.762,4.0,47.0,51.0,116.0,40.0,12.0,36.0,55.0,168.0,,0.0
1982,25.0,PHI,NBA,PG,21.0,,765.0,125.0,265.0,0.472,1.0,9.0,0.111,124.0,256.0,0.484,0.474,50.0,65.0,0.769,15.0,47.0,62.0,172.0,48.0,6.0,49.0,58.0,301.0,,0.0
1983,26.0,PHI,NBA,PG,13.0,,483.0,83.0,165.0,0.503,1.0,2.0,0.5,82.0,163.0,0.503,0.506,45.0,64.0,0.703,11.0,28.0,39.0,91.0,26.0,2.0,34.0,23.0,212.0,,0.0
1984,27.0,PHI,NBA,PG,5.0,,171.0,35.0,67.0,0.522,0.0,1.0,0.0,35.0,66.0,0.53,0.522,13.0,15.0,0.867,2.0,10.0,12.0,19.0,13.0,0.0,10.0,18.0,83.0,,0.0
1985,28.0,PHI,NBA,PG,13.0,13.0,483.0,81.0,153.0,0.529,0.0,5.0,0.0,81.0,148.0,0.547,0.529,36.0,42.0,0.857,12.0,34.0,46.0,67.0,31.0,5.0,34.0,29.0,198.0,,0.0
1986,29.0,PHI,NBA,PG,12.0,12.0,519.0,94.0,182.0,0.516,0.0,7.0,0.0,94.0,175.0,0.537,0.516,62.0,73.0,0.849,13.0,43.0,56.0,85.0,13.0,3.0,32.0,18.0,250.0,,1.0
1987,30.0,PHI,NBA,PG,5.0,5.0,210.0,35.0,66.0,0.53,0.0,1.0,0.0,35.0,65.0,0.538,0.53,18.0,21.0,0.857,1.0,12.0,13.0,44.0,9.0,4.0,12.0,14.0,88.0,,0.0
1989,32.0,PHI,NBA,PG,3.0,3.0,128.0,21.0,41.0,0.512,0.0,1.0,0.0,21.0,40.0,0.525,0.512,11.0,13.0,0.846,3.0,8.0,11.0,39.0,7.0,1.0,3.0,4.0,53.0,,0.0
1990,33.0,NYK,NBA,PG,10.0,10.0,388.0,50.0,104.0,0.481,0.0,4.0,0.0,50.0,100.0,0.5,0.481,28.0,31.0,0.903,12.0,27.0,39.0,85.0,17.0,2.0,19.0,21.0,128.0,,0.0
1991,34.0,NYK,NBA,PG,3.0,3.0,101.0,14.0,23.0,0.609,1.0,3.0,0.333,13.0,20.0,0.65,0.63,1.0,2.0,0.5,3.0,6.0,9.0,16.0,3.0,1.0,8.0,9.0,30.0,,0.0
1993,36.0,NJN,NBA,PG,5.0,0.0,82.0,11.0,23.0,0.478,0.0,0.0,,11.0,23.0,0.478,0.478,0.0,1.0,0.0,3.0,3.0,6.0,14.0,6.0,1.0,7.0,3.0,22.0,,0.0
