Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,24.0,161,PHO,Phoenix Suns,21.0,NBA,PG,70,46,21.4,3.0,6.7,.447,1.2,3.0,.395,1.8,3.7,.488,.535,0.7,0.9,.770,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9
2005,24.0,161,PHO,Phoenix Suns,22.0,NBA,PG,63,6,17.3,2.7,5.6,.475,0.8,2.2,.367,1.9,3.4,.544,.547,0.9,1.1,.797,0.5,1.6,2.1,2.0,0.5,0.1,1.4,2.0,7.0
2006,24.0,161,PHO,Phoenix Suns,23.0,NBA,SG,57,11,27.9,4.8,9.9,.481,1.5,3.4,.444,3.3,6.5,.501,.558,1.9,2.6,.755,0.5,2.1,2.6,2.8,0.8,0.1,1.6,2.5,13.1
2007,24.0,161,PHO,Phoenix Suns,24.0,NBA,SG,80,18,32.7,6.6,13.9,.476,2.4,5.5,.434,4.2,8.4,.504,.562,2.5,2.9,.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6,18.1
2008,24.0,161,PHO,Phoenix Suns,25.0,NBA,SG,82,12,29.5,5.8,12.5,.462,2.0,5.1,.389,3.8,7.3,.514,.543,2.1,2.6,.822,0.5,2.3,2.8,2.6,0.9,0.2,1.4,2.4,15.6
2009,24.0,161,PHO,Phoenix Suns,26.0,NBA,SG,70,11,24.4,5.2,10.8,.482,1.3,3.4,.375,3.9,7.4,.532,.542,2.4,2.8,.881,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2
2010,24.0,161,PHO,Phoenix Suns,27.0,NBA,PG,44,5,17.9,3.5,8.3,.425,1.0,3.1,.324,2.5,5.2,.485,.485,1.5,1.7,.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5
2011,28.0,161,TOR,Toronto Raptors,28.0,NBA,SG,58,0,24.1,5.1,11.3,.450,1.2,3.7,.338,3.8,7.6,.505,.505,1.9,2.4,.796,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,13.3
2012,31.0,161,TOT,Total After Trade,29.0,NBA,SG,64,0,21.6,4.2,10.0,.425,1.0,2.7,.382,3.2,7.3,.441,.476,1.6,1.9,.815,0.5,1.5,2.0,1.5,0.9,0.1,1.5,2.1,11.1
2012,28.0,161,TOR,Toronto Raptors,29.0,NBA,SG,42,0,22.5,4.7,10.8,.436,1.0,2.6,.360,3.8,8.2,.461,.480,1.8,2.2,.835,0.5,1.4,1.9,1.5,0.9,0.2,1.6,2.4,12.2
2012,12.0,161,IND,Indiana Pacers,29.0,NBA,SG,22,0,19.8,3.3,8.3,.399,1.1,2.7,.424,2.2,5.6,.387,.467,1.1,1.5,.758,0.5,1.7,2.2,1.5,0.9,0.0,1.2,1.5,8.9
2013,2.0,161,BOS,Boston Celtics,30.0,NBA,PG,41,2,12.5,2.0,4.7,.430,0.4,1.1,.383,1.6,3.6,.445,.477,0.8,1.0,.756,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2
2014,24.0,161,PHO,Phoenix Suns,31.0,NBA,PG,20,0,18.4,2.8,6.6,.427,0.4,1.3,.280,2.5,5.3,.462,.454,1.6,2.0,.795,0.3,1.6,1.9,1.6,0.4,0.2,1.0,1.5,7.5
2015,10.0,161,GSW,Golden State Warriors,32.0,NBA,SG,66,1,14.9,2.8,5.8,.474,0.7,1.7,.384,2.1,4.2,.511,.530,0.9,1.1,.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1
2016,10.0,161,GSW,Golden State Warriors,33.0,NBA,SG,68,0,15.9,2.5,5.4,.462,0.6,1.6,.355,1.9,3.8,.508,.515,0.8,0.9,.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4
2017,24.0,161,PHO,Phoenix Suns,34.0,NBA,SG,67,0,14.4,2.6,5.9,.439,0.5,1.5,.357,2.0,4.4,.466,.483,0.6,0.7,.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
