Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,Arena,Attend.,Attend./G
2002,26,SAC,Sacramento Kings,27.0,61.0,21.0,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.31,0.17,0.54,0.5,12.4,27.9,0.23,71.7,ARCO Arena (II),709997,17317
2002,14,LAL,Los Angeles Lakers,27.9,58.0,24.0,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.31,0.21,0.53,0.5,11.8,28.8,0.22,72.0,STAPLES Center,778777,18995
2002,27,SAS,San Antonio Spurs,28.5,58.0,24.0,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.35,0.19,0.54,0.49,13.8,27.2,0.26,71.9,Alamodome,906390,22107
2002,7,DAL,Dallas Mavericks,27.6,57.0,25.0,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.29,0.24,0.55,0.51,11.3,26.1,0.23,70.7,American Airlines Center,802783,19580
2002,3,NJN,New Jersey Nets,26.1,52.0,30.0,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.18,0.52,0.48,13.4,29.2,0.21,71.6,Continental Airlines Arena,564194,13761
2002,18,MIN,Minnesota Timberwolves,26.7,50.0,32.0,51,31,3.38,0.2,3.58,109.0,105.3,3.7,90.5,0.26,0.15,0.53,0.49,12.5,31.3,0.2,73.7,Target Center,731673,17846
2002,21,SEA,Seattle Supersonics,26.9,45.0,37.0,50,32,3.02,0.22,3.24,108.9,105.6,3.3,89.0,0.25,0.19,0.54,0.5,13.2,29.4,0.19,68.1,KeyArena at Seattle Center,633516,15452
2002,25,POR,Portland Trail Blazers,29.0,49.0,33.0,50,32,2.99,0.22,3.21,107.4,104.0,3.4,89.3,0.28,0.2,0.53,0.48,13.5,31.8,0.22,73.3,Rose Garden Arena,797821,19459
2002,2,BOS,Boston Celtics,26.2,49.0,33.0,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.29,0.29,0.52,0.48,12.8,24.1,0.22,72.9,FleetCenter,659751,16091
2002,9,DET,Detroit Pistons,29.5,50.0,32.0,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.5,14.3,24.4,0.24,70.5,The Palace of Auburn Hills,760807,18556
2002,23,PHI,Philadelphia 76Ers,29.0,43.0,39.0,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.33,0.11,0.51,0.45,14.6,31.7,0.26,72.1,First Union Center,842976,20560
2002,22,ORL,Orlando Magic,28.0,44.0,38.0,46,36,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.28,0.24,0.53,0.49,12.6,26.3,0.21,69.2,TD Waterhouse Centre,621121,15149
2002,29,UTA,Utah Jazz,29.9,44.0,38.0,44,38,0.89,0.32,1.21,105.6,104.6,1.0,90.3,0.38,0.13,0.53,0.47,15.4,33.5,0.29,71.7,Delta Center,766108,18686
2002,4,CHO,Charlotte Hornets,28.3,44.0,38.0,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.15,0.51,0.47,13.3,30.6,0.24,72.2,Charlotte Coliseum,462738,11286
2002,12,IND,Indiana Pacers,26.1,42.0,40.0,42,40,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.33,0.18,0.53,0.48,14.2,27.0,0.25,71.0,Conseco Fieldhouse,686537,16745
2002,13,LAC,Los Angeles Clippers,24.4,39.0,43.0,40,42,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,0.3,0.17,0.52,0.48,13.8,31.3,0.22,69.9,STAPLES Center,740185,18053
2002,24,PHO,Phoenix Suns,26.5,36.0,46.0,39,43,-0.68,0.39,-0.3,103.3,104.0,-0.7,91.4,0.24,0.16,0.51,0.47,13.6,30.1,0.18,70.2,America West Arena,668939,16316
2002,17,MIL,Milwaukee Bucks,28.9,41.0,41.0,40,42,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.27,0.24,0.54,0.51,13.6,25.6,0.2,70.9,Bradley Center,745305,18178
