Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,29,841,UTA,Utah Jazz,Howard Eisley,1972-12-04,23.0,NBA,PG,18.0,0.0,11.2,0.9,2.3,0.38,0.2,0.5,0.33,0.7,1.8,0.39,0.42,1.0,1.2,0.82,0.2,1.0,1.2,2.4,0.2,0.1,0.6,1.6,2.9
1997,29,841,UTA,Utah Jazz,Howard Eisley,1972-12-04,24.0,NBA,PG,20.0,0.0,10.9,1.9,3.8,0.5,0.5,1.0,0.47,1.5,2.9,0.51,0.56,1.4,1.4,0.96,0.2,0.7,0.9,2.0,0.2,0.0,0.9,1.4,5.6
1998,29,841,UTA,Utah Jazz,Howard Eisley,1972-12-04,25.0,NBA,PG,20.0,0.0,18.3,2.3,6.3,0.37,0.4,1.4,0.3,1.9,4.9,0.39,0.4,0.6,0.7,0.92,0.2,1.8,2.0,4.1,0.6,0.3,1.6,2.1,5.6
1999,29,841,UTA,Utah Jazz,Howard Eisley,1972-12-04,26.0,NBA,PG,11.0,0.0,21.9,2.4,6.5,0.37,0.5,2.2,0.21,1.9,4.3,0.45,0.4,2.2,2.6,0.83,0.3,1.5,1.8,2.9,0.6,0.3,1.8,2.5,7.4
2000,29,841,UTA,Utah Jazz,Howard Eisley,1972-12-04,27.0,NBA,PG,10.0,0.0,20.0,1.7,5.5,0.31,0.9,1.9,0.47,0.8,3.6,0.22,0.39,0.8,0.9,0.89,0.1,1.7,1.8,1.9,0.6,0.1,1.3,2.4,5.1
2001,7,841,DAL,Dallas Mavericks,Howard Eisley,1972-12-04,28.0,NBA,SG,9.0,0.0,21.6,2.1,5.9,0.36,1.1,2.9,0.38,1.0,3.0,0.33,0.45,0.4,0.4,1.0,0.1,1.2,1.3,1.9,0.6,0.1,1.4,2.0,5.8
