Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,29,121,UTA,Utah Jazz,22.0,NBA,C,31.0,0.0,112.0,9.4,20.6,0.46,0.0,0.0,,9.4,20.6,0.46,8.5,13.5,0.63,4.9,10.8,15.7,2.2,0.9,0.9,3.6,9.0,27.4,,105.0,104.0
1993,29,121,UTA,Utah Jazz,23.0,NBA,C,46.0,3.0,306.0,8.1,18.2,0.45,0.0,0.2,0.0,8.1,18.0,0.45,4.7,7.1,0.66,6.2,6.7,12.8,1.0,1.3,2.3,3.7,9.7,21.0,,98.0,107.0
1994,23,121,PHI,Philadelphia 76Ers,24.0,NBA,C,14.0,0.0,201.0,7.2,16.5,0.44,0.0,0.2,0.0,7.2,16.2,0.45,3.5,5.7,0.61,6.2,11.0,17.2,4.2,1.2,2.5,4.2,7.2,18.0,,96.0,106.0
1997,16,121,MIA,Miami Heat,27.0,NBA,C,82.0,17.0,1881.0,9.3,18.5,0.5,0.0,0.1,0.0,9.3,18.4,0.5,4.3,6.5,0.66,3.9,9.9,13.8,2.9,1.3,1.2,4.7,7.1,22.9,,99.0,99.0
1998,31,121,TOT,Total After Trade,28.0,NBA,C,78.0,50.0,2266.0,9.6,20.6,0.47,0.0,0.2,0.0,9.6,20.4,0.47,5.7,8.6,0.67,4.7,8.5,13.2,4.1,1.4,1.3,4.9,5.5,24.9,,100.0,105.0
1998,16,121,MIA,Miami Heat,28.0,NBA,C,52.0,25.0,1371.0,10.0,21.2,0.47,0.0,0.1,0.0,10.0,21.1,0.48,6.2,9.1,0.68,4.7,8.4,13.1,3.5,1.7,1.4,4.7,6.4,26.2,,102.0,101.0
1998,13,121,LAC,Los Angeles Clippers,28.0,NBA,C,26.0,25.0,895.0,8.9,19.7,0.45,0.0,0.3,0.0,8.9,19.4,0.46,5.1,7.8,0.65,4.6,8.5,13.2,5.1,1.0,1.3,5.2,4.0,23.0,,97.0,111.0
1999,22,121,ORL,Orlando Magic,29.0,NBA,C,49.0,49.0,1259.0,7.9,19.4,0.41,0.1,0.3,0.29,7.9,19.1,0.41,4.5,6.7,0.67,3.6,6.6,10.2,3.8,2.0,1.5,4.9,5.4,20.5,,89.0,97.0
2001,15,121,VAN,Vancouver Grizzlies,31.0,NBA,C,52.0,16.0,845.0,5.9,16.7,0.36,0.4,1.5,0.25,5.6,15.2,0.37,1.7,2.5,0.7,3.1,10.7,13.8,3.6,1.2,1.4,3.3,5.8,14.0,,81.0,103.0
2002,15,121,MEM,Memphis Grizzlies,32.0,NBA,C,21.0,8.0,307.0,6.2,15.8,0.39,0.0,0.5,0.0,6.2,15.3,0.4,0.7,0.7,1.0,1.9,10.3,12.2,2.2,1.5,0.9,1.9,6.2,13.0,,85.0,104.0
