Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1984,23.0,MIL,NBA,C,12.0,,66.0,8.3,19.5,0.423,0.0,0.0,,8.3,19.5,0.423,2.3,3.8,0.6,4.5,8.3,12.8,3.0,0.0,4.5,1.5,13.5,18.8,,102.0,103.0
1985,24.0,MIL,NBA,C,8.0,0.0,104.0,7.0,12.1,0.577,0.0,0.0,,7.0,12.1,0.577,6.5,9.7,0.667,4.2,7.0,11.1,0.0,0.9,0.9,3.7,7.0,20.4,,111.0,112.0
1986,25.0,MIL,NBA,C,14.0,14.0,318.0,6.9,13.0,0.535,0.0,0.0,,6.9,13.0,0.535,3.9,5.7,0.684,3.0,6.0,9.1,1.7,1.7,2.7,2.0,5.7,17.8,,115.0,111.0
1987,26.0,MIL,NBA,C,12.0,2.0,156.0,5.0,10.2,0.485,0.0,0.0,,5.0,10.2,0.485,2.5,3.7,0.667,2.8,6.8,9.6,1.2,2.2,2.8,1.2,9.9,12.4,,111.0,112.0
1988,27.0,MIL,NBA,C,4.0,0.0,47.0,9.6,17.1,0.563,0.0,0.0,,9.6,17.1,0.563,1.1,6.4,0.167,2.1,10.7,12.8,1.1,1.1,2.1,1.1,7.5,20.3,,104.0,111.0
1989,28.0,MIL,NBA,C,9.0,1.0,162.0,5.9,11.0,0.531,0.0,0.0,,5.9,11.0,0.531,1.7,4.5,0.385,3.1,10.7,13.8,1.7,0.7,2.1,0.7,5.9,13.4,,112.0,112.0
1993,32.0,ATL,NBA,C,1.0,0.0,17.0,3.1,12.4,0.25,0.0,0.0,,3.1,12.4,0.25,0.0,0.0,,3.1,3.1,6.2,3.1,0.0,3.1,0.0,6.2,6.2,,82.0,125.0
