Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1999,31,1534,TOT,Total After Trade,Damon Jones,"August 25, 1976",22.0,NBA,PG,24.0,0.0,344.0,6.6,18.2,0.36,3.8,9.5,0.4,2.7,8.7,0.32,2.1,2.6,0.82,0.9,5.8,6.7,6.4,2.0,0.0,2.6,3.5,19.1,,105.0,104.0
1999,3,1534,NJN,New Jersey Nets,Damon Jones,"August 25, 1976",22.0,NBA,PG,11.0,0.0,131.0,5.6,17.6,0.32,4.0,11.6,0.34,1.6,6.0,0.27,4.4,5.2,0.85,0.8,4.4,5.2,5.2,2.8,0.0,2.0,2.8,19.6,,108.0,105.0
1999,2,1534,BOS,Boston Celtics,Damon Jones,"August 25, 1976",22.0,NBA,PG,13.0,0.0,213.0,7.1,18.5,0.39,3.7,8.1,0.46,3.4,10.3,0.33,0.7,1.0,0.75,1.0,6.7,7.6,7.1,1.5,0.0,3.0,3.9,18.7,,103.0,104.0
2001,15,1534,VAN,Vancouver Grizzlies,Damon Jones,"August 25, 1976",24.0,NBA,PG,71.0,10.0,1415.0,6.3,15.4,0.41,3.1,8.5,0.36,3.2,6.8,0.46,1.4,1.9,0.71,0.6,4.0,4.6,8.3,1.3,0.0,2.8,2.1,17.1,,104.0,109.0
2002,9,1534,DET,Detroit Pistons,Damon Jones,"August 25, 1976",25.0,NBA,PG,67.0,0.0,1083.0,5.6,14.0,0.4,3.4,9.2,0.37,2.2,4.8,0.46,2.1,2.9,0.73,0.6,4.4,5.1,6.9,1.1,0.0,3.0,4.1,16.7,,106.0,107.0
2003,26,1534,SAC,Sacramento Kings,Damon Jones,"August 25, 1976",26.0,NBA,PG,49.0,1.0,709.0,5.7,14.9,0.38,3.1,8.6,0.36,2.6,6.3,0.4,1.4,1.9,0.74,0.8,4.2,5.0,5.7,1.3,0.3,1.6,3.0,15.9,,107.0,104.0
2004,17,1534,MIL,Milwaukee Bucks,Damon Jones,"August 25, 1976",27.0,NBA,PG,82.0,26.0,2016.0,5.5,13.6,0.4,2.5,7.1,0.36,2.9,6.5,0.45,1.4,1.9,0.76,0.4,4.0,4.4,12.4,0.8,0.1,2.7,2.4,14.9,,112.0,110.0
2005,16,1534,MIA,Miami Heat,Damon Jones,"August 25, 1976",28.0,NBA,PG,82.0,66.0,2576.0,6.8,14.9,0.46,4.6,10.7,0.43,2.2,4.2,0.52,1.4,1.8,0.79,0.3,4.5,4.7,7.2,0.9,0.1,2.0,2.5,19.6,,124.0,107.0
2006,6,1534,CLE,Cleveland Cavaliers,Damon Jones,"August 25, 1976",29.0,NBA,PG,82.0,7.0,2089.0,4.9,12.6,0.39,3.6,9.5,0.38,1.3,3.1,0.42,0.8,1.3,0.64,0.4,3.0,3.4,4.3,0.9,0.0,1.4,2.9,14.1,,112.0,110.0
2007,6,1534,CLE,Cleveland Cavaliers,Damon Jones,"August 25, 1976",30.0,NBA,PG,60.0,0.0,1173.0,6.2,16.0,0.39,4.0,10.4,0.38,2.2,5.6,0.39,1.4,2.0,0.68,0.4,2.6,3.0,4.2,0.7,0.1,1.6,2.4,17.7,,109.0,107.0
2008,6,1534,CLE,Cleveland Cavaliers,Damon Jones,"August 25, 1976",31.0,NBA,SG,67.0,3.0,1336.0,6.0,14.5,0.42,4.6,11.0,0.42,1.4,3.5,0.41,0.8,1.1,0.71,0.2,2.7,2.9,5.0,0.8,0.0,1.4,2.6,17.4,,121.0,112.0
2009,17,1534,MIL,Milwaukee Bucks,Damon Jones,"August 25, 1976",32.0,NBA,PG,18.0,0.0,108.0,5.3,16.3,0.32,5.3,13.4,0.39,0.0,2.9,0.0,0.0,0.0,,0.0,2.9,2.9,3.4,1.4,0.0,2.9,1.9,15.8,,91.0,111.0
