PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Moses Malone,24,7,,275,13.4,25.0,0.536,0.0,0.2,0.0,13.4,24.8,0.54,6.0,7.8,0.767,7.6,10.0,17.6,1.3,0.7,2.9,4.0,3.3,32.8,,114,110
Robert Reid,24,7,,266,9.7,19.1,0.51,0.0,0.2,0.0,9.7,18.9,0.515,4.1,4.9,0.846,2.6,7.7,10.3,4.9,1.1,1.3,3.6,5.2,23.6,,110,112
Calvin Murphy,31,7,,265,10.9,20.3,0.537,0.4,0.8,0.5,10.5,19.6,0.5379999999999999,2.4,2.4,1.0,0.8,1.1,1.9,4.9,2.1,0.0,3.0,5.5,24.6,,112,116
Tom Henderson,28,7,,203,5.4,11.3,0.478,0.0,0.2,0.0,5.4,11.0,0.489,2.9,3.7,0.8,1.2,2.7,3.9,10.3,1.7,1.0,2.7,4.7,13.7,,114,115
Rudy Tomjanovich,31,7,,185,6.5,17.2,0.375,0.3,1.9,0.14300000000000002,6.2,15.4,0.40399999999999997,2.4,3.5,0.6920000000000001,3.2,7.5,10.8,2.7,0.5,0.0,3.8,5.7,15.6,,86,115
Allen Leavell,22,7,,149,3.3,12.7,0.263,0.0,1.3,0.0,3.3,11.4,0.294,6.4,7.0,0.905,0.7,3.3,4.0,8.0,2.0,0.0,2.0,4.0,13.0,,102,114
Billy Paultz,31,7,,128,5.1,15.6,0.325,0.0,0.0,,5.1,15.6,0.325,1.6,2.7,0.5710000000000001,4.7,8.2,12.8,3.1,0.4,1.2,4.3,5.1,11.7,,76,113
Rick Barry,35,6,,79,7.6,20.8,0.364,1.9,7.6,0.25,5.7,13.2,0.429,3.8,3.8,1.0,0.0,3.8,3.8,9.5,0.6,0.6,6.3,6.9,20.8,,90,116
Major Jones,26,6,,70,7.8,12.8,0.611,0.0,0.0,,7.8,12.8,0.611,4.3,6.4,0.667,5.7,10.0,15.7,2.8,0.0,1.4,2.8,5.7,19.9,,122,113
Mike Dunleavy,25,6,,45,6.6,13.3,0.5,0.0,2.2,0.0,6.6,11.1,0.6,5.5,6.6,0.833,2.2,3.3,5.5,14.4,5.5,0.0,6.6,12.2,18.8,,106,107
Alonzo Bradley,26,4,,15,19.9,29.9,0.667,3.3,3.3,1.0,16.6,26.6,0.625,10.0,16.6,0.6,3.3,6.6,10.0,3.3,3.3,0.0,0.0,6.6,53.1,,147,109
