PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Marques Johnson,23,7,,303,8.8,20.9,0.42200000000000004,0.2,0.5,0.33299999999999996,8.7,20.5,0.424,4.9,6.5,0.75,2.8,5.1,7.9,3.3,0.8,1.0,1.3,3.3,22.7,,108,105
Brian Winters,27,7,,268,8.5,18.5,0.46,1.7,3.9,0.429,6.8,14.6,0.46799999999999997,1.9,1.9,1.0,0.7,3.1,3.9,6.8,2.0,0.0,3.0,4.6,20.5,,107,105
Bob Lanier,31,7,,256,10.1,19.6,0.515,0.0,0.0,,10.1,19.6,0.515,6.0,8.1,0.738,3.3,9.3,12.6,6.0,1.4,1.5,3.3,4.5,26.1,,114,100
Dave Meyers,26,7,,195,6.6,15.8,0.419,0.0,0.8,0.0,6.6,15.0,0.441,3.6,7.6,0.467,4.1,4.8,8.9,3.6,2.3,1.5,3.8,6.4,16.8,,89,101
Sidney Moncrief,22,7,,182,8.2,13.9,0.588,0.0,0.0,,8.2,13.9,0.588,7.4,8.4,0.871,4.6,3.8,8.4,3.0,1.4,0.3,3.8,3.8,23.7,,122,105
Quinn Buckner,25,7,,165,5.4,15.9,0.34,0.0,0.3,0.0,5.4,15.6,0.34600000000000003,2.1,3.3,0.636,1.8,3.0,4.8,9.3,4.5,0.0,3.9,6.0,12.9,,85,100
Junior Bridgeman,26,5,,124,8.0,22.4,0.35700000000000004,0.0,0.4,0.0,8.0,22.0,0.364,4.4,6.0,0.733,1.6,6.0,7.6,6.8,2.0,0.8,5.6,6.8,20.4,,82,102
Richard Washington,24,7,,112,11.1,20.8,0.532,0.0,0.0,,11.1,20.8,0.532,0.4,1.8,0.25,3.1,5.8,8.9,1.3,1.8,3.5,3.5,9.7,22.6,,96,100
Harvey Catchings,28,6,,64,1.5,4.6,0.33299999999999996,0.0,0.0,,1.5,4.6,0.33299999999999996,1.5,3.1,0.5,3.9,12.4,16.3,1.5,0.0,6.2,1.5,10.1,4.6,,92,96
Pat Cummings,23,6,,57,9.6,14.8,0.647,0.0,0.0,,9.6,14.8,0.647,4.3,5.2,0.833,3.5,10.4,13.9,1.7,0.9,0.0,7.0,7.8,23.5,,99,101
Lloyd Walton,26,1,,4,0.0,12.4,0.0,0.0,0.0,,0.0,12.4,0.0,0.0,0.0,,0.0,12.4,12.4,12.4,0.0,12.4,12.4,0.0,0.0,,23,92
