Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2007,17,1380,MIL,Milwaukee Bucks,19.0,NBA,PF,66.0,973.0,12.1,0.5,0.41,0.24,6.9,16.0,11.4,7.8,1.4,1.4,11.3,21.0,,0.5,0.5,1.0,0.05,,-1.4,-1.5,-2.9,-0.2
2010,17,1380,MIL,Milwaukee Bucks,22.0,NBA,PF,81.0,1898.0,15.7,0.53,0.33,0.22,9.0,22.6,15.5,7.5,1.5,1.0,8.2,20.8,,2.5,3.3,5.8,0.15,,0.1,0.3,0.4,1.1
2011,17,1380,MIL,Milwaukee Bucks,23.0,NBA,PF,60.0,1505.0,14.3,0.52,0.24,0.2,7.9,20.7,14.1,6.6,1.8,1.3,10.2,19.1,,1.1,2.7,3.8,0.12,,-1.2,0.6,-0.6,0.5
2012,17,1380,MIL,Milwaukee Bucks,24.0,NBA,PF,60.0,1655.0,20.5,0.58,0.19,0.31,12.7,22.8,17.6,7.0,1.3,2.0,10.1,20.1,,4.4,2.0,6.4,0.18,,3.1,-1.1,1.9,1.6
2013,17,1380,MIL,Milwaukee Bucks,25.0,NBA,PF,73.0,2012.0,18.3,0.55,0.27,0.2,7.9,20.3,13.9,9.6,1.7,1.3,7.9,20.5,,4.1,2.5,6.7,0.16,,2.0,0.0,2.0,2.0
2014,17,1380,MIL,Milwaukee Bucks,26.0,NBA,PF,55.0,1478.0,13.8,0.49,0.23,0.22,8.0,18.8,13.3,8.4,1.6,0.4,8.7,21.3,,0.9,0.8,1.6,0.05,,-1.0,-1.8,-2.8,-0.3
2015,17,1380,MIL,Milwaukee Bucks,27.0,NBA,PF,58.0,1319.0,16.8,0.55,0.34,0.19,7.0,17.0,12.0,7.4,1.4,1.2,6.9,22.1,,2.3,1.7,4.0,0.15,,1.6,-0.5,1.1,1.0
2016,31,1380,TOT,Total After Trade,28.0,NBA,PF,74.0,1881.0,14.2,0.53,0.39,0.23,8.1,15.6,11.7,5.6,1.4,1.4,8.9,18.6,,2.4,2.0,4.4,0.11,,0.2,-0.4,-0.2,0.9
2016,9,1380,DET,Detroit Pistons,28.0,NBA,PF,52.0,1434.0,14.1,0.53,0.42,0.22,7.3,14.5,10.7,6.1,1.3,1.4,9.6,18.7,,1.8,1.5,3.3,0.11,,0.4,0.1,0.5,0.9
2016,22,1380,ORL,Orlando Magic,28.0,NBA,PF,22.0,447.0,14.7,0.52,0.29,0.29,11.0,19.1,15.0,4.0,1.6,1.1,6.5,18.3,,0.6,0.5,1.1,0.12,,-0.5,-1.9,-2.4,0.0
2017,31,1380,TOT,Total After Trade,29.0,NBA,PF,82.0,2142.0,14.6,0.55,0.45,0.23,5.9,18.8,12.4,11.0,1.3,0.9,10.6,22.2,,1.8,2.3,4.1,0.09,,0.4,-0.3,0.1,1.1
2017,21,1380,OKC,Oklahoma City Thunder,29.0,NBA,PF,3.0,62.0,6.9,0.47,0.75,0.0,3.6,25.0,14.3,2.2,2.4,1.3,20.0,13.7,,-0.1,0.1,0.0,0.01,,-4.1,1.4,-2.7,0.0
2017,23,1380,PHI,Philadelphia 76Ers,29.0,NBA,PF,53.0,1447.0,15.4,0.55,0.46,0.22,5.4,18.5,12.0,11.5,1.1,0.8,9.9,23.6,,1.4,1.3,2.6,0.09,,1.3,-0.8,0.4,0.9
2017,1,1380,ATL,Atlanta Hawks,29.0,NBA,PF,26.0,633.0,13.5,0.53,0.41,0.29,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,,0.5,0.9,1.4,0.11,,-1.0,0.6,-0.4,0.3
2018,31,1380,TOT,Total After Trade,30.0,NBA,PF,69.0,1729.0,14.9,0.56,0.41,0.22,7.6,18.0,12.9,7.9,1.7,1.3,9.7,18.7,,2.2,1.9,4.0,0.11,,-0.2,-0.4,-0.6,0.6
2018,1,1380,ATL,Atlanta Hawks,30.0,NBA,PF,46.0,1175.0,15.1,0.57,0.42,0.22,7.0,16.8,11.9,6.8,1.8,1.2,8.9,18.0,,1.6,1.0,2.6,0.11,,0.3,-0.5,-0.1,0.6
2018,23,1380,PHI,Philadelphia 76Ers,30.0,NBA,PF,23.0,554.0,14.6,0.54,0.39,0.21,8.9,20.6,15.0,10.4,1.5,1.4,11.1,20.1,,0.6,0.9,1.4,0.12,,-1.2,-0.3,-1.6,0.1
2019,17,1380,MIL,Milwaukee Bucks,31.0,NBA,PF,67.0,1231.0,11.6,0.55,0.42,0.19,8.2,16.2,12.5,5.5,1.2,1.4,10.4,15.7,,1.2,1.9,3.0,0.12,,-2.4,0.1,-2.3,-0.1
2020,17,1380,MIL,Milwaukee Bucks,32.0,NBA,PF,63.0,986.0,14.9,0.59,0.44,0.28,6.6,22.7,15.1,6.6,1.1,1.5,8.8,16.1,,1.6,2.0,3.6,0.17,,-0.3,0.8,0.4,0.6
