Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1980,32.0,PHI,NBA,SF,81.0,1543.0,19.5,0.577,0.014,0.354,8.3,11.5,10.0,14.8,2.0,0.3,14.0,24.5,,3.4,2.1,5.5,0.172,,2.5,-0.1,2.4,1.7
1981,33.0,PHI,NBA,SF,72.0,1327.0,19.7,0.57,0.005,0.417,9.3,12.2,10.8,12.3,2.1,0.8,11.4,23.4,,3.3,2.2,5.5,0.201,,2.6,0.4,3.0,1.7
1982,34.0,PHI,NBA,SF,75.0,1235.0,15.8,0.57,0.01,0.431,8.8,11.6,10.3,10.1,1.6,0.8,12.4,18.3,,2.3,1.4,3.7,0.144,,1.4,-0.4,1.0,0.9
1983,35.0,TOT,NBA,SF,58.0,809.0,15.1,0.544,0.014,0.311,5.4,12.8,9.3,12.1,2.0,0.2,12.3,18.7,,1.3,1.1,2.4,0.142,,0.2,0.6,0.8,0.6
1983,35.0,MIL,NBA,SF,57.0,792.0,15.1,0.548,0.015,0.319,5.4,13.1,9.4,12.1,2.0,0.2,12.6,18.6,,1.2,1.1,2.4,0.143,,0.3,0.6,0.9,0.6
1983,35.0,LAL,NBA,SF,1.0,17.0,13.2,0.431,0.0,0.1,6.8,0.0,3.3,15.3,0.0,0.0,0.0,24.3,,0.0,0.0,0.0,0.086,,-3.7,-0.4,-4.1,0.0
