Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1987,LAL,Magic Johnson,1,733.0,780,0.94,MVP
1987,CHI,Michael Jordan,2,449.0,780,0.576,MVP
1987,BOS,Larry Bird,3,271.0,780,0.347,MVP
1987,BOS,Kevin McHale,4,254.0,780,0.326,MVP
1987,ATL,Dominique Wilkins,5,128.0,780,0.164,MVP
1987,PHI,Charles Barkley,6,113.0,780,0.145,MVP
1987,HOU,Hakeem Olajuwon,7,28.0,780,0.036,MVP
1987,DET,Isiah Thomas,8,17.0,780,0.022,MVP
1987,DEN,Fat Lever,9,11.0,780,0.014,MVP
1987,WSB,Moses Malone,10,9.0,780,0.012,MVP
1987,POR,Steve Johnson,11,4.0,780,0.005,MVP
1987,UTA,Karl Malone,12T,3.0,780,0.004,MVP
1987,BOS,Robert Parish,12T,3.0,780,0.004,MVP
1987,DEN,Alex English,14,2.0,780,0.003,MVP
1987,DAL,Mark Aguirre,15T,1.0,780,0.001,MVP
1987,DAL,Rolando Blackman,15T,1.0,780,0.001,MVP
1987,GSW,Joe Barry Carroll,15T,1.0,780,0.001,MVP
