Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,24.0,KCK,NBA,SG,82.0,,2885.0,12.6,24.9,0.505,0.2,0.6,0.278,12.4,24.3,0.511,4.6,6.6,0.694,2.7,2.6,5.3,3.3,2.2,0.4,2.9,3.6,30.0,,108.0,103.0
1981,25.0,KCK,NBA,SG,71.0,,2593.0,13.0,23.9,0.544,0.2,0.6,0.286,12.8,23.2,0.551,5.8,8.3,0.697,2.2,2.5,4.7,4.3,1.7,0.3,3.2,3.1,31.9,,113.0,108.0
1982,26.0,NJN,NBA,SG,37.0,22.0,1025.0,10.2,21.8,0.469,0.0,0.5,0.0,10.2,21.4,0.479,3.4,5.8,0.583,1.4,3.0,4.4,5.6,1.4,0.2,2.9,3.4,23.8,,102.0,106.0
1983,27.0,NJN,NBA,SG,62.0,54.0,1885.0,10.4,20.4,0.511,0.0,0.1,0.333,10.4,20.3,0.512,2.0,3.6,0.566,1.3,2.4,3.7,5.9,2.1,0.4,2.8,3.8,22.9,,108.0,102.0
1984,28.0,NJN,NBA,SG,69.0,57.0,2168.0,12.5,24.6,0.508,0.1,0.4,0.25,12.4,24.2,0.513,4.2,6.9,0.608,1.6,2.1,3.7,5.7,1.8,0.4,3.7,3.9,29.3,,106.0,108.0
1985,29.0,NJN,NBA,SG,56.0,45.0,1842.0,12.8,25.0,0.511,0.1,0.5,0.19,12.7,24.4,0.518,4.2,6.7,0.622,1.5,2.3,3.8,6.0,2.2,0.2,3.0,3.7,29.8,,109.0,110.0
1986,30.0,NJN,NBA,SG,77.0,74.0,2395.0,10.5,20.5,0.513,0.2,0.4,0.364,10.4,20.1,0.516,2.4,4.1,0.581,1.7,2.2,3.9,5.1,1.6,0.3,3.5,4.4,23.5,,103.0,110.0
1987,31.0,NJN,NBA,SG,7.0,6.0,127.0,7.1,15.6,0.452,0.0,0.4,0.0,7.1,15.2,0.463,2.2,3.3,0.667,1.1,1.5,2.6,6.3,1.1,0.0,3.3,5.9,16.3,,97.0,115.0
1988,32.0,NJN,NBA,SG,67.0,59.0,1882.0,8.7,19.0,0.458,0.2,0.6,0.36,8.5,18.4,0.461,1.2,2.4,0.511,1.9,2.4,4.3,5.7,1.4,0.3,3.3,3.7,18.9,,95.0,113.0
1989,33.0,BOS,NBA,SG,13.0,0.0,108.0,8.2,16.3,0.5,0.5,1.4,0.333,7.7,14.9,0.515,0.0,0.9,0.0,1.8,4.1,5.9,4.1,1.4,0.5,5.4,4.5,16.8,,85.0,112.0
