Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,31,2070,TOT,Total After Trade,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,45.0,14.0,524.0,63.0,133.0,0.47,0.0,0.0,,63.0,133.0,0.47,0.47,37.0,52.0,0.71,46.0,75.0,121.0,15.0,15.0,25.0,35.0,84.0,163.0
2011,20,2070,NYK,New York Knicks,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,34.0,14.0,458.0,52.0,112.0,0.46,0.0,0.0,,52.0,112.0,0.46,0.46,31.0,44.0,0.7,41.0,63.0,104.0,15.0,14.0,23.0,32.0,76.0,135.0
2011,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,11.0,0.0,66.0,11.0,21.0,0.52,0.0,0.0,,11.0,21.0,0.52,0.52,6.0,8.0,0.75,5.0,12.0,17.0,0.0,1.0,2.0,3.0,8.0,28.0
2012,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",25.0,NBA,C,44.0,35.0,687.0,100.0,190.0,0.53,0.0,0.0,,100.0,190.0,0.53,0.53,39.0,57.0,0.68,53.0,126.0,179.0,22.0,15.0,42.0,53.0,86.0,239.0
2013,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",26.0,NBA,C,41.0,1.0,366.0,44.0,87.0,0.51,0.0,2.0,0.0,44.0,85.0,0.52,0.51,20.0,26.0,0.77,50.0,57.0,107.0,9.0,6.0,18.0,25.0,57.0,108.0
2014,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",27.0,NBA,C,82.0,30.0,1770.0,285.0,545.0,0.52,4.0,24.0,0.17,281.0,521.0,0.54,0.53,196.0,260.0,0.75,171.0,357.0,528.0,62.0,27.0,100.0,122.0,213.0,770.0
2015,31,2070,TOT,Total After Trade,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,81.0,80.0,2045.0,314.0,566.0,0.56,2.0,6.0,0.33,312.0,560.0,0.56,0.56,155.0,216.0,0.72,203.0,388.0,591.0,55.0,33.0,97.0,116.0,227.0,785.0
2015,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,35.0,35.0,897.0,117.0,232.0,0.5,2.0,6.0,0.33,115.0,226.0,0.51,0.51,63.0,86.0,0.73,91.0,181.0,272.0,16.0,15.0,41.0,47.0,114.0,299.0
2015,6,2070,CLE,Cleveland Cavaliers,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,46.0,45.0,1148.0,197.0,334.0,0.59,0.0,0.0,,197.0,334.0,0.59,0.59,92.0,130.0,0.71,112.0,207.0,319.0,39.0,18.0,56.0,69.0,113.0,486.0
2016,6,2070,CLE,Cleveland Cavaliers,Timofey Mozgov,"July 16, 1986",29.0,NBA,C,76.0,48.0,1326.0,203.0,359.0,0.56,1.0,7.0,0.14,202.0,352.0,0.57,0.57,68.0,95.0,0.72,110.0,227.0,337.0,33.0,22.0,57.0,71.0,159.0,475.0
2017,14,2070,LAL,Los Angeles Lakers,Timofey Mozgov,"July 16, 1986",30.0,NBA,C,54.0,52.0,1104.0,169.0,328.0,0.52,0.0,1.0,0.0,169.0,327.0,0.52,0.52,63.0,78.0,0.81,104.0,160.0,264.0,43.0,16.0,31.0,72.0,133.0,401.0
2018,3,2070,BRK,Brooklyn Nets,Timofey Mozgov,"July 16, 1986",31.0,NBA,C,31.0,13.0,359.0,52.0,93.0,0.56,4.0,18.0,0.22,48.0,75.0,0.64,0.58,23.0,30.0,0.77,32.0,66.0,98.0,11.0,5.0,13.0,33.0,39.0,131.0
