Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1992,29,UTA,Utah Jazz,Karl Malone,28,81,81,3054,13.1,25.0,0.53,0.0,0.3,0.18,13.1,24.7,0.53,11.1,14.2,0.78,3.7,11.3,15.0,4.0,1.8,0.8,4.1,3.7,37.4,,118,103
1992,29,UTA,Utah Jazz,John Stockton,29,82,82,3002,7.6,15.7,0.48,1.4,3.4,0.41,6.2,12.3,0.5,5.2,6.1,0.84,1.1,3.4,4.5,18.9,4.1,0.4,4.8,3.9,21.7,,120,104
1992,29,UTA,Utah Jazz,Jeff Malone,30,81,81,2922,11.9,23.3,0.51,0.0,0.2,0.08,11.9,23.1,0.52,4.4,4.9,0.9,0.8,3.2,4.0,3.1,1.0,0.1,2.4,2.2,28.2,,111,111
1992,29,UTA,Utah Jazz,Blue Edwards,26,81,81,2283,9.5,18.3,0.52,0.9,2.3,0.38,8.7,16.0,0.54,2.5,3.2,0.77,1.9,4.7,6.6,3.0,1.8,1.0,2.7,5.2,22.4,,110,107
1992,29,UTA,Utah Jazz,Mark Eaton,35,81,81,2023,2.7,6.0,0.45,0.0,0.0,,2.7,6.0,0.45,1.3,2.2,0.6,3.7,8.5,12.2,1.0,0.9,5.1,1.5,5.9,6.6,,103,102
1992,29,UTA,Utah Jazz,Tyrone Corbin,29,69,1,1863,6.6,13.2,0.5,0.0,0.1,0.0,6.6,13.1,0.51,3.5,4.0,0.88,3.8,7.1,10.9,2.9,1.9,0.4,1.9,4.4,16.8,,118,106
1992,29,UTA,Utah Jazz,Mike Brown,28,82,1,1783,6.2,13.8,0.45,0.0,0.0,0.0,6.2,13.7,0.45,5.4,8.0,0.67,5.3,8.1,13.4,2.3,1.2,1.0,3.0,5.5,17.8,,107,106
1992,29,UTA,Utah Jazz,David Benoit,23,77,2,1161,7.6,16.2,0.47,0.1,0.6,0.21,7.4,15.6,0.48,3.5,4.3,0.81,4.5,8.3,12.8,1.5,0.8,1.9,3.1,5.4,18.8,,104,106
1992,29,UTA,Utah Jazz,Delaney Rudd,29,65,0,538,7.0,17.6,0.4,1.0,4.4,0.23,6.0,13.2,0.45,3.0,3.9,0.76,1.4,3.6,5.0,10.2,1.4,0.1,4.6,6.0,18.0,,97,109
1992,29,UTA,Utah Jazz,Eric Murdock,23,50,0,478,8.0,19.2,0.42,0.5,2.7,0.19,7.5,16.5,0.45,4.8,6.4,0.75,2.2,3.5,5.7,9.7,3.2,0.7,5.3,5.5,21.3,,98,105
1992,29,UTA,Utah Jazz,Corey Crowder,22,51,0,328,6.6,17.2,0.38,2.0,4.6,0.43,4.6,12.6,0.37,2.3,2.8,0.83,2.5,3.8,6.3,2.6,1.1,0.3,2.0,5.4,17.5,,102,110
1992,29,UTA,Utah Jazz,Thurl Bailey,30,13,0,327,6.0,15.5,0.39,0.0,0.2,0.0,6.0,15.4,0.39,6.8,8.5,0.8,3.5,8.5,12.0,2.9,0.8,2.3,3.2,4.8,18.8,,102,105
1992,29,UTA,Utah Jazz,Isaac Austin,22,31,0,112,9.4,20.6,0.46,0.0,0.0,,9.4,20.6,0.46,8.5,13.5,0.63,4.9,10.8,15.7,2.2,0.9,0.9,3.6,9.0,27.4,,105,104
1992,29,UTA,Utah Jazz,Bob Thornton,29,2,0,6,8.4,58.6,0.14,0.0,0.0,,8.4,58.6,0.14,16.8,16.8,1.0,16.8,0.0,16.8,0.0,0.0,0.0,0.0,8.4,33.5,,79,115
