Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1988,5,1083,CHI,Charlotte Bobcats,22.0,NBA,PF,81.0,1827.0,13.0,0.53,0.0,0.36,9.8,18.2,14.0,6.7,1.4,1.7,12.8,15.8,,1.6,2.6,4.2,0.11,,-1.8,0.1,-1.7,0.2
1989,5,1083,CHI,Charlotte Bobcats,23.0,NBA,PF,79.0,2809.0,13.8,0.55,0.01,0.26,10.2,17.6,14.0,8.2,1.5,1.3,12.8,15.2,,3.3,3.1,6.4,0.11,,-0.4,-0.2,-0.6,1.0
1990,5,1083,CHI,Charlotte Bobcats,24.0,NBA,PF,80.0,2753.0,16.6,0.56,0.0,0.3,10.1,16.9,13.5,11.3,1.7,1.9,10.2,16.7,,5.3,2.8,8.0,0.14,,1.3,-0.2,1.1,2.1
1991,5,1083,CHI,Charlotte Bobcats,25.0,NBA,PF,78.0,2641.0,17.6,0.58,0.01,0.38,12.0,17.3,14.7,8.8,1.8,1.6,9.7,15.3,,6.6,3.8,10.3,0.19,,2.2,0.3,2.5,3.0
1992,5,1083,CHI,Charlotte Bobcats,26.0,NBA,PF,81.0,2859.0,20.6,0.62,0.0,0.4,14.3,18.2,16.3,10.0,1.8,2.9,9.5,15.5,,9.1,5.0,14.1,0.24,,3.9,1.4,5.3,5.2
1993,5,1083,CHI,Charlotte Bobcats,27.0,NBA,PF,77.0,2745.0,17.5,0.53,0.01,0.34,13.9,16.9,15.3,10.1,1.7,2.3,10.4,16.7,,5.4,3.7,9.1,0.16,,1.7,0.1,1.8,2.6
1994,5,1083,CHI,Charlotte Bobcats,28.0,NBA,PF,70.0,2570.0,19.8,0.54,0.01,0.26,13.9,21.1,17.5,14.3,1.5,2.2,10.0,18.7,,5.7,4.3,10.0,0.19,,3.2,0.9,4.0,3.9
1995,22,1083,ORL,Orlando Magic,29.0,NBA,PF,74.0,2693.0,16.9,0.59,0.01,0.3,9.8,20.3,15.2,8.9,1.4,2.2,9.6,14.1,,6.0,3.5,9.5,0.17,,1.4,0.6,2.0,2.7
1996,22,1083,ORL,Orlando Magic,30.0,NBA,PF,63.0,2286.0,17.9,0.55,0.01,0.31,9.3,20.0,14.8,11.4,1.4,2.4,7.7,16.5,,5.0,3.1,8.0,0.17,,1.7,0.7,2.4,2.5
1997,22,1083,ORL,Orlando Magic,31.0,NBA,PF,67.0,2496.0,17.3,0.55,0.01,0.26,9.4,19.0,14.1,11.4,2.2,2.0,11.3,16.1,,4.1,3.6,7.7,0.15,,1.1,1.3,2.4,2.8
1998,22,1083,ORL,Orlando Magic,32.0,NBA,C,76.0,2803.0,15.4,0.49,0.01,0.23,9.4,16.8,13.0,11.0,1.6,2.0,8.5,16.9,,3.6,3.6,7.1,0.12,,0.4,0.8,1.2,2.2
1999,22,1083,ORL,Orlando Magic,33.0,NBA,PF,50.0,1660.0,13.3,0.46,0.0,0.15,8.0,16.7,12.3,9.3,1.5,2.7,8.3,14.5,,1.4,2.7,4.1,0.12,,-0.6,1.3,0.7,1.1
2001,14,1083,LAL,Los Angeles Lakers,35.0,NBA,PF,77.0,2390.0,14.3,0.51,0.0,0.3,10.5,15.2,12.9,7.5,1.1,1.8,6.9,12.9,,4.8,1.7,6.5,0.13,,0.6,-0.6,0.0,1.2
2002,22,1083,ORL,Orlando Magic,36.0,NBA,C,76.0,2210.0,13.9,0.54,0.0,0.22,8.0,16.4,12.2,7.1,1.3,1.6,8.3,12.5,,3.6,2.0,5.6,0.12,,0.1,-0.1,0.0,1.1
2003,22,1083,ORL,Orlando Magic,37.0,NBA,PF,5.0,85.0,13.1,0.52,0.0,0.0,2.6,8.3,5.4,13.9,1.8,0.0,3.8,13.7,,0.1,0.0,0.2,0.1,,0.1,0.9,1.0,0.1
2004,14,1083,LAL,Los Angeles Lakers,38.0,NBA,PF,55.0,1106.0,10.6,0.45,0.0,0.24,8.0,16.0,11.9,9.4,1.1,1.4,10.5,11.2,,0.8,1.2,2.0,0.09,,-1.2,0.0,-1.3,0.2
