Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,25,POR,Portland Trail Blazers,Brian Grant,26,13,13,482,63,119,0.53,0,0,,63,119,0.53,0.53,45,72,0.62,34,85,119,14,10,16,21,48,171
1999,25,POR,Portland Trail Blazers,Rasheed Wallace,24,13,13,468,75,146,0.51,1,9,0.11,74,137,0.54,0.52,42,58,0.72,17,46,63,20,20,11,16,50,193
1999,25,POR,Portland Trail Blazers,Isaiah Rider,27,13,13,426,70,163,0.43,11,26,0.42,59,137,0.43,0.46,63,71,0.89,17,33,50,31,11,0,33,30,214
1999,25,POR,Portland Trail Blazers,Damon Stoudamire,25,13,13,403,49,129,0.38,10,22,0.46,39,107,0.36,0.42,24,34,0.71,7,34,41,73,8,1,38,31,132
1999,25,POR,Portland Trail Blazers,Arvydas Sabonis,34,13,13,392,45,113,0.4,1,5,0.2,44,108,0.41,0.4,39,43,0.91,12,102,114,29,15,15,19,35,130
1999,25,POR,Portland Trail Blazers,Jim Jackson,28,13,0,265,26,72,0.36,5,18,0.28,21,54,0.39,0.4,38,42,0.9,8,22,30,19,7,1,18,26,95
1999,25,POR,Portland Trail Blazers,Greg Anthony,31,13,0,225,18,55,0.33,8,31,0.26,10,24,0.42,0.4,23,34,0.68,4,10,14,32,13,1,9,25,67
1999,25,POR,Portland Trail Blazers,Walt Williams,28,13,0,185,21,58,0.36,13,32,0.41,8,26,0.31,0.47,8,14,0.57,5,11,16,11,7,3,11,27,63
1999,25,POR,Portland Trail Blazers,Stacey Augmon,30,13,0,176,10,28,0.36,0,1,0.0,10,27,0.37,0.36,15,18,0.83,10,23,33,5,8,3,3,15,35
1999,25,POR,Portland Trail Blazers,Jermaine O'Neal,20,9,0,55,4,10,0.4,0,0,,4,10,0.4,0.4,6,12,0.5,8,9,17,1,0,3,2,11,14
1999,25,POR,Portland Trail Blazers,Kelvin Cato,24,8,0,43,1,9,0.11,0,0,,1,9,0.11,0.11,4,10,0.4,6,1,7,2,1,1,2,13,6
