PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Lowry,29.0,77,77.0,2851,512,1198,0.42700000000000005,212,547,0.38799999999999996,300,651,0.461,0.516,398,491,0.8109999999999999,55,310,365,494,158,34,225,211,1634
DeMar DeRozan,26.0,78,78.0,2804,614,1377,0.446,47,139,0.33799999999999997,567,1238,0.45799999999999996,0.46299999999999997,555,653,0.85,64,285,349,315,81,21,175,167,1830
Cory Joseph,24.0,80,4.0,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677
Patrick Patterson,26.0,79,0.0,2020,204,493,0.414,106,293,0.36200000000000004,98,200,0.49,0.521,29,34,0.853,77,265,342,94,53,32,65,128,543
Bismack Biyombo,23.0,82,22.0,1808,156,288,0.542,0,1,0.0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454
Terrence Ross,24.0,73,7.0,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720
Luis Scola,35.0,76,76.0,1636,269,598,0.45,65,161,0.40399999999999997,204,437,0.467,0.504,61,84,0.726,84,276,360,66,46,27,68,178,664
Jonas Valančiūnas,23.0,60,59.0,1557,303,536,0.565,0,0,,303,536,0.565,0.565,162,213,0.7609999999999999,184,363,547,42,25,80,85,158,768
James Johnson,28.0,57,32.0,926,114,240,0.475,20,66,0.303,94,174,0.54,0.517,39,68,0.574,28,98,126,67,29,33,54,84,287
DeMarre Carroll,29.0,26,22.0,786,105,270,0.389,46,118,0.39,59,152,0.38799999999999996,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286
Norman Powell,22.0,49,24.0,725,97,229,0.424,36,89,0.40399999999999997,61,140,0.436,0.502,43,53,0.8109999999999999,16,95,111,47,29,10,32,59,273
Jason Thompson,29.0,19,6.0,292,32,66,0.485,5,15,0.33299999999999996,27,51,0.529,0.523,18,22,0.818,22,58,80,10,8,12,8,40,87
Delon Wright,23.0,27,1.0,229,36,80,0.45,5,13,0.385,31,67,0.46299999999999997,0.48100000000000004,26,35,0.743,8,29,37,31,8,3,16,7,103
Lucas Nogueira,23.0,29,1.0,225,28,44,0.636,1,3,0.33299999999999996,27,41,0.659,0.648,8,15,0.5329999999999999,18,28,46,7,12,12,11,29,65
Anthony Bennett,22.0,19,0.0,84,8,27,0.29600000000000004,3,14,0.214,5,13,0.385,0.35200000000000004,9,10,0.9,6,17,23,0,5,0,4,8,28
Bruno Caboclo,20.0,6,1.0,43,1,12,0.083,1,7,0.14300000000000002,0,5,0.0,0.125,0,0,,1,1,2,1,2,1,4,2,3
Team Totals,,82,,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,0.504,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422
