Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,24,PHO,Phoenix Suns,Raja Bell,31,5,5,215,21,37,0.57,13,20,0.65,8,17,0.47,0.74,13,16,0.81,6,22,28,11,2,1,5,19,68
2008,24,PHO,Phoenix Suns,Amar'e Stoudemire,25,5,5,204,48,99,0.48,1,4,0.25,47,95,0.5,0.49,19,30,0.63,15,30,45,2,7,12,14,19,116
2008,24,PHO,Phoenix Suns,Steve Nash,33,5,5,183,32,70,0.46,6,20,0.3,26,50,0.52,0.5,11,12,0.92,1,13,14,39,2,1,12,10,81
2008,24,PHO,Phoenix Suns,Boris Diaw,25,5,2,178,35,64,0.55,0,7,0.0,35,57,0.61,0.55,3,6,0.5,7,21,28,23,3,4,11,22,73
2008,24,PHO,Phoenix Suns,Shaquille O'Neal,35,5,5,150,22,50,0.44,0,0,,22,50,0.44,0.44,32,64,0.5,13,33,46,5,5,13,9,21,76
2008,24,PHO,Phoenix Suns,Leandro Barbosa,25,5,1,143,19,55,0.34,4,18,0.22,15,37,0.4,0.38,10,11,0.91,2,18,20,9,3,0,4,10,52
2008,24,PHO,Phoenix Suns,Gordan Giriček,30,5,0,80,6,18,0.33,1,4,0.25,5,14,0.36,0.36,4,4,1.0,0,7,7,2,2,0,3,3,17
2008,24,PHO,Phoenix Suns,Grant Hill,35,3,2,68,5,11,0.46,0,0,,5,11,0.46,0.46,1,1,1.0,3,13,16,3,2,1,0,3,11
2008,24,PHO,Phoenix Suns,Brian Skinner,31,4,0,21,2,4,0.5,0,0,,2,4,0.5,0.5,4,8,0.5,0,3,3,0,0,3,0,4,8
2008,24,PHO,Phoenix Suns,D.J. Strawberry,22,1,0,5,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0
2008,24,PHO,Phoenix Suns,Sean Marks,32,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
2008,24,PHO,Phoenix Suns,Eric Piatkowski,37,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
