PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Terry Cummings,26,5,5,38.6,10.0,17.8,0.562,0.0,0.0,,10.0,17.8,0.562,0.562,5.8,8.8,0.659,2.4,5.4,7.8,2.6,1.8,0.6,2.4,3.2,25.8
Jack Sikma,32,5,5,38.0,7.0,15.2,0.461,0.0,0.6,0.0,7.0,14.6,0.479,0.461,5.0,6.0,0.833,4.8,7.6,12.4,2.6,0.4,0.8,3.0,4.6,19.0
Paul Pressey,29,5,5,35.6,4.6,10.0,0.46,0.2,0.6,0.33299999999999996,4.4,9.4,0.46799999999999997,0.47,4.6,6.0,0.767,1.2,2.6,3.8,6.6,0.8,0.6,3.2,4.2,14.0
Sidney Moncrief,30,5,5,34.6,4.8,10.0,0.48,0.2,0.2,1.0,4.6,9.8,0.469,0.49,5.2,5.4,0.963,1.2,2.6,3.8,5.2,0.6,0.2,2.2,2.8,15.0
Larry Krystkowiak,23,5,5,32.6,2.6,5.8,0.44799999999999995,0.0,0.0,,2.6,5.8,0.44799999999999995,0.44799999999999995,3.2,3.6,0.889,2.6,4.2,6.8,1.4,0.8,0.0,1.0,3.4,8.4
Ricky Pierce,28,5,0,21.0,5.0,10.6,0.47200000000000003,0.2,1.0,0.2,4.8,9.6,0.5,0.48100000000000004,1.6,1.8,0.889,1.2,1.6,2.8,1.8,0.2,0.4,0.8,1.8,11.8
John Lucas,34,5,0,16.0,2.0,5.4,0.37,0.6,2.6,0.231,1.4,2.8,0.5,0.426,1.2,1.8,0.667,1.0,0.6,1.6,3.8,1.0,0.0,1.2,1.0,5.8
Randy Breuer,27,4,0,11.8,2.3,4.0,0.563,0.0,0.0,,2.3,4.0,0.563,0.563,0.3,1.5,0.16699999999999998,0.5,2.5,3.0,0.3,0.3,0.5,0.3,1.8,4.8
Paul Mokeski,31,4,0,10.0,1.3,3.5,0.35700000000000004,0.0,0.0,,1.3,3.5,0.35700000000000004,0.35700000000000004,1.0,1.5,0.667,1.3,1.0,2.3,0.0,0.8,0.5,0.5,1.0,3.5
Jay Humphries,25,2,0,9.0,0.0,2.5,0.0,0.0,0.0,,0.0,2.5,0.0,0.0,0.0,0.0,,0.5,1.0,1.5,0.5,0.5,0.0,0.5,3.0,0.0
Jerry Reynolds,25,3,0,4.0,1.3,2.0,0.667,0.0,0.0,,1.3,2.0,0.667,0.667,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,2.7
John Stroeder,29,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
