Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,27,2468,SAS,San Antonio Spurs,Fred Roberts,1960-08-14,23.0,NBA,PF,79.0,8.0,1531.0,5.0,9.4,0.54,0.0,0.1,0.25,5.0,9.3,0.54,3.4,4.0,0.84,2.4,4.7,7.1,2.3,1.2,0.9,2.4,5.1,13.5
1985,31,2468,TOT,Total After Trade,Fred Roberts,1960-08-14,24.0,NBA,PF,74.0,0.0,1178.0,6.4,12.8,0.5,0.0,0.0,1.0,6.3,12.7,0.5,4.6,5.6,0.82,2.4,3.3,5.7,2.7,0.9,0.7,2.7,4.3,17.3
1985,27,2468,SAS,San Antonio Spurs,Fred Roberts,1960-08-14,24.0,NBA,PF,22.0,0.0,305.0,5.2,11.6,0.45,0.0,0.0,,5.2,11.6,0.45,3.4,4.5,0.76,1.2,3.0,4.1,2.6,1.2,1.4,2.5,5.3,13.8
1985,29,2468,UTA,Utah Jazz,Fred Roberts,1960-08-14,24.0,NBA,PF,52.0,0.0,873.0,6.8,13.2,0.51,0.0,0.0,1.0,6.7,13.2,0.51,5.0,5.9,0.84,2.8,3.4,6.2,2.7,0.7,0.4,2.8,4.0,18.6
1986,29,2468,UTA,Utah Jazz,Fred Roberts,1960-08-14,25.0,NBA,PF,58.0,0.0,469.0,5.7,12.8,0.44,0.1,0.2,0.5,5.6,12.7,0.44,5.1,6.7,0.77,2.4,3.8,6.1,2.1,0.6,0.5,4.1,5.5,16.6
1987,2,2468,BOS,Boston Celtics,Fred Roberts,1960-08-14,26.0,NBA,PF,73.0,11.0,1079.0,4.6,9.0,0.52,0.0,0.1,0.0,4.6,8.9,0.52,4.1,5.1,0.81,1.8,4.5,6.3,2.1,0.7,0.7,3.0,4.3,13.4
1988,2,2468,BOS,Boston Celtics,Fred Roberts,1960-08-14,27.0,NBA,PF,74.0,14.0,1032.0,5.6,11.5,0.49,0.0,0.2,0.0,5.6,11.3,0.5,4.5,5.8,0.78,2.1,3.6,5.7,2.8,0.6,0.5,2.4,4.1,15.7
1989,17,2468,MIL,Milwaukee Bucks,Fred Roberts,1960-08-14,28.0,NBA,PF,71.0,3.0,1251.0,4.5,9.2,0.49,0.1,0.4,0.21,4.4,8.8,0.5,3.0,3.7,0.81,2.0,4.1,6.0,1.9,1.0,0.7,2.3,3.6,12.0
1990,17,2468,MIL,Milwaukee Bucks,Fred Roberts,1960-08-14,29.0,NBA,PF,82.0,66.0,2235.0,5.3,10.7,0.5,0.0,0.2,0.18,5.3,10.6,0.5,3.1,4.0,0.78,1.7,3.3,5.0,2.4,0.9,0.4,2.1,3.4,13.8
1991,17,2468,MIL,Milwaukee Bucks,Fred Roberts,1960-08-14,30.0,NBA,PF,82.0,82.0,2114.0,6.1,11.4,0.53,0.1,0.4,0.16,6.0,11.0,0.55,2.9,3.6,0.81,1.8,3.0,4.8,2.3,1.1,0.5,2.3,3.2,15.1
1992,17,2468,MIL,Milwaukee Bucks,Fred Roberts,1960-08-14,31.0,NBA,PF,80.0,63.0,1746.0,6.4,13.3,0.48,0.4,0.8,0.51,6.0,12.5,0.48,2.6,3.5,0.75,2.1,3.2,5.3,2.5,1.1,0.8,2.5,3.6,15.9
1993,17,2468,MIL,Milwaukee Bucks,Fred Roberts,1960-08-14,32.0,NBA,C,79.0,5.0,1488.0,5.5,10.4,0.53,0.3,0.7,0.41,5.2,9.7,0.54,3.3,4.1,0.8,2.2,3.5,5.7,2.9,1.4,0.7,1.6,3.3,14.5
1995,6,2468,CLE,Cleveland Cavaliers,Fred Roberts,1960-08-14,34.0,NBA,SF,21.0,0.0,223.0,4.5,11.6,0.39,0.6,1.8,0.36,3.9,9.8,0.39,3.2,4.2,0.77,2.1,3.4,5.5,1.3,1.0,0.5,1.1,4.2,12.9
1996,14,2468,LAL,Los Angeles Lakers,Fred Roberts,1960-08-14,35.0,NBA,C,33.0,1.0,317.0,5.5,11.0,0.5,0.5,1.6,0.29,5.0,9.4,0.53,2.5,3.2,0.79,2.0,3.3,5.3,3.0,1.8,0.5,2.7,2.7,13.9
1997,7,2468,DAL,Dallas Mavericks,Fred Roberts,1960-08-14,36.0,NBA,PF,12.0,0.0,40.0,5.4,13.5,0.4,0.0,0.0,,5.4,13.5,0.4,9.0,12.6,0.71,1.8,7.2,9.0,0.0,0.0,0.9,4.5,1.8,19.8
