Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,21.0,DEN,NBA,PF,76.0,75.0,2280.0,6.7,13.9,0.485,0.0,0.1,0.0,6.7,13.8,0.487,2.6,3.8,0.683,3.6,5.4,9.0,1.2,0.9,1.8,2.4,3.9,16.1
1997,22.0,DEN,NBA,PF,74.0,73.0,2565.0,7.5,16.2,0.463,0.1,0.5,0.171,7.4,15.7,0.472,3.8,5.4,0.708,2.2,5.4,7.5,1.5,0.9,1.8,2.8,3.9,19.0
1998,23.0,PHO,NBA,PF,81.0,81.0,2441.0,7.3,13.7,0.536,0.0,0.0,0.0,7.3,13.6,0.537,3.4,4.9,0.702,3.0,6.0,9.0,1.6,1.5,2.0,2.1,4.3,18.1
1999,24.0,DEN,NBA,C,50.0,50.0,1937.0,7.7,16.4,0.471,0.0,0.2,0.111,7.7,16.2,0.474,4.3,6.3,0.68,3.1,6.9,10.0,1.5,1.4,2.1,2.6,3.3,19.7
2001,26.0,DEN,NBA,PF,70.0,70.0,2555.0,8.1,16.4,0.495,0.0,0.0,,8.1,16.4,0.495,4.3,6.1,0.7,3.4,8.5,11.9,2.1,0.6,1.4,2.3,3.1,20.5
2002,27.0,DEN,NBA,PF,10.0,10.0,236.0,6.6,11.4,0.573,0.0,0.0,,6.6,11.4,0.573,4.1,5.0,0.818,2.7,5.6,8.4,2.7,1.5,1.2,3.1,3.1,17.2
2004,29.0,TOT,NBA,PF,42.0,20.0,927.0,4.9,10.4,0.47,0.0,0.0,,4.9,10.4,0.47,1.5,2.7,0.551,2.7,7.3,10.0,1.4,1.4,0.9,2.2,4.5,11.3
2004,29.0,NYK,NBA,PF,18.0,6.0,421.0,5.6,12.1,0.458,0.0,0.0,,5.6,12.1,0.458,1.9,3.2,0.579,2.7,7.5,10.2,1.7,1.0,0.9,2.3,3.9,13.0
2004,29.0,PHO,NBA,PF,24.0,14.0,506.0,4.3,9.0,0.484,0.0,0.0,,4.3,9.0,0.484,1.1,2.2,0.516,2.8,7.0,9.8,1.1,1.8,0.9,2.1,5.1,9.8
2005,30.0,DET,NBA,PF,77.0,8.0,1797.0,6.2,12.0,0.513,0.0,0.0,0.0,6.2,12.0,0.514,2.5,3.8,0.656,3.5,6.1,9.7,1.4,0.9,1.0,1.9,4.1,14.8
2006,31.0,DET,NBA,PF,82.0,0.0,1733.0,5.9,11.6,0.509,0.0,0.0,0.0,5.9,11.6,0.511,1.4,2.5,0.557,3.2,5.8,9.1,1.9,1.0,1.0,1.6,4.6,13.3
2007,32.0,DET,NBA,PF,82.0,3.0,1729.0,5.9,11.2,0.526,0.0,0.0,,5.9,11.2,0.526,2.0,2.9,0.691,3.4,6.9,10.3,1.5,1.3,1.4,1.6,5.0,13.8
2008,33.0,DET,NBA,PF,78.0,78.0,2285.0,4.6,9.5,0.488,0.0,0.0,0.0,4.6,9.4,0.49,1.5,2.5,0.622,3.2,7.3,10.5,1.4,1.0,0.8,1.2,3.9,10.8
2009,34.0,DET,NBA,PF,62.0,30.0,1866.0,5.2,10.1,0.51,0.0,0.0,,5.2,10.1,0.51,1.2,1.7,0.698,3.6,8.1,11.7,1.6,0.8,1.0,1.0,3.7,11.5
2010,35.0,SAS,NBA,PF,77.0,50.0,1617.0,4.6,9.5,0.479,0.0,0.0,0.0,4.6,9.5,0.481,0.8,1.3,0.632,3.3,6.8,10.1,1.8,1.0,0.7,1.8,3.3,9.9
2011,36.0,SAS,NBA,PF,73.0,16.0,1387.0,4.4,8.9,0.491,0.0,0.0,0.0,4.4,8.9,0.493,1.3,2.0,0.675,3.2,7.1,10.3,2.2,0.9,1.0,1.9,4.2,10.1
