Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2006,25,1393,POR,Portland Trail Blazers,Jarrett Jack,"October 28, 1983",22.0,NBA,SG,79.0,4.0,1599.0,6.5,14.7,0.44,0.7,2.6,0.26,5.8,12.1,0.48,4.4,5.5,0.8,0.6,4.9,5.5,7.5,1.4,0.1,3.5,4.7,18.0,,104.0,114.0
2007,25,1393,POR,Portland Trail Blazers,Jarrett Jack,"October 28, 1983",23.0,NBA,PG,79.0,79.0,2651.0,6.6,14.5,0.45,1.3,3.7,0.35,5.3,10.8,0.49,5.0,5.7,0.87,0.4,3.9,4.3,8.5,1.8,0.2,3.8,4.1,19.4,,110.0,112.0
2008,25,1393,POR,Portland Trail Blazers,Jarrett Jack,"October 28, 1983",24.0,NBA,SG,82.0,16.0,2229.0,6.5,15.2,0.43,1.6,4.7,0.34,4.9,10.5,0.47,5.3,6.1,0.87,0.8,5.0,5.7,7.7,1.5,0.0,4.4,3.2,19.9,,105.0,110.0
2009,12,1393,IND,Indiana Pacers,Jarrett Jack,"October 28, 1983",25.0,NBA,SG,82.0,53.0,2716.0,7.1,15.6,0.45,1.4,4.0,0.35,5.6,11.6,0.49,4.1,4.8,0.85,0.8,4.2,5.1,6.2,1.6,0.3,3.4,3.3,19.7,,107.0,111.0
2010,28,1393,TOR,Toronto Raptors,Jarrett Jack,"October 28, 1983",26.0,NBA,PG,82.0,43.0,2243.0,7.4,15.4,0.48,1.9,4.6,0.41,5.5,10.9,0.51,4.7,5.5,0.84,0.7,4.4,5.1,9.5,1.4,0.1,3.7,3.5,21.4,,116.0,115.0
2011,31,1393,TOT,Total After Trade,Jarrett Jack,"October 28, 1983",27.0,NBA,"PG,SG",83.0,15.0,1722.0,8.1,19.8,0.41,1.0,3.4,0.31,7.1,16.5,0.43,5.7,6.7,0.85,0.6,4.8,5.4,7.5,1.7,0.2,3.4,3.2,22.9,,102.0,109.0
2011,28,1393,TOR,Toronto Raptors,Jarrett Jack,"October 28, 1983",27.0,NBA,PG,13.0,13.0,347.0,7.2,18.2,0.39,0.6,3.6,0.17,6.6,14.6,0.45,6.0,6.9,0.87,0.9,5.4,6.3,8.8,2.1,0.0,5.1,3.7,20.9,,97.0,113.0
2011,19,1393,NOH,New Orleans Hornets,Jarrett Jack,"October 28, 1983",27.0,NBA,SG,70.0,2.0,1375.0,8.3,20.3,0.41,1.1,3.3,0.34,7.2,17.0,0.42,5.6,6.6,0.84,0.6,4.6,5.2,7.2,1.6,0.2,3.0,3.0,23.4,,104.0,108.0
2012,19,1393,NOH,New Orleans Hornets,Jarrett Jack,"October 28, 1983",28.0,NBA,PG,45.0,39.0,1530.0,9.4,20.7,0.46,1.4,4.0,0.35,8.1,16.7,0.48,4.6,5.3,0.87,0.8,5.4,6.3,10.1,1.1,0.3,3.8,3.3,24.9,,109.0,108.0
2013,10,1393,GSW,Golden State Warriors,Jarrett Jack,"October 28, 1983",29.0,NBA,SG,79.0,4.0,2349.0,8.4,18.5,0.45,1.8,4.4,0.4,6.6,14.1,0.47,3.6,4.3,0.84,0.5,4.8,5.3,9.5,1.3,0.2,3.4,2.9,22.1,,110.0,108.0
2014,6,1393,CLE,Cleveland Cavaliers,Jarrett Jack,"October 28, 1983",30.0,NBA,PG,80.0,31.0,2252.0,6.5,16.0,0.41,1.4,4.2,0.34,5.1,11.7,0.44,2.9,3.4,0.84,0.5,4.6,5.1,7.4,1.3,0.5,3.0,3.0,17.4,,102.0,110.0
2015,3,1393,BRK,Brooklyn Nets,Jarrett Jack,"October 28, 1983",31.0,NBA,PG,80.0,27.0,2241.0,8.3,18.9,0.44,0.9,3.4,0.27,7.4,15.5,0.48,4.6,5.2,0.88,0.4,5.2,5.7,8.6,1.7,0.3,4.4,3.3,22.1,,101.0,109.0
2016,3,1393,BRK,Brooklyn Nets,Jarrett Jack,"October 28, 1983",32.0,NBA,PG,32.0,32.0,1027.0,6.9,17.6,0.39,1.5,5.0,0.3,5.3,12.6,0.43,4.9,5.5,0.89,0.4,6.2,6.7,11.6,1.7,0.3,4.6,3.8,20.2,,101.0,112.0
2017,19,1393,NOP,New Orleans Pelicans,Jarrett Jack,"October 28, 1983",33.0,NBA,PG,2.0,0.0,33.0,3.0,4.5,0.67,0.0,1.5,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,7.4,3.0,0.0,4.5,5.9,8.9,,105.0,110.0
2018,20,1393,NYK,New York Knicks,Jarrett Jack,"October 28, 1983",34.0,NBA,PG,62.0,56.0,1548.0,6.1,14.2,0.43,0.8,2.8,0.29,5.3,11.4,0.46,2.0,2.4,0.84,0.7,5.4,6.1,11.1,1.1,0.1,3.7,3.1,14.9,,103.0,114.0
