NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,David Benoit,SF,6-8,220,1968-05-09,US,3,Alabama
20,Walter Bond,SG,6-5,200,1969-02-01,US,2,Minnesota
55,Antoine Carr,C,6-9,225,1961-07-23,US,10,Wichita State
42,Tom Chambers,PF,6-10,220,1959-06-21,US,13,Utah
25,John Crotty,PG,6-1,185,1969-07-15,US,2,Virginia
54,James Donaldson,C,7-2,275,1957-08-16,GB,13,Washington State
30,Blue Edwards,SF,6-4,200,1965-10-31,US,5,East Carolina University
14,Jeff Hornacek,SG,6-3,190,1963-05-03,US,8,Iowa State
6,Jay Humphries,SG,6-3,185,1962-10-17,US,10,Colorado
31,Adam Keefe,SF,6-9,230,1970-02-22,US,2,Stanford
32,Karl Malone,PF,6-9,250,1963-07-24,US,9,Louisiana Tech
34,Bryon Russell,SF,6-7,225,1970-12-31,US,1,Cal State Long Beach
50,Felton Spencer,C,7-0,265,1968-01-15,US,4,Louisville
12,John Stockton,PG,6-1,170,1962-03-26,US,10,Gonzaga
15,Jamie Watson,SF,6-7,190,1972-02-23,US,R,South Carolina
