NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
10,B.J. Armstrong,PG,6-2,175,1967-09-09,US,5,Iowa
44,Corie Blount,PF,6-9,240,1969-01-04,US,1,Cincinnati
30,Jud Buechler,SF,6-6,220,1968-06-19,US,4,Arizona
3,Jo Jo English,SG,6-4,195,1970-02-04,DE,2,South Carolina
35,Greg Foster,PF,6-11,240,1968-10-03,US,4,"UCLA, Texas-El Paso"
9,Ron Harper,SG,6-6,185,1964-01-20,US,8,Miami University
45,Michael Jordan,SG,6-6,198,1963-02-17,US,9,UNC
25,Steve Kerr,PG,6-3,175,1965-09-27,LB,6,Arizona
42,Larry Krystkowiak,PF,6-9,220,1964-09-23,US,8,Montana
7,Toni Kukoč,SF,6-10,192,1968-09-18,HR,1,
13,Luc Longley,C,7-2,265,1969-01-19,AU,3,New Mexico
20,Pete Myers,SG,6-6,180,1963-09-15,US,6,Little Rock
32,Will Perdue,C,7-0,240,1965-08-29,US,6,Vanderbilt
33,Scottie Pippen,SF,6-8,210,1965-09-25,US,7,University of Central Arkansas
8,Dickey Simpkins,PF,6-9,248,1972-04-06,US,R,Providence
34,Bill Wennington,C,7-0,245,1963-04-26,CA,7,St. John's
