NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
30,Alaa Abdelnaby,PF,6-10,240,1968-06-24,EG,4,Duke
3,Randy Brown,PG,6-2,190,1968-05-22,US,3,"Houston, New Mexico State"
31,Duane Causwell,C,7-0,240,1968-05-31,US,4,Temple
33,Brian Grant,PF,6-9,254,1972-03-05,US,R,Xavier
7,Bobby Hurley,PG,6-0,165,1971-06-28,US,1,Duke
20,Doug Lee,SG,6-5,200,1964-10-24,US,2,"Texas A&M, Purdue"
5,Derrick Phelps,PG,6-4,181,1972-07-31,US,R,UNC
0,Olden Polynice,C,6-11,220,1964-11-21,HT,7,Virginia
2,Mitch Richmond,SG,6-5,215,1965-06-30,US,6,Kansas State
22,Lionel Simmons,SF,6-7,210,1968-11-14,US,4,La Salle
34,Michael Smith,PF,6-8,230,1972-03-28,US,R,Providence
9,Henry Turner,PF,6-7,200,1966-08-18,US,1,Cal State Fullerton
4,Spud Webb,PG,5-6,133,1963-07-13,US,9,"Midland College, NC State"
42,Walt Williams,SF,6-8,219,1970-04-16,US,2,Maryland
21,Trevor Wilson,PF,6-7,210,1968-03-16,US,2,UCLA
