Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,26,KCK,Kansas City Kings,Scott Wedman,27,3,,116,9.0,19.9,0.45,0.6,0.9,0.67,8.4,18.9,0.44,2.5,3.4,0.73,1.9,4.7,6.5,2.8,0.3,0.9,0.6,2.8,21.1
1980,26,KCK,Kansas City Kings,Otis Birdsong,24,3,,112,9.6,19.9,0.48,0.0,1.0,0.0,9.6,19.0,0.51,1.9,4.5,0.43,3.5,3.9,7.4,2.3,1.3,0.0,1.9,1.6,21.2
1980,26,KCK,Kansas City Kings,Phil Ford,23,3,,110,6.5,14.1,0.46,1.0,1.3,0.75,5.6,12.8,0.44,2.9,3.6,0.82,0.0,2.0,2.0,8.5,1.6,0.0,3.9,2.0,17.0
1980,26,KCK,Kansas City Kings,Sam Lacey,31,3,,101,2.9,7.5,0.38,0.4,0.4,1.0,2.5,7.1,0.35,1.1,1.4,0.75,2.1,5.7,7.8,4.6,2.5,0.7,2.9,3.9,7.1
1980,26,KCK,Kansas City Kings,Reggie King,22,3,,77,4.7,9.8,0.48,0.0,0.0,,4.7,9.8,0.48,2.3,4.2,0.56,3.3,8.4,11.7,1.9,0.5,0.0,0.9,4.7,11.7
1980,26,KCK,Kansas City Kings,Bill Robinzine,27,3,,69,6.8,12.5,0.54,0.0,0.0,,6.8,12.5,0.54,3.7,5.2,0.7,3.7,5.7,9.4,0.0,1.6,0.0,3.1,3.1,17.2
1980,26,KCK,Kansas City Kings,Len Elmore,27,3,,43,3.3,10.9,0.31,0.0,0.0,,3.3,10.9,0.31,0.8,1.7,0.5,5.0,4.2,9.2,0.8,2.5,0.8,3.3,3.3,7.5
1980,26,KCK,Kansas City Kings,Billy McKinney,24,3,,34,2.1,5.3,0.4,0.0,1.1,0.0,2.1,4.2,0.5,0.0,0.0,,2.1,1.1,3.2,8.5,0.0,0.0,3.2,2.1,4.2
1980,26,KCK,Kansas City Kings,Ernie Grunfeld,24,3,,32,5.6,10.1,0.56,0.0,0.0,,5.6,10.1,0.56,1.1,3.4,0.33,1.1,0.0,1.1,0.0,1.1,0.0,0.0,3.4,12.4
1980,26,KCK,Kansas City Kings,Gus Gerard,26,3,,26,5.5,13.8,0.4,0.0,0.0,,5.5,13.8,0.4,2.8,5.5,0.5,5.5,5.5,11.1,2.8,0.0,0.0,5.5,2.8,13.8
