TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
MIL,82,19805,3214,6972,0.46,80,308,0.26,3134,6664,0.47,2020,2700,0.75,1236,2293,3529,1904,642,389,1562,2104,8528
WAB,82,19855,3494,7179,0.49,66,232,0.28,3428,6947,0.49,1623,2172,0.75,1119,2673,3792,1988,630,397,1467,1833,8677
SEA,82,19705,3520,7142,0.49,79,253,0.31,3441,6889,0.5,1703,2212,0.77,1113,2379,3492,2220,732,458,1383,2020,8822
ALT,82,19855,3504,7267,0.48,46,212,0.22,3458,7055,0.49,1808,2384,0.76,1332,2411,3743,2087,674,373,1488,1972,8862
BOS,82,19705,3642,7642,0.48,71,269,0.26,3571,7373,0.48,1512,1922,0.79,1105,2287,3392,2041,641,315,1222,1964,8867
PHI,82,19805,3494,7157,0.49,80,311,0.26,3414,6846,0.5,1857,2397,0.78,1183,2173,3356,2139,753,391,1534,2209,8925
DAL,82,19855,3626,7200,0.5,98,318,0.31,3528,6882,0.51,1588,2080,0.76,1062,2470,3532,2113,572,430,1340,2066,8938
UTA,82,19755,3532,7604,0.46,72,280,0.26,3460,7324,0.47,1810,2375,0.76,1360,2645,4005,2069,806,443,1606,2076,8946
NJN,82,19755,3514,7040,0.5,79,262,0.3,3435,6778,0.51,1849,2454,0.75,1084,2405,3489,1975,680,352,1496,1933,8956
HOU,82,19830,3500,7274,0.48,90,258,0.35,3410,7016,0.49,1887,2425,0.78,1159,2222,3381,2117,773,415,1495,1903,8977
CHI,82,19805,3521,7210,0.49,91,292,0.31,3430,6918,0.5,1852,2394,0.77,1137,2260,3397,2045,668,447,1323,2040,8985
NYK,82,19830,3329,6732,0.5,67,229,0.29,3262,6503,0.5,2282,3006,0.76,1219,2401,3620,2143,667,446,1589,2038,9007
PHO,82,19805,3605,7309,0.49,65,224,0.29,3540,7085,0.5,1756,2295,0.76,1125,2416,3541,2181,771,410,1468,2019,9031
LAL,82,19755,3665,7639,0.48,84,297,0.28,3581,7342,0.49,1679,2244,0.75,1248,2078,3326,2313,756,370,1365,1905,9093
CLE,82,19780,3547,7415,0.48,70,253,0.28,3477,7162,0.48,1965,2554,0.77,1210,2451,3661,2215,612,429,1357,2101,9129
LAC,82,19730,3737,7630,0.49,74,263,0.28,3663,7367,0.5,1604,2115,0.76,1248,2282,3530,2264,770,422,1242,1887,9152
POR,82,19880,3697,7494,0.49,59,232,0.25,3638,7262,0.5,1737,2269,0.77,1268,2336,3604,2235,726,459,1607,2160,9190
DET,82,19830,3700,7457,0.5,78,249,0.31,3622,7208,0.5,1826,2404,0.76,1109,2563,3672,2107,642,508,1486,2017,9304
SAS,82,19780,3644,7348,0.5,72,242,0.3,3572,7106,0.5,1977,2548,0.78,1136,2265,3401,2283,749,472,1489,2154,9337
IND,82,19780,3628,7332,0.5,64,200,0.32,3564,7132,0.5,2068,2707,0.76,1098,2583,3681,2242,777,523,1424,2072,9388
KCK,82,19755,3805,7461,0.51,65,259,0.25,3740,7202,0.52,1957,2546,0.77,1166,2267,3433,2344,761,512,1424,2205,9632
DEN,82,19830,3775,7379,0.51,64,254,0.25,3711,7125,0.52,2027,2648,0.76,1181,2628,3809,2154,670,589,1744,2178,9641
GSW,82,19855,3839,7165,0.54,57,220,0.26,3782,6945,0.55,1919,2530,0.76,1101,2521,3622,2336,650,469,1583,2180,9654
