TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
CLE,82,19930,2803,6083,0.46,396,1108,0.36,2407,4975,0.48,1364,1801,0.76,851,2246,3097,1812,556,433,1213,1770,7366
NYK,82,19780,2800,6410,0.44,397,1165,0.34,2403,5245,0.46,1802,2449,0.74,1021,2317,3338,1584,639,324,1264,1907,7799
ALT,82,19855,3001,6485,0.46,420,1212,0.35,2581,5273,0.49,1394,1919,0.73,1051,2391,3442,1733,608,320,1359,1815,7816
IND,82,19780,2921,6408,0.46,475,1304,0.36,2446,5104,0.48,1516,2089,0.73,1048,2156,3204,1804,691,416,1370,2058,7833
CHI,82,19830,2923,6399,0.46,401,1150,0.35,2522,5249,0.48,1682,2280,0.74,1068,2252,3320,1713,687,369,1485,1892,7929
CHO,82,19805,3088,6807,0.45,429,1289,0.33,2659,5518,0.48,1375,1859,0.74,1102,2365,3467,1898,535,368,1216,1859,7980
UTA,82,19780,2845,6282,0.45,546,1431,0.38,2299,4851,0.47,1835,2477,0.74,917,2125,3042,1713,648,429,1353,2053,8071
SAC,82,19855,2964,6549,0.45,377,1240,0.3,2587,5309,0.49,1833,2473,0.74,1145,2268,3413,1820,756,515,1348,2033,8138
POR,82,19705,2951,6465,0.46,442,1189,0.37,2509,5276,0.48,1794,2380,0.75,883,2295,3178,1789,638,405,1302,1938,8138
PHI,82,19805,3100,6663,0.46,467,1287,0.36,2633,5376,0.49,1569,2057,0.76,1143,2317,3460,1992,712,422,1299,1859,8236
DEN,82,19980,3050,6695,0.46,419,1208,0.35,2631,5487,0.48,1721,2296,0.75,1021,2207,3228,1784,640,460,1167,1956,8240
SAS,82,19855,3168,6974,0.45,426,1251,0.34,2742,5723,0.48,1491,2089,0.71,1017,2303,3320,1878,633,408,1182,2063,8253
NJN,82,19880,3182,6904,0.46,440,1176,0.37,2742,5728,0.48,1495,2073,0.72,1056,2435,3491,1826,733,440,1104,1911,8299
HOU,82,19730,3202,7061,0.45,506,1345,0.38,2696,5716,0.47,1407,1874,0.75,1165,2386,3551,1940,744,365,1274,1779,8317
SEA,82,19830,3008,6637,0.45,520,1514,0.34,2488,5123,0.49,1848,2514,0.74,1064,2207,3271,1849,652,493,1485,2024,8384
MIA,82,19805,3092,6566,0.47,511,1417,0.36,2581,5149,0.5,1732,2340,0.74,1036,2355,3391,1860,656,385,1332,1896,8427
MIN,82,19780,3088,6509,0.47,468,1243,0.38,2620,5266,0.5,1820,2491,0.73,1169,2305,3474,2069,703,512,1323,1982,8464
MIL,82,19855,3248,6589,0.49,491,1242,0.4,2757,5347,0.52,1517,2081,0.73,1014,2337,3351,2103,770,407,1359,1973,8504
ORL,82,19930,3242,7093,0.46,468,1239,0.38,2774,5854,0.47,1560,2106,0.74,1136,2226,3362,1986,700,367,1234,1954,8512
BOS,82,19805,3303,6820,0.48,375,1047,0.36,2928,5773,0.51,1601,2225,0.72,1064,2335,3399,1999,653,454,1232,1922,8582
LAL,82,19905,3299,7050,0.47,456,1294,0.35,2843,5756,0.49,1580,2233,0.71,1283,2474,3757,2203,644,489,1390,1807,8634
DET,82,19730,3120,6558,0.48,448,1235,0.36,2672,5323,0.5,1963,2720,0.72,1147,2432,3579,2013,693,439,1286,1746,8651
LAC,82,19880,3207,6470,0.5,388,1049,0.37,2819,5421,0.52,1876,2503,0.75,1083,2536,3619,1917,693,459,1506,1905,8678
DAL,82,19930,3407,6982,0.49,432,1181,0.37,2975,5801,0.51,1454,1981,0.73,1053,2379,3432,1991,722,502,1250,1925,8700
WAB,82,19855,3246,6768,0.48,438,1145,0.38,2808,5623,0.5,1771,2315,0.76,1107,2521,3628,1959,701,446,1359,1775,8701
PHO,82,19830,3320,6963,0.48,525,1544,0.34,2795,5419,0.52,1590,2138,0.74,1038,2431,3469,2149,658,391,1285,2026,8755
GSW,82,19905,3527,7233,0.49,492,1384,0.36,3035,5849,0.52,1565,2175,0.72,1196,2527,3723,2345,865,412,1326,2133,9111
