SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,22,ORL,Orlando Magic,82,19930,3460,6899,0.5,523,1412,0.37,2937,5487,0.54,1648,2465,0.67,1149,2457,3606,2281,672,488,1297,1726,9091
1995,24,PHO,Phoenix Suns,82,19830,3356,6967,0.48,584,1584,0.37,2772,5383,0.52,1777,2352,0.76,1027,2403,3430,2198,687,312,1167,1839,9073
1995,21,SEA,Seattle Supersonics,82,19830,3310,6741,0.49,491,1305,0.38,2819,5436,0.52,1944,2564,0.76,1068,2337,3405,2115,917,392,1295,2067,9055
1995,27,SAS,San Antonio Spurs,82,19855,3236,6687,0.48,434,1158,0.38,2802,5529,0.51,1836,2487,0.74,1029,2661,3690,1919,656,456,1246,1871,8742
1995,29,UTA,Utah Jazz,82,19780,3243,6339,0.51,301,801,0.38,2942,5538,0.53,1939,2483,0.78,874,2412,3286,2256,758,392,1289,2045,8726
1995,10,GSW,Golden State Warriors,82,19905,3217,6873,0.47,546,1602,0.34,2671,5271,0.51,1687,2395,0.7,1101,2371,3472,2017,649,391,1497,1804,8667
1995,14,LAL,Los Angeles Lakers,82,19905,3284,7088,0.46,525,1492,0.35,2759,5596,0.49,1523,2072,0.74,1126,2316,3442,2078,750,563,1243,1933,8616
1995,11,HOU,Houston Rockets,82,19730,3159,6579,0.48,646,1757,0.37,2513,4822,0.52,1527,2039,0.75,880,2440,3320,2060,721,514,1322,1714,8491
1995,7,DAL,Dallas Mavericks,82,19930,3227,7342,0.44,386,1200,0.32,2841,6142,0.46,1622,2210,0.73,1514,2433,3947,1941,579,348,1345,1811,8462
1995,25,POR,Portland Trail Blazers,82,19705,3217,7134,0.45,462,1266,0.36,2755,5868,0.47,1555,2230,0.7,1352,2443,3795,1846,668,467,1212,2024,8451
1995,2,BOS,Boston Celtics,82,19805,3179,6847,0.46,362,984,0.37,2817,5863,0.48,1708,2268,0.75,1156,2320,3476,1783,612,361,1305,1975,8428
1995,5,CHI,Chicago Bulls,82,19830,3191,6710,0.48,443,1187,0.37,2748,5523,0.5,1500,2065,0.73,1106,2294,3400,1970,797,352,1297,1962,8325
1995,8,DEN,Denver Nuggets,82,19980,3098,6461,0.48,413,1160,0.36,2685,5301,0.51,1700,2305,0.74,1040,2402,3442,1836,660,585,1381,2063,8309
1995,16,MIA,Miami Heat,82,19805,3144,6738,0.47,436,1182,0.37,2708,5556,0.49,1569,2133,0.74,1092,2272,3364,1779,662,298,1291,2000,8293
1995,4,CHO,Charlotte Hornets,82,19805,3051,6438,0.47,560,1409,0.4,2491,5029,0.5,1587,2042,0.78,832,2395,3227,2072,620,399,1224,1685,8249
1995,30,WAB,Washington Bullets,82,19855,3176,6899,0.46,433,1264,0.34,2743,5635,0.49,1457,2013,0.72,1044,2219,3263,1749,648,404,1301,1949,8242
1995,17,MIL,Milwaukee Bucks,82,19855,3022,6586,0.46,494,1349,0.37,2528,5237,0.48,1608,2259,0.71,1063,2187,3250,1737,674,359,1393,1858,8146
1995,12,IND,Indiana Pacers,82,19780,2983,6248,0.48,374,985,0.38,2609,5263,0.5,1796,2390,0.75,1051,2290,3341,1877,703,363,1340,1939,8136
1995,26,SAC,Sacramento Kings,82,19855,3025,6463,0.47,359,1037,0.35,2666,5426,0.49,1647,2317,0.71,1073,2325,3398,1824,650,457,1449,2040,8056
1995,20,NYK,New York Knicks,82,19780,2985,6394,0.47,532,1446,0.37,2453,4948,0.5,1552,2114,0.73,929,2473,3402,2055,591,387,1305,2102,8054
1995,9,DET,Detroit Pistons,82,19730,3060,6633,0.46,494,1396,0.35,2566,5237,0.49,1439,1941,0.74,958,2204,3162,1872,705,420,1318,2151,8053
1995,3,NJN,New Jersey Nets,82,19880,2939,6738,0.44,414,1297,0.32,2525,5441,0.46,1750,2305,0.76,1213,2569,3782,1884,544,548,1300,1844,8042
1995,13,LAC,Los Angeles Clippers,82,19880,3060,6888,0.44,331,1051,0.32,2729,5837,0.47,1476,2079,0.71,1064,2076,3140,1805,787,435,1334,2152,7927
1995,1,ALT,Atlanta Hawks,82,19855,2986,6680,0.45,539,1580,0.34,2447,5100,0.48,1410,1948,0.72,1104,2272,3376,1757,738,412,1221,1804,7921
1995,23,PHI,Philadelphia 76Ers,82,19805,2949,6577,0.45,355,936,0.38,2594,5641,0.46,1567,2125,0.74,1105,2230,3335,1566,643,576,1355,1835,7820
1995,18,MIN,Minnesota Timberwolves,82,19780,2792,6219,0.45,318,1016,0.31,2474,5203,0.48,1824,2355,0.78,883,2090,2973,1780,609,402,1400,2074,7726
1995,6,CLE,Cleveland Cavaliers,82,19930,2756,6255,0.44,398,1033,0.38,2358,5222,0.45,1507,1982,0.76,1045,2237,3282,1672,630,349,1176,1694,7417
