Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,10,GSW,Golden State Warriors,82,19705,3489,7208,0.48,243,750,0.32,3246,6458,0.5,2313,2858,0.81,915,2385,3300,1978,756,488,1415,2010,9534
1990,24,PHO,Phoenix Suns,82,19855,3544,7139,0.5,176,543,0.32,3368,6596,0.51,2159,2716,0.8,1053,2651,3704,2109,668,501,1275,1825,9423
1990,8,DEN,Denver Nuggets,82,19805,3716,8015,0.46,228,677,0.34,3488,7338,0.48,1737,2201,0.79,1169,2532,3701,2275,814,329,1136,2047,9397
1990,25,POR,Portland Trail Blazers,82,19880,3572,7547,0.47,190,565,0.34,3382,6982,0.48,2031,2734,0.74,1355,2552,3907,2085,749,364,1356,2048,9365
1990,22,ORL,Orlando Magic,82,19805,3457,7525,0.46,116,393,0.3,3341,7132,0.47,2060,2725,0.76,1304,2465,3769,1993,617,294,1407,1975,9090
1990,14,LAL,Los Angeles Lakers,82,19855,3434,7010,0.49,309,841,0.37,3125,6169,0.51,1902,2417,0.79,1097,2460,3557,2232,655,445,1226,1737,9079
1990,23,PHI,Philadelphia 76Ers,82,19805,3437,7028,0.49,189,543,0.35,3248,6485,0.5,1976,2509,0.79,1111,2406,3517,1932,687,365,1209,1697,9039
1990,2,BOS,Boston Celtics,82,19705,3563,7148,0.5,106,404,0.26,3457,6744,0.51,1791,2153,0.83,1066,2707,3773,2423,539,455,1256,1717,9023
1990,5,CHI,Chicago Bulls,82,19830,3531,7090,0.5,250,669,0.37,3281,6421,0.51,1665,2140,0.78,1075,2279,3354,2172,814,388,1247,1906,8977
1990,12,IND,Indiana Pacers,82,19880,3381,6807,0.5,294,770,0.38,3087,6037,0.51,1906,2335,0.82,940,2388,3328,2023,552,350,1342,1972,8962
1990,1,ATL,Atlanta Hawks,82,19730,3417,7019,0.49,124,411,0.3,3293,6608,0.5,1943,2544,0.76,1273,2187,3460,1820,717,353,1270,1871,8901
1990,20,NYK,New York Knicks,82,19830,3434,7089,0.48,236,710,0.33,3198,6379,0.5,1775,2349,0.76,1187,2426,3613,2140,714,492,1412,1828,8879
1990,30,WAB,Washington Bullets,82,19830,3598,7581,0.48,37,197,0.19,3561,7384,0.48,1599,2093,0.76,1198,2450,3648,2214,561,424,1201,1929,8832
1990,21,SEA,Seattle Supersonics,82,19905,3466,7243,0.48,231,650,0.36,3235,6593,0.49,1606,2167,0.74,1323,2255,3578,1874,701,335,1336,2064,8769
1990,29,UTA,Utah Jazz,82,19830,3330,6593,0.5,226,630,0.36,3104,5963,0.52,1874,2484,0.75,953,2501,3454,2212,677,491,1410,2031,8760
1990,11,HOU,Houston Rockets,82,19805,3483,7250,0.48,153,491,0.31,3330,6759,0.49,1633,2267,0.72,1217,2638,3855,2194,809,551,1513,1934,8752
1990,27,SAS,San Antonio Spurs,82,19730,3388,6997,0.48,54,226,0.24,3334,6771,0.49,1888,2535,0.74,1163,2474,3637,2037,799,554,1399,1854,8718
1990,17,MIL,Milwaukee Bucks,82,19830,3380,7146,0.47,209,670,0.31,3171,6476,0.49,1722,2273,0.76,1108,2246,3354,2046,826,326,1315,2086,8691
1990,9,DET,Detroit Pistons,82,19805,3333,6980,0.48,177,541,0.33,3156,6439,0.49,1713,2252,0.76,1185,2458,3643,1996,512,418,1233,1961,8556
1990,13,LAC,Los Angeles Clippers,82,19805,3319,6853,0.48,56,230,0.24,3263,6623,0.49,1815,2458,0.74,1056,2362,3418,1978,782,507,1547,1859,8509
1990,6,CLE,Cleveland Cavaliers,82,19880,3214,6977,0.46,346,851,0.41,2868,6126,0.47,1637,2201,0.74,1128,2380,3508,2106,645,512,1243,1666,8411
1990,7,DAL,Dallas Mavericks,82,19855,3246,6831,0.48,157,486,0.32,3089,6345,0.49,1735,2261,0.77,1042,2419,3461,1776,664,398,1228,1733,8384
1990,26,SAC,Sacramento Kings,82,19755,3305,7056,0.47,216,649,0.33,3089,6407,0.48,1515,1964,0.77,952,2363,3315,2052,546,392,1239,1863,8341
1990,16,MIA,Miami Heat,82,19730,3383,7345,0.46,88,300,0.29,3295,7045,0.47,1393,2028,0.69,1242,2313,3555,1957,736,388,1557,2123,8247
1990,4,CHO,Charlotte Hornets,82,19755,3270,7183,0.46,205,611,0.34,3065,6572,0.47,1487,1967,0.76,962,2211,3173,2080,778,262,1226,1889,8232
1990,3,NJN,New Jersey Nets,82,19705,3157,7415,0.43,140,506,0.28,3017,6909,0.44,1754,2350,0.75,1363,2324,3687,1475,774,481,1360,1952,8208
1990,18,MIN,Minnesota Timberwolves,82,19855,3067,6876,0.45,73,294,0.25,2994,6582,0.46,1596,2137,0.75,1196,2053,3249,1844,789,344,1197,1901,7803
