Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1988,31,1499,TOT,Total After Trade,Kevin Johnson,"March 4, 1966",21.0,NBA,PG,80.0,28.0,1917.0,275.0,596.0,0.46,5.0,24.0,0.21,270.0,572.0,0.47,0.47,177.0,211.0,0.84,36.0,155.0,191.0,437.0,103.0,24.0,146.0,155.0,732.0,,3.0
1988,6,1499,CLE,Cleveland Cavaliers,Kevin Johnson,"March 4, 1966",21.0,NBA,PG,52.0,3.0,1043.0,143.0,311.0,0.46,2.0,9.0,0.22,141.0,302.0,0.47,0.46,92.0,112.0,0.82,10.0,62.0,72.0,193.0,60.0,17.0,82.0,96.0,380.0,,0.0
1988,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",21.0,NBA,PG,28.0,25.0,874.0,132.0,285.0,0.46,3.0,15.0,0.2,129.0,270.0,0.48,0.47,85.0,99.0,0.86,26.0,93.0,119.0,244.0,43.0,7.0,64.0,59.0,352.0,,3.0
1989,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",22.0,NBA,PG,81.0,81.0,3179.0,570.0,1128.0,0.5,2.0,22.0,0.09,568.0,1106.0,0.51,0.51,508.0,576.0,0.88,46.0,294.0,340.0,991.0,135.0,24.0,322.0,226.0,1650.0,,2.0
1990,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",23.0,NBA,PG,74.0,74.0,2782.0,578.0,1159.0,0.5,8.0,41.0,0.2,570.0,1118.0,0.51,0.5,501.0,598.0,0.84,42.0,228.0,270.0,846.0,95.0,14.0,263.0,143.0,1665.0,,3.0
1991,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",24.0,NBA,PG,77.0,76.0,2772.0,591.0,1145.0,0.52,9.0,44.0,0.2,582.0,1101.0,0.53,0.52,519.0,616.0,0.84,54.0,217.0,271.0,781.0,163.0,11.0,269.0,174.0,1710.0,,0.0
1992,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",25.0,NBA,PG,78.0,78.0,2899.0,539.0,1125.0,0.48,10.0,46.0,0.22,529.0,1079.0,0.49,0.48,448.0,555.0,0.81,61.0,231.0,292.0,836.0,116.0,23.0,272.0,180.0,1536.0,,1.0
1993,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",26.0,NBA,PG,49.0,47.0,1643.0,282.0,565.0,0.5,1.0,8.0,0.12,281.0,557.0,0.5,0.5,226.0,276.0,0.82,30.0,74.0,104.0,384.0,85.0,19.0,151.0,100.0,791.0,,0.0
1994,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",27.0,NBA,PG,67.0,67.0,2449.0,477.0,980.0,0.49,6.0,27.0,0.22,471.0,953.0,0.49,0.49,380.0,464.0,0.82,55.0,112.0,167.0,637.0,125.0,10.0,235.0,127.0,1340.0,,1.0
1995,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",28.0,NBA,PG,47.0,35.0,1352.0,246.0,523.0,0.47,4.0,26.0,0.15,242.0,497.0,0.49,0.47,234.0,289.0,0.81,32.0,83.0,115.0,360.0,47.0,18.0,105.0,88.0,730.0,,0.0
1996,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",29.0,NBA,PG,56.0,55.0,2007.0,342.0,674.0,0.51,21.0,57.0,0.37,321.0,617.0,0.52,0.52,342.0,398.0,0.86,42.0,179.0,221.0,517.0,82.0,13.0,170.0,144.0,1047.0,,1.0
1997,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",30.0,NBA,PG,70.0,70.0,2658.0,441.0,890.0,0.5,89.0,202.0,0.44,352.0,688.0,0.51,0.55,439.0,515.0,0.85,54.0,199.0,253.0,653.0,102.0,12.0,217.0,141.0,1410.0,,2.0
1998,24,1499,PHO,Phoenix Suns,Kevin Johnson,"March 4, 1966",31.0,NBA,PG,50.0,12.0,1290.0,155.0,347.0,0.45,4.0,26.0,0.15,151.0,321.0,0.47,0.45,162.0,186.0,0.87,35.0,129.0,164.0,245.0,27.0,8.0,101.0,57.0,476.0,,0.0
