Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1981,25,POR,Portland Trail Blazers,Mychal Thompson,26,3,,44.0,10.3,17.0,0.61,0.0,0.0,,10.3,17.0,0.61,0.61,4.3,6.0,0.72,1.7,6.0,7.7,1.3,1.0,3.0,2.3,3.3,25.0
1981,25,POR,Portland Trail Blazers,Kelvin Ransey,22,3,,43.7,7.7,21.7,0.35,0.0,0.3,0.0,7.7,21.3,0.36,0.35,1.0,2.0,0.5,1.7,2.3,4.0,8.3,2.0,0.3,3.7,2.7,16.3
1981,25,POR,Portland Trail Blazers,Kermit Washington,29,3,,42.7,4.0,7.7,0.52,0.0,0.3,0.0,4.0,7.3,0.55,0.52,0.7,0.7,1.0,4.7,12.7,17.3,2.3,2.7,0.7,2.3,3.0,8.7
1981,25,POR,Portland Trail Blazers,Billy Ray Bates,24,3,,38.3,11.7,20.7,0.56,0.3,0.3,1.0,11.3,20.3,0.56,0.57,4.7,5.7,0.82,1.0,1.3,2.3,4.3,1.7,0.3,3.7,3.7,28.3
1981,25,POR,Portland Trail Blazers,Calvin Natt,24,3,,31.7,4.7,10.3,0.45,0.0,0.0,,4.7,10.3,0.45,0.45,1.3,2.7,0.5,2.0,4.7,6.7,0.3,0.3,0.3,2.3,1.3,10.7
1981,25,POR,Portland Trail Blazers,Bob Gross,27,3,,20.0,3.0,4.7,0.64,0.0,0.0,,3.0,4.7,0.64,0.64,3.0,4.7,0.64,1.7,1.0,2.7,1.7,0.7,0.7,1.7,3.0,9.0
1981,25,POR,Portland Trail Blazers,Mike Gale,30,3,,17.0,1.3,5.3,0.25,0.0,0.0,,1.3,5.3,0.25,0.25,0.0,0.0,,0.7,1.0,1.7,3.0,1.7,0.0,0.7,0.7,2.7
1981,25,POR,Portland Trail Blazers,Kevin Kunnert,29,3,,14.3,1.7,3.3,0.5,0.0,0.3,0.0,1.7,3.0,0.56,0.5,0.3,1.3,0.25,0.7,2.3,3.0,0.3,0.3,0.0,1.0,2.3,3.7
1981,25,POR,Portland Trail Blazers,Mike Harper,23,1,,6.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
1981,25,POR,Portland Trail Blazers,Tom Owens,31,1,,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1981,25,POR,Portland Trail Blazers,Jim Paxson,23,1,,4.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
