Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,16,MIA,Miami Heat,Dwyane Wade,28,5,5,210,62,110,0.56,15,37,0.4,47,73,0.64,0.63,27,40,0.68,6,22,28,34,8,8,26,16,166
2010,16,MIA,Miami Heat,Quentin Richardson,29,5,5,149,18,45,0.4,9,22,0.41,9,23,0.39,0.5,4,5,0.8,1,18,19,8,8,1,5,16,49
2010,16,MIA,Miami Heat,Udonis Haslem,29,5,0,142,13,37,0.35,0,0,,13,37,0.35,0.35,4,6,0.67,9,28,37,4,1,1,5,18,30
2010,16,MIA,Miami Heat,Michael Beasley,21,5,5,135,22,49,0.45,1,2,0.5,21,47,0.45,0.46,7,9,0.78,10,19,29,3,4,0,13,10,52
2010,16,MIA,Miami Heat,Mario Chalmers,23,5,0,131,18,40,0.45,7,20,0.35,11,20,0.55,0.54,11,13,0.85,1,8,9,13,3,0,12,18,54
2010,16,MIA,Miami Heat,Jermaine O'Neal,31,5,5,117,9,44,0.2,0,0,,9,44,0.2,0.2,3,7,0.43,10,18,28,5,4,10,7,13,21
2010,16,MIA,Miami Heat,Carlos Arroyo,30,5,5,115,12,26,0.46,0,1,0.0,12,25,0.48,0.46,2,2,1.0,2,7,9,11,3,0,3,9,26
2010,16,MIA,Miami Heat,Dorell Wright,24,5,0,112,9,25,0.36,2,8,0.25,7,17,0.41,0.4,5,5,1.0,2,17,19,9,2,0,6,3,25
2010,16,MIA,Miami Heat,Joel Anthony,27,5,0,79,5,7,0.71,0,0,,5,7,0.71,0.71,3,4,0.75,6,3,9,1,2,5,1,9,13
2010,16,MIA,Miami Heat,James Jones,29,1,0,9,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2
2010,16,MIA,Miami Heat,Jamaal Magloire,31,1,0,5,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,1,1,0
