PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Chris Mullin,30,3,3,45.0,10.0,17.0,0.588,2.0,4.0,0.5,8.0,13.0,0.615,0.647,3.3,3.7,0.909,1.3,3.3,4.7,3.7,0.0,1.7,2.3,1.3,25.3
Billy Owens,24,3,3,42.3,8.3,16.7,0.5,0.0,0.3,0.0,8.3,16.3,0.51,0.5,3.0,4.0,0.75,4.0,6.0,10.0,4.3,1.3,0.7,2.3,3.7,19.7
Latrell Sprewell,23,3,3,40.7,8.7,20.0,0.433,2.7,7.7,0.348,6.0,12.3,0.486,0.5,2.7,4.0,0.667,0.3,2.7,3.0,7.0,0.7,1.0,3.0,5.0,22.7
Chris Webber,20,3,3,36.3,7.3,13.3,0.55,0.0,0.7,0.0,7.3,12.7,0.579,0.55,1.0,3.3,0.3,4.3,4.3,8.7,9.0,1.0,3.0,3.0,3.7,15.7
Chris Gatling,26,3,1,18.0,2.7,4.3,0.615,0.0,0.0,,2.7,4.3,0.615,0.615,3.3,4.3,0.769,2.3,3.3,5.7,1.3,0.7,0.3,0.7,3.3,8.7
Jeff Grayer,28,3,0,15.3,3.7,6.7,0.55,0.0,0.0,,3.7,6.7,0.55,0.55,0.7,1.0,0.667,0.3,1.7,2.0,0.3,0.3,0.3,0.7,2.3,8.0
Byron Houston,24,3,2,15.3,2.0,2.7,0.75,0.0,0.0,,2.0,2.7,0.75,0.75,1.0,1.7,0.6,0.7,1.0,1.7,1.0,0.3,0.7,0.0,3.0,5.0
Avery Johnson,28,3,0,13.7,3.0,5.7,0.529,0.0,0.3,0.0,3.0,5.3,0.563,0.529,0.0,0.0,,0.0,1.0,1.0,3.3,1.3,0.3,1.0,0.7,6.0
Keith Jennings,25,3,0,13.0,1.3,4.3,0.308,0.3,1.7,0.2,1.0,2.7,0.375,0.34600000000000003,2.0,2.3,0.857,0.3,1.3,1.7,1.3,0.3,0.0,1.3,3.7,5.0
Josh Grant,26,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
